ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0ce8fac8-e5ca-4b30-b613-18ba7391a3e1,m1.small,Linux/UNIX,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,188.0,0.0,USD,0.009,Hourly
0e77304a-a697-49ee-a863-0ea29bd8b4ea,m1.small,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,188.0,0.0,USD,0.069,Hourly
8f9a8a9e-c902-403f-95c5-cd61feecde95,m1.small,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,207.0,0.0,USD,0.076,Hourly
c0ac76c4-8097-426f-86b4-90b5522e3963,m1.small,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,207.0,0.0,USD,0.01,Hourly
a91dd4aa-663c-4dbe-9918-302353f854e3,m1.small,SUSE Linux,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,364.0,0.0,USD,0.02,Hourly
c00cbba9-d245-4752-ad70-c810891d520d,m1.small,Linux/UNIX,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,399.0,0.0,USD,0.0,Hourly
09f557ac-d6c1-4b1a-865e-bdd5ffbf17b5,m1.small,SUSE Linux,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,400.0,0.0,USD,0.022,Hourly
ab37ad0f-83ea-4323-8b14-e1c68ad13a5c,m1.small,Linux/UNIX,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,438.0,0.0,USD,0.0,Hourly
cbc78d7c-465d-4015-b41f-a4dfc6f44396,m1.small,SUSE Linux,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,836.0,0.0,USD,0.0,Hourly
2f189e5e-9c74-4322-9ead-1bd0dec50641,m1.small,SUSE Linux,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,919.0,0.0,USD,0.0,Hourly
01c5f5eb-4eb7-44f5-99a3-c1d290c80bf3,m1.small,Red Hat Enterprise Linux,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,1881.0,0.0,USD,0.0,Hourly
470ca7ff-237c-40f5-bcf0-d1969ebf5b0b,m1.small,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,2069.0,0.0,USD,0.0,Hourly
154d99f7-0391-4530-9d3f-44463ea8b21b,m1.small,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.096,Hourly
28d7432b-ae03-44d4-943a-801c6fbd581a,m1.small,Linux/UNIX,dedicated,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.03,Hourly
45b7df8f-461c-430e-8d17-73eb31da58c1,m1.small,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.088,Hourly
b2b5fc45-9008-45c5-81e4-75cae64b0b62,m1.small,SUSE Linux,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.052,Hourly
c29cb51e-4e17-4a05-bbff-bd6db30da2f7,m1.small,Linux/UNIX,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.028,Hourly
fc85e92a-3c12-4c2b-8478-46349359e605,m1.small,SUSE Linux,dedicated,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.057,Hourly
50a0f4b3-239c-4464-949f-10c126cbb1e5,m1.small,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,123.0,0.0,USD,0.07,Hourly
a41be98f-0111-4bca-8b8a-09bf494d4f08,m1.small,Linux/UNIX,default,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,123.0,0.0,USD,0.01,Hourly
b4799881-9fbc-43d4-969b-90fea3eb89ab,m1.small,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,135.0,0.0,USD,0.011,Hourly
e6b6a9b3-b1e3-4c71-b93a-aea4afe5392c,m1.small,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,135.0,0.0,USD,0.077,Hourly
90e62ba7-405c-4490-890d-1407b6eef455,m1.small,Linux/UNIX,default,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,206.0,0.0,USD,0.0,Hourly
2f5d9d1f-65e6-499b-8964-4947e1561bfd,m1.small,SUSE Linux,default,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,211.0,0.0,USD,0.021,Hourly
1d5da49d-6af7-4c34-928f-5461ad795cd8,m1.small,Linux/UNIX,dedicated,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,226.0,0.0,USD,0.0,Hourly
9b09e8f8-a8bd-49c0-af4b-05c6be76bca3,m1.small,SUSE Linux,dedicated,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,232.0,0.0,USD,0.023,Hourly
a7d5222d-51e9-48ee-9ab1-0c08e909b232,m1.small,SUSE Linux,default,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,387.0,0.0,USD,0.0,Hourly
558b4257-23e8-4931-a97d-aa00041becdd,m1.small,SUSE Linux,dedicated,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,425.0,0.0,USD,0.0,Hourly
7901fd70-f5c1-44c6-a628-5f74dd541974,m1.small,Red Hat Enterprise Linux,default,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,721.0,0.0,USD,0.0,Hourly
30d023a3-b9ff-404b-bb4a-ca003a505c14,m1.small,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,793.0,0.0,USD,0.0,Hourly
7e2289e3-e61c-426e-bb21-58552dbc3319,m1.small,Windows,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,259.0,0.0,USD,0.029,Hourly
8bbe2559-f859-478c-be06-bd24d44325ed,m1.small,Windows,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,285.0,0.0,USD,0.032,Hourly
