ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
05c3c137-71f2-4efa-a255-b1cc9295f729,m2.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,719.0,0.0,USD,0.092,Hourly
b3c6dc4f-03c2-47e2-bd05-1531549fde0b,m2.xlarge,Linux/UNIX,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,719.0,0.0,USD,0.032,Hourly
5480ba4b-d5ae-405f-810c-de811c9f60a9,m2.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,791.0,0.0,USD,0.035,Hourly
920fc130-9de8-46b7-9615-91e1e67cc753,m2.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,791.0,0.0,USD,0.101,Hourly
98047b84-ff9b-4ebb-9421-16653c794610,m2.xlarge,SUSE Linux,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,1071.0,0.0,USD,0.043,Hourly
24c8ec25-e81b-4f99-ad26-8a205f56d73b,m2.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,1178.0,0.0,USD,0.047,Hourly
ec955f88-8ae9-4f64-834f-505b43733bea,m2.xlarge,Linux/UNIX,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,1466.0,0.0,USD,0.0,Hourly
c6a3d76c-5c94-40bf-ba14-f9d292df9ae6,m2.xlarge,Linux/UNIX,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,1612.0,0.0,USD,0.0,Hourly
3bcc85e5-9ab7-462f-b7c3-41e083874747,m2.xlarge,SUSE Linux,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,2068.0,0.0,USD,0.0,Hourly
d1041a3f-9676-45cc-985d-a39d41002a6b,m2.xlarge,SUSE Linux,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,2274.0,0.0,USD,0.0,Hourly
9d2c32cf-6f28-4dca-9b76-b5ccaa6182ae,m2.xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,2948.0,0.0,USD,0.0,Hourly
53f0cf74-5ce3-4089-ac99-99dabb80e49f,m2.xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,3242.0,0.0,USD,0.0,Hourly
01a03708-5983-452c-a437-581d1783aad6,m2.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.188,Hourly
04ea4f75-13c0-4181-8736-9a90a5206da8,m2.xlarge,SUSE Linux,dedicated,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.161,Hourly
7e47a0a4-10a8-4f05-bd7a-9b5def4c0635,m2.xlarge,SUSE Linux,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.147,Hourly
a8091cbb-8d25-41c7-8c61-af6fae4a6310,m2.xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.122,Hourly
b3faa8dd-ea86-4acb-94c1-2fb87320229c,m2.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.171,Hourly
edea1518-0dea-4ade-91d2-75493d97591e,m2.xlarge,Linux/UNIX,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.111,Hourly
2f7c1065-b09a-4c15-bcf1-cda07cc02573,m2.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,473.0,0.0,USD,0.101,Hourly
