ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0b4a7b44-ffb2-49eb-a515-2ed2de8a75f9,m5d.12xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,19.529,Hourly
1825ca7b-aed3-4a1a-bb27-8f32077cabf2,m5d.12xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,2.341,Hourly
2b1d24e4-c8f8-4ffe-ab11-d53fab322344,m5d.12xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,7.125,Hourly
2f8d90c4-621b-4b1c-8f75-6e7a938ce59b,m5d.12xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.562,Hourly
4eb89ef1-0fa9-48b8-a8d7-4d6c377062c9,m5d.12xlarge,Linux/UNIX,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.365,Hourly
5dd17940-72c2-4d69-8303-b84a1edec861,m5d.12xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,19.365,Hourly
6c7d0e20-8c14-48dc-876a-7f2e2b91c276,m5d.12xlarge,SUSE Linux,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.398,Hourly
a08c0c92-d01a-4ced-b2f4-3a49464e6678,m5d.12xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,7.289,Hourly
a4236386-4dfe-4e29-95bd-6748a6796a37,m5d.12xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.495,Hourly
c5cd1734-b3dc-481f-a3a3-62fc31bf0686,m5d.12xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,2.176,Hourly
de032ffb-f4af-41e2-b028-6f3229519196,m5d.12xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.529,Hourly
eeace470-5aec-4745-b9e7-ac357c2b437e,m5d.12xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.659,Hourly
25bdc23d-a610-4d52-82ad-7265fabebd92,m5d.12xlarge,Linux/UNIX,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.187,Hourly
302165a0-4365-45bc-9bc5-ae707451f3d4,m5d.12xlarge,SUSE Linux,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.22,Hourly
3a938d4f-8ead-48f9-84de-4109064eb568,m5d.12xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.317,Hourly
5aa1a19f-ac54-4760-8f1b-d3dc6fc8f1e8,m5d.12xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,19.187,Hourly
5dbee3d2-e318-4cb6-a6b8-9b4a791e5199,m5d.12xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.351,Hourly
617bb7b0-61b1-4c04-99df-382076a545a9,m5d.12xlarge,SUSE Linux,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.384,Hourly
6602e4c8-4b53-4c11-88c1-2eb06ce7a28b,m5d.12xlarge,Linux with SQL Server Web,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.998,Hourly
7d24ef23-5f91-4d03-b2aa-1bfb5248e647,m5d.12xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,7.111,Hourly
8045f5c4-01ae-408d-99ac-8a08617d31b8,m5d.12xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,2.163,Hourly
b98c0e71-70c4-4264-929c-f5be0a317e92,m5d.12xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,19.351,Hourly
c7447184-84ab-4bb3-8189-22dcc693fd50,m5d.12xlarge,Linux with SQL Server Standard,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,6.947,Hourly
eec2c240-1efc-4b47-a36d-cd57f29ed6a7,m5d.12xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.481,Hourly
08dd0eae-1a49-4098-92da-f8d46c0f3b19,m5d.12xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,14441.0,0.0,USD,0.679,Hourly
8cf2ed55-d46a-402f-99c1-667669a9c7d2,m5d.12xlarge,Linux/UNIX,default,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,14441.0,0.0,USD,0.549,Hourly
a6252b34-3848-47c5-92e7-528c4b06b82e,m5d.12xlarge,SUSE Linux,default,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,14793.0,0.0,USD,0.562,Hourly
cf2b4fd0-3646-4778-b552-0ddb9a637671,m5d.12xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,16602.0,0.0,USD,0.632,Hourly
e1f9e10c-c0e4-43cc-b4c5-17f627ff14ee,m5d.12xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,16602.0,0.0,USD,0.762,Hourly
2ba7d206-2de2-45c0-991d-e7370c1d29f1,m5d.12xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-east-1d,94608000,Availability Zone,0,16607.0,0.0,USD,0.762,Hourly
df67f5d4-12b8-40df-be6e-d8331ea9ace9,m5d.12xlarge,Linux/UNIX,default,convertible,Partial Upfront,us-east-1d,94608000,Availability Zone,0,16607.0,0.0,USD,0.632,Hourly
d1e53fd1-7e9c-41fd-80ac-992e6554f69e,m5d.12xlarge,SUSE Linux,dedicated,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,16954.0,0.0,USD,0.645,Hourly
75fb1cf1-1448-4fbe-b527-b03aa21c128f,m5d.12xlarge,SUSE Linux,default,convertible,Partial Upfront,us-east-1d,94608000,Availability Zone,0,16959.0,0.0,USD,0.645,Hourly
4e8c08d9-f83d-4af3-955b-328b48c355df,m5d.12xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,us-east-1d,94608000,Availability Zone,0,18768.0,0.0,USD,0.714,Hourly
cd6244cb-9222-4c54-b502-74606ff9255e,m5d.12xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,us-east-1d,94608000,Availability Zone,0,18768.0,0.0,USD,0.844,Hourly
64524856-a1ce-4676-a211-086d340caf3a,m5d.12xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,us-east-1d,94608000,Availability Zone,0,19120.0,0.0,USD,0.727,Hourly
7357680c-5107-4a0c-b903-5e3827b97961,m5d.12xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,25100.0,0.0,USD,0.955,Hourly
b0db3a8b-85ef-4c63-99db-2b179840d759,m5d.12xlarge,Linux/UNIX,default,standard,All Upfront,us-east-1d,94608000,Availability Zone,0,27149.0,0.0,USD,0.0,Hourly
5d2431e1-a081-460e-b913-6a626203cb2a,m5d.12xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,27261.0,0.0,USD,1.037,Hourly
f1f0f66a-796f-41cb-a0e9-4e3db0cd02ba,m5d.12xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,us-east-1d,94608000,Availability Zone,0,27266.0,0.0,USD,1.038,Hourly
75646c00-f29f-4ce7-a9af-5834be89b3ef,m5d.12xlarge,SUSE Linux,default,standard,All Upfront,us-east-1d,94608000,Availability Zone,0,27843.0,0.0,USD,0.0,Hourly
9406fb1b-7187-4a6b-b9a2-6bceeccd18a3,m5d.12xlarge,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,us-east-1d,94608000,Availability Zone,0,29427.0,0.0,USD,1.12,Hourly
56da6cae-67cf-4b48-9b68-a3e2ca4003a3,m5d.12xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,us-east-1d,94608000,Availability Zone,0,30565.0,0.0,USD,0.0,Hourly
f8e3b84b-3f24-418d-a081-0e52ad5ec1ae,m5d.12xlarge,Linux/UNIX,dedicated,standard,All Upfront,us-east-1d,94608000,Availability Zone,0,31471.0,0.0,USD,0.0,Hourly
38271541-230e-46dc-bb59-aec1dd015280,m5d.12xlarge,SUSE Linux,dedicated,standard,All Upfront,us-east-1d,94608000,Availability Zone,0,32165.0,0.0,USD,0.0,Hourly
871a2b8f-a89e-4688-a567-7351383cb874,m5d.12xlarge,Linux/UNIX,default,convertible,All Upfront,us-east-1d,94608000,Availability Zone,0,32550.0,0.0,USD,0.0,Hourly
3c5be3d3-acf1-4797-ad20-39a2b9e9908b,m5d.12xlarge,SUSE Linux,default,convertible,All Upfront,us-east-1d,94608000,Availability Zone,0,33244.0,0.0,USD,0.0,Hourly
861360da-b130-4573-94a5-6dffd7f4de93,m5d.12xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-east-1d,94608000,Availability Zone,0,34887.0,0.0,USD,0.0,Hourly
335ed273-962c-4d9c-8b98-051a3bc1b00b,m5d.12xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,us-east-1d,94608000,Availability Zone,0,35966.0,0.0,USD,0.0,Hourly
