ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
4672b3a1-c9cc-4f3f-90d2-d3600de29ae2,p2.xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.614,Hourly
8040ebab-a0b9-44eb-adc8-509bc8645378,p2.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.581,Hourly
bb90d192-d44f-482a-bcb7-1b6c1e7898cf,p2.xlarge,SUSE Linux,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.561,Hourly
cb5c6455-7699-44c6-be26-bae928519ae2,p2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.641,Hourly
d6578183-8732-429a-88b7-4f2a06873a6b,p2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.588,Hourly
e77e3b4b-d334-4afc-a2fd-cdc7550864c7,p2.xlarge,Linux/UNIX,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.528,Hourly
0847d2f9-2b71-4730-ad2f-dc64ae7b63ac,p2.xlarge,Linux/UNIX,default,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.459,Hourly
252dbce2-078d-486d-bc37-ccdf6807e944,p2.xlarge,SUSE Linux,default,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.492,Hourly
a830e264-58a2-44a6-9f00-d550f347678d,p2.xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.505,Hourly
b52e4306-3a82-4917-85c9-a1d43f11e86f,p2.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.565,Hourly
bc0eb8db-eb3c-4e3f-8c8a-8b7ff43f4c94,p2.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.519,Hourly
dfb0fdc6-dd6c-4cc0-98b7-389270f56db7,p2.xlarge,SUSE Linux,dedicated,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.538,Hourly
22f104c1-9b94-462d-a65c-6a70afea57e7,p2.xlarge,Linux/UNIX,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,5584.0,0.0,USD,0.212,Hourly
ed3fce99-1b41-4ce6-b1ba-6b89abdabb30,p2.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,5584.0,0.0,USD,0.272,Hourly
4b68e536-6a3d-48f2-87cc-090afb7672c9,p2.xlarge,SUSE Linux,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,5936.0,0.0,USD,0.226,Hourly
b4243456-e3d6-4f44-988b-003a1296a4cc,p2.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,6143.0,0.0,USD,0.234,Hourly
dcaa59ab-a008-4069-9b70-d939e6913713,p2.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,6143.0,0.0,USD,0.294,Hourly
1ebddec2-b694-4434-b2aa-35f2101b52dd,p2.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,6422.0,0.0,USD,0.304,Hourly
2222c3ce-3c63-41ad-aa9e-033c62e3ff84,p2.xlarge,Linux/UNIX,default,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,6422.0,0.0,USD,0.244,Hourly
dd382d0c-8421-4eeb-9014-a52fa4960603,p2.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,6495.0,0.0,USD,0.247,Hourly
ecfb461b-1125-45a1-8d31-c757a3aac463,p2.xlarge,SUSE Linux,default,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,6774.0,0.0,USD,0.257,Hourly
95cd83d6-f92d-4e52-be37-6a5d4fcafe7a,p2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,7064.0,0.0,USD,0.329,Hourly
ff14d122-71fe-402e-ac43-7b49743c462d,p2.xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,7064.0,0.0,USD,0.269,Hourly
5ae299f7-7977-42a7-ad50-8c6ba19856b7,p2.xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,7416.0,0.0,USD,0.282,Hourly
7fa9b1b4-017f-440b-9451-74f3302b4658,p2.xlarge,Linux/UNIX,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,10499.0,0.0,USD,0.0,Hourly
bfb2b07c-a96e-4b60-ac14-497ae466ed73,p2.xlarge,SUSE Linux,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,11193.0,0.0,USD,0.0,Hourly
dbd4cee8-2341-49e5-8e3a-a86d82d024f2,p2.xlarge,Linux/UNIX,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,11549.0,0.0,USD,0.0,Hourly
ad332408-6faa-49cd-8492-afe04b37be85,p2.xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,12076.0,0.0,USD,0.0,Hourly
5316a717-a7a7-4369-ba2f-017ac36fe4fa,p2.xlarge,SUSE Linux,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,12243.0,0.0,USD,0.0,Hourly
027c2210-961f-44c1-a132-bef3089ae9af,p2.xlarge,Linux/UNIX,default,convertible,All Upfront,us-east-1e,94608000,Availability Zone,0,12588.0,0.0,USD,0.0,Hourly
4f1bb84f-db04-4997-b75a-eba0460bede6,p2.xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,13126.0,0.0,USD,0.0,Hourly
74181c90-70f5-4777-a527-93e2a343dabc,p2.xlarge,SUSE Linux,default,convertible,All Upfront,us-east-1e,94608000,Availability Zone,0,13282.0,0.0,USD,0.0,Hourly
8569a266-cfdc-4726-897f-456d8298498f,p2.xlarge,Linux/UNIX,dedicated,convertible,All Upfront,us-east-1e,94608000,Availability Zone,0,13846.0,0.0,USD,0.0,Hourly
f7aecfe3-30b5-42e0-a3e1-15425b5b914b,p2.xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,us-east-1e,94608000,Availability Zone,0,14164.0,0.0,USD,0.0,Hourly
73ce35b0-c340-4b30-aa70-9698ba50df0d,p2.xlarge,SUSE Linux,dedicated,convertible,All Upfront,us-east-1e,94608000,Availability Zone,0,14540.0,0.0,USD,0.0,Hourly
2fd3e671-4235-41f7-bae1-4c4b47f1adf7,p2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,us-east-1e,94608000,Availability Zone,0,15423.0,0.0,USD,0.0,Hourly
2ea4eb8d-b5fc-47ff-82fe-2ac7bf06e8b3,p2.xlarge,SUSE Linux,default,convertible,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.739,Hourly
2f42589a-1f93-43d0-a30d-fe4321599931,p2.xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.81,Hourly
432e2eb3-dc6a-435c-a751-1594b5ded0eb,p2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.766,Hourly
6e7063cd-5680-4eaa-8189-c67902f27ca9,p2.xlarge,Linux/UNIX,default,convertible,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.706,Hourly
a8b570ee-1f8e-406c-a4c9-0e0f0200063a,p2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.837,Hourly
ada65095-fb11-459e-8462-4988bebf6eb0,p2.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.777,Hourly
4488abc8-06ff-4c8c-b1fd-d276acd69c5e,p2.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.674,Hourly
5bf6c372-1348-4903-b009-4b6dd25ba23b,p2.xlarge,SUSE Linux,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.647,Hourly
7d2c3f21-8210-4963-a728-63c3f5ce3063,p2.xlarge,Linux/UNIX,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.614,Hourly
987fd730-80a5-4c32-905f-f3a63d8f291c,p2.xlarge,SUSE Linux,dedicated,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.709,Hourly
c3d361ce-c248-4d0e-b323-c754ca293088,p2.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.736,Hourly
ec7c81b3-8899-4d6f-888f-5aa2258a2446,p2.xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.676,Hourly
76b150d9-26d6-4728-b29f-eaa55356612d,p2.xlarge,Linux/UNIX,default,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,2562.0,0.0,USD,0.292,Hourly
