ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
27c1fc8e-f41a-40df-9415-757d408982c4,r4.2xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,3.2896,Hourly
3ecdced4-d103-46ce-970a-b5cbf0819515,r4.2xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,1.2233,Hourly
44fb8bda-506f-44e2-913a-22eb81f23773,r4.2xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.4248,Hourly
5412e7ba-41a6-4ffc-b0cd-74c1a75c4cf5,r4.2xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.2896,Hourly
7767d272-9b4f-4f65-b4ba-66f7a1a56290,r4.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.4196,Hourly
a93b34c6-01ce-47d3-818c-ab883b55e784,r4.2xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,1.2496,Hourly
aa871c42-95f5-4d06-a616-2aba584e10c5,r4.2xlarge,SUSE Linux,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.2963,Hourly
abda59f0-9a57-4b42-9358-5ac4d1f7c150,r4.2xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.3985,Hourly
aedce14f-dbf0-48ba-a7a2-9faa8e7c2f25,r4.2xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,3.2633,Hourly
afb5133e-4fe8-4b3a-a5ee-bccf49eaf90c,r4.2xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.3226,Hourly
d159e43a-8524-42ef-90f2-55d50e7cc7fa,r4.2xlarge,Linux/UNIX,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.2633,Hourly
fda05224-d24c-43df-a196-ca27fb8e2ff0,r4.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.3933,Hourly
1043f1cf-8d0e-418d-adae-e9bbf0b52c57,r4.2xlarge,Linux with SQL Server Standard,default,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,1.189,Hourly
3d797a1f-5abe-4405-83d0-32234138d32d,r4.2xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,3.2519,Hourly
4f5e492a-6b87-449d-b50b-edcf16eaf9c3,r4.2xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.359,Hourly
6cf28617-9c45-47aa-8beb-b01298f68f1a,r4.2xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.2519,Hourly
9e347bfe-af25-4a4a-8478-9b8b5086ff62,r4.2xlarge,SUSE Linux,dedicated,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.2849,Hourly
b2e0f4cf-aba4-401f-9fe6-9f3a815846f0,r4.2xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,1.2119,Hourly
b6158638-009f-446f-85b9-037351a75932,r4.2xlarge,SUSE Linux,default,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.262,Hourly
b94451f5-c20f-47f6-a374-cca0c3b2aa11,r4.2xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.3871,Hourly
d19933dd-7d04-4250-9172-4c6a03ec1c07,r4.2xlarge,Linux/UNIX,default,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.229,Hourly
d377721d-b678-47a0-9243-d968256726fb,r4.2xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.3819,Hourly
e8a78390-f5f9-44bf-a425-f678c1efdfc7,r4.2xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,3.229,Hourly
f4c1ed2d-6309-4bd8-be75-8e69d45be87f,r4.2xlarge,Linux with SQL Server Web,default,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.3642,Hourly
27dbaace-9347-4def-a7f2-c155d19a8506,r4.2xlarge,Linux/UNIX,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,2796.0,0.0,USD,0.106,Hourly
46bc03ff-a5fd-4c64-9624-c28579fdb4f0,r4.2xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,2796.0,0.0,USD,0.166,Hourly
1328105d-fc6c-4480-9c4f-89f35e833c35,r4.2xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,3075.0,0.0,USD,0.117,Hourly
c3251205-ac90-4c13-a5da-bdc2f04afede,r4.2xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,3075.0,0.0,USD,0.177,Hourly
29116078-5313-400a-8a0e-7377eccdd9bf,r4.2xlarge,SUSE Linux,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,3148.0,0.0,USD,0.119,Hourly
565b350d-290e-409c-9b56-6438106c4ecc,r4.2xlarge,Linux/UNIX,default,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,3204.0,0.0,USD,0.1219,Hourly
a706b333-578c-4482-a288-117eee87826c,r4.2xlarge,SUSE Linux,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,3427.0,0.0,USD,0.13,Hourly
86f41fcd-cc0f-415b-86cb-4798d53ca043,r4.2xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,3524.0,0.0,USD,0.1341,Hourly
89d2646e-cfec-4e87-8d0b-a7ef22a1e988,r4.2xlarge,SUSE Linux,default,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,3556.0,0.0,USD,0.1349,Hourly
6a7b37bf-1f11-48eb-95fd-349af9457082,r4.2xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,3775.0,0.0,USD,0.204,Hourly
ee6659b2-1425-452f-a344-dc8df6b35d56,r4.2xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,3876.0,0.0,USD,0.1471,Hourly
2fe15c4e-da11-44bb-a3f3-571224d607ac,r4.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,4151.0,0.0,USD,0.218,Hourly
f14c8f9b-773e-4dce-9032-01dc5019f249,r4.2xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,4562.0,0.0,USD,0.1736,Hourly
12dc3928-4bc5-489e-adbd-6802787b4dfa,r4.2xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,4841.0,0.0,USD,0.1842,Hourly
f59edea4-809a-4695-b3d1-dc46b2711997,r4.2xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,4980.0,0.0,USD,0.1895,Hourly
7ebe8a29-99a4-494a-897e-0fee16056b7d,r4.2xlarge,Linux/UNIX,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,5257.0,0.0,USD,0.0,Hourly
42e301dd-342a-410e-a2ec-5adc248e636b,r4.2xlarge,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,5300.0,0.0,USD,0.2017,Hourly
8646111e-a262-4337-b5dd-c57ce582692a,r4.2xlarge,Linux/UNIX,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,5781.0,0.0,USD,0.0,Hourly
9a82405b-c39d-4c10-a142-453d9bb0a9bb,r4.2xlarge,SUSE Linux,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,5951.0,0.0,USD,0.0,Hourly
47cad681-6b02-40db-8fa5-adde120783f6,r4.2xlarge,Linux/UNIX,default,convertible,All Upfront,us-east-1e,94608000,Availability Zone,0,6279.0,0.0,USD,0.0,Hourly
59b500d3-9125-42d1-bd9e-cd70634188af,r4.2xlarge,SUSE Linux,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,6475.0,0.0,USD,0.0,Hourly
7c19cba4-e4e4-4e36-9534-21fc0f5c6e36,r4.2xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,6834.0,0.0,USD,0.0,Hourly
9362c845-9bcc-413d-a07c-326d85bc5c96,r4.2xlarge,Linux/UNIX,dedicated,convertible,All Upfront,us-east-1e,94608000,Availability Zone,0,6907.0,0.0,USD,0.0,Hourly
a08534d6-4d6b-4728-b2f1-940f3010704f,r4.2xlarge,SUSE Linux,default,convertible,All Upfront,us-east-1e,94608000,Availability Zone,0,6973.0,0.0,USD,0.0,Hourly
d119bbe8-91aa-43b2-a5e9-b697367fb126,r4.2xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,7357.0,0.0,USD,0.0,Hourly
dad4d718-5951-4fb6-b667-4e50c21fa94c,r4.2xlarge,SUSE Linux,dedicated,convertible,All Upfront,us-east-1e,94608000,Availability Zone,0,7601.0,0.0,USD,0.0,Hourly
5a30fb67-53ec-4758-9287-fd0e81589a2f,r4.2xlarge,Linux with SQL Server Web,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,8790.0,0.0,USD,0.0,Hourly
479acaf3-6bc7-4149-8778-adab95563850,r4.2xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,us-east-1e,94608000,Availability Zone,0,8976.0,0.0,USD,0.0,Hourly
92a41ad8-760d-4859-bbc5-61793a33d76d,r4.2xlarge,Linux with SQL Server Web,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,9314.0,0.0,USD,0.0,Hourly
139c3fbc-c3a0-45e6-8629-943baef3d4bc,r4.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,us-east-1e,94608000,Availability Zone,0,9713.0,0.0,USD,0.0,Hourly
aff7b428-f47e-4cd8-98e9-37c516ec3191,r4.2xlarge,Linux with SQL Server Web,default,convertible,All Upfront,us-east-1e,94608000,Availability Zone,0,9832.0,0.0,USD,0.0,Hourly
d5337697-1b06-4df2-8edd-289040b0c1be,r4.2xlarge,Linux with SQL Server Web,dedicated,convertible,All Upfront,us-east-1e,94608000,Availability Zone,0,10460.0,0.0,USD,0.0,Hourly
f26cfd5a-f67a-4796-9224-20ce99be792f,r4.2xlarge,Linux with SQL Server Standard,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,15400.0,0.0,USD,0.586,Hourly
f51caa1c-d2d0-44ab-851e-733723e2b9c3,r4.2xlarge,Linux with SQL Server Standard,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,15679.0,0.0,USD,0.5966,Hourly
072860c4-d742-42ca-8154-17e8ab2d7636,r4.2xlarge,Linux with SQL Server Standard,default,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,15818.0,0.0,USD,0.6019,Hourly
05a06c76-407a-4dc1-981a-62fec6d26e9d,r4.2xlarge,Linux with SQL Server Standard,dedicated,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,16138.0,0.0,USD,0.6141,Hourly
f6e76106-3875-4df1-a960-3116397c3696,r4.2xlarge,Linux with SQL Server Standard,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,30466.0,0.0,USD,0.0,Hourly
c4d1b877-a1a4-447a-8662-a6e7128cd7d6,r4.2xlarge,Linux with SQL Server Standard,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,30990.0,0.0,USD,0.0,Hourly
030d57ea-158b-49ec-92a6-25215e760709,r4.2xlarge,Linux with SQL Server Standard,default,convertible,All Upfront,us-east-1e,94608000,Availability Zone,0,31508.0,0.0,USD,0.0,Hourly
5f1dc8d4-ffed-4b68-9a65-c4f5a420635d,r4.2xlarge,Linux with SQL Server Standard,dedicated,convertible,All Upfront,us-east-1e,94608000,Availability Zone,0,32136.0,0.0,USD,0.0,Hourly
c8128c34-9852-472c-b068-3cd3a2650e6c,r4.2xlarge,Linux with SQL Server Enterprise,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,42206.0,0.0,USD,1.606,Hourly
d5337680-28b4-44ff-bda8-6781b91725b4,r4.2xlarge,Linux with SQL Server Enterprise,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,42484.0,0.0,USD,1.6166,Hourly
f2e2c698-2936-467d-95b0-9f376cf54d65,r4.2xlarge,Linux with SQL Server Enterprise,default,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,42624.0,0.0,USD,1.6219,Hourly
38ee8869-69f6-4373-8630-6133741c1ebd,r4.2xlarge,Linux with SQL Server Enterprise,dedicated,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,42944.0,0.0,USD,1.6341,Hourly
147ee38d-aa52-4f55-af5a-77f5a69c61a8,r4.2xlarge,Linux with SQL Server Enterprise,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,84077.0,0.0,USD,0.0,Hourly
c7f6a67f-7014-4741-8531-a6d89d67c039,r4.2xlarge,Linux with SQL Server Enterprise,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,84601.0,0.0,USD,0.0,Hourly
7f09066e-0373-4ec3-92aa-f5e2cea58146,r4.2xlarge,Linux with SQL Server Enterprise,default,convertible,All Upfront,us-east-1e,94608000,Availability Zone,0,85119.0,0.0,USD,0.0,Hourly
8c075fb6-fbf0-4735-9a6a-8154a15b7ffe,r4.2xlarge,Linux with SQL Server Enterprise,dedicated,convertible,All Upfront,us-east-1e,94608000,Availability Zone,0,85747.0,0.0,USD,0.0,Hourly
1a328b50-5796-4bd3-8b3a-7f566ac728b8,r4.2xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.5602,Hourly
