ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
009b8274-bd8c-41c5-9fd4-c343c0f8bf89,r5.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.631,Hourly
1cdbd7e7-5be1-4455-8206-8b6282647eec,r5.xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.192,Hourly
33f42f6b-95b2-4dc7-97c2-59559a5a7979,r5.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.627,Hourly
39735373-0ee2-4413-ae0f-206aa139d86a,r5.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.147,Hourly
440cb838-926d-4af0-8c49-3857f0992680,r5.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.647,Hourly
70523b27-b946-4f73-b484-bf33425106fe,r5.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.207,Hourly
911f95ef-67c8-474b-9cd9-41218cae01a7,r5.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.611,Hourly
af16ca5a-2fc6-4e9f-8b15-4919beb54f44,r5.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.191,Hourly
c8e2b658-5205-4e45-ae87-8ce082170da7,r5.xlarge,SUSE Linux,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.176,Hourly
d2f87a93-fa97-457f-b5b0-021b00cc3e82,r5.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.199,Hourly
d4871441-2726-498a-bb23-22e7f009952b,r5.xlarge,Linux/UNIX,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.131,Hourly
d5f428f2-5611-4123-a059-441654f33298,r5.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.214,Hourly
11f21f37-d140-4e86-aca5-907ac9b4ea04,r5.xlarge,Linux/UNIX,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.114,Hourly
48fdd14d-94db-42d0-b6ee-2d4b9a406f3f,r5.xlarge,SUSE Linux,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.174,Hourly
79326e5b-7e4c-4a33-af97-c1cc87b928d6,r5.xlarge,Linux with SQL Server Standard,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.594,Hourly
7b6cf255-037f-49f9-b82b-c7441f1c93ea,r5.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.174,Hourly
7c339f50-6fde-494e-bfa1-36111259e58a,r5.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.189,Hourly
826bbf48-9282-4282-8d75-5d79b6e5e6a5,r5.xlarge,Linux with SQL Server Web,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.182,Hourly
88ea1244-6c92-4072-a35a-255b9cb592fb,r5.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.614,Hourly
9baa0134-b2c3-44d8-bf99-a6681e038f21,r5.xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.197,Hourly
a55d23a6-5f32-4aa9-9fa3-abad0d7b0ac6,r5.xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.609,Hourly
b06bdd36-94b3-45ae-804b-17aa98eef947,r5.xlarge,SUSE Linux,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.159,Hourly
c46f9938-36f4-4cb8-9f64-2cef00ca702b,r5.xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.129,Hourly
c6e8a825-7b4e-4c02-8a58-8683658b6c81,r5.xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.629,Hourly
a3269898-5880-473a-b4fc-a88095c05b09,r5.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,1391.0,0.0,USD,0.113,Hourly
c207f974-9577-44de-9cf2-6632947712ec,r5.xlarge,Linux/UNIX,default,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,1391.0,0.0,USD,0.053,Hourly
874ff219-3d6f-490d-b78b-5b666223e32b,r5.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,1589.0,0.0,USD,0.06,Hourly
dce4f67f-6e55-4b30-b7aa-7de542830efd,r5.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,1589.0,0.0,USD,0.12,Hourly
7a415826-aa9c-4a47-8818-18ece6947642,r5.xlarge,Linux/UNIX,default,convertible,Partial Upfront,us-east-1d,94608000,Availability Zone,0,1599.0,0.0,USD,0.061,Hourly
e3c33283-3cb9-45a4-90d5-1aa650a088c5,r5.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-east-1d,94608000,Availability Zone,0,1599.0,0.0,USD,0.121,Hourly
603f07aa-696b-4296-b325-87dd3c7776ba,r5.xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,us-east-1d,94608000,Availability Zone,0,1798.0,0.0,USD,0.068,Hourly
c2758b1b-6e2a-43d1-9688-43cdf6d18767,r5.xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,us-east-1d,94608000,Availability Zone,0,1798.0,0.0,USD,0.128,Hourly
6c874f8d-2ec1-4191-8669-d66eba329d99,r5.xlarge,SUSE Linux,default,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,1982.0,0.0,USD,0.075,Hourly
e632f533-f725-46f0-9165-ad24c042e4d1,r5.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,2181.0,0.0,USD,0.082,Hourly
67d7f2f6-d61b-41d2-b96e-5b73279b9f84,r5.xlarge,SUSE Linux,default,convertible,Partial Upfront,us-east-1d,94608000,Availability Zone,0,2191.0,0.0,USD,0.083,Hourly
aa44de7d-8991-4713-aa8a-7759b1f7be5b,r5.xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,2279.0,0.0,USD,0.087,Hourly
4da53fa3-1524-4513-9f2c-6cdfce78f78d,r5.xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,us-east-1d,94608000,Availability Zone,0,2389.0,0.0,USD,0.09,Hourly
ad146b6f-9e92-4f67-a690-1d4cee540a52,r5.xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,2478.0,0.0,USD,0.094,Hourly
