ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0a95602e-6889-4148-946b-5e2887cbc89f,r5d.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.628,Hourly
2cc36e97-5a52-4c1c-a478-78e8bbbc1d45,r5d.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.216,Hourly
3e270726-2429-4369-a06c-d31ebe58243d,r5d.xlarge,Linux/UNIX,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.148,Hourly
4099a94d-06fd-48ee-add9-298033d2d8cc,r5d.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.646,Hourly
66f4132a-f5b3-42ee-8af7-bc464e1fb3e8,r5d.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.233,Hourly
69d886a9-979c-43be-8bdf-74ffa47b7afc,r5d.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.208,Hourly
6e4dc135-7212-4bb3-a3c7-ea9f30f0cc0d,r5d.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.226,Hourly
86faa292-604f-4217-8c87-234b72c32c1d,r5d.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.666,Hourly
93434143-7c79-416d-8290-e3562eb0c8fc,r5d.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.648,Hourly
c3194593-5241-41fd-8d7d-3c94b0ed988a,r5d.xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.211,Hourly
ce3adcae-deec-4e16-97a9-276acee58da8,r5d.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.166,Hourly
f0a2e89f-1bc7-4e00-a142-f92ca2abaa73,r5d.xlarge,SUSE Linux,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.193,Hourly
1e70c597-befb-44d4-a44f-e764aafc60e6,r5d.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.629,Hourly
27d93dbe-28f9-4723-8db9-38dbcfa45448,r5d.xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.646,Hourly
30c7a62a-85a1-406a-9f55-cd99c7df4af7,r5d.xlarge,SUSE Linux,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.191,Hourly
58a015e6-3748-45c5-9a10-9accfd481617,r5d.xlarge,Linux with SQL Server Web,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.197,Hourly
5c00e355-6807-41ca-96f4-1b8aec742c7a,r5d.xlarge,Linux with SQL Server Standard,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.609,Hourly
62db2a65-38b7-4940-bd7a-48b0316da02b,r5d.xlarge,SUSE Linux,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.174,Hourly
81957245-23a6-4f69-a913-51c2a3bb013c,r5d.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.206,Hourly
9350fc4e-94a7-4eb2-8379-558cc50cca39,r5d.xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.626,Hourly
a1d7572e-18a8-4a99-89cb-167e15b5ce7e,r5d.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.189,Hourly
e28f6445-a6da-4f1c-b783-d50a1021c439,r5d.xlarge,Linux/UNIX,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.129,Hourly
e94aa5a4-bc82-412a-a215-3d9d1e61f31b,r5d.xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.214,Hourly
f2d5877c-7d21-4876-a158-077adf315890,r5d.xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.146,Hourly
00d10294-0f6f-464c-aca5-0ad17997c320,r5d.xlarge,Linux/UNIX,default,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,1569.0,0.0,USD,0.06,Hourly
b9293b46-6e8f-4848-9276-df535403af38,r5d.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,1569.0,0.0,USD,0.12,Hourly
12e86d0a-d408-4677-ba30-9962a2e20cdd,r5d.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,1797.0,0.0,USD,0.128,Hourly
f212c82d-02e9-4f39-b733-eb2bd3b550eb,r5d.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,1797.0,0.0,USD,0.068,Hourly
18675d0e-4d31-449d-9fc0-427366a2c1b1,r5d.xlarge,Linux/UNIX,default,convertible,Partial Upfront,us-east-1d,94608000,Availability Zone,0,1804.0,0.0,USD,0.069,Hourly
743527c9-91f7-4994-b7c2-5d9c6686d70c,r5d.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-east-1d,94608000,Availability Zone,0,1804.0,0.0,USD,0.129,Hourly
8512eb2b-6a79-4183-a73e-da7240652523,r5d.xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,us-east-1d,94608000,Availability Zone,0,2032.0,0.0,USD,0.077,Hourly
ccd9dac4-9c7a-43cb-bf5d-2f77dff375f5,r5d.xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,us-east-1d,94608000,Availability Zone,0,2032.0,0.0,USD,0.137,Hourly
a8c338ce-d5ef-4c7e-aa07-9e9d8d6bfe4a,r5d.xlarge,SUSE Linux,default,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,2160.0,0.0,USD,0.082,Hourly
a4725014-6b7f-4fdf-9d97-241e2dc4310c,r5d.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,2388.0,0.0,USD,0.09,Hourly
d3c7e708-8db8-4240-b7ac-5623e08ee477,r5d.xlarge,SUSE Linux,default,convertible,Partial Upfront,us-east-1d,94608000,Availability Zone,0,2396.0,0.0,USD,0.091,Hourly
2614d13e-4548-43f8-a636-732fb7ccc8ab,r5d.xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,2457.0,0.0,USD,0.094,Hourly
b8eae3cc-f39f-49a9-b520-83fbe3283e20,r5d.xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,us-east-1d,94608000,Availability Zone,0,2623.0,0.0,USD,0.099,Hourly
