ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
2a6bed2c-30c8-4dda-b6b3-6f4d3da29465,t2.large,Linux with SQL Server Web,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.1137,Hourly
b744570a-80c2-4c52-b01d-fa86213bf181,t2.large,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.1061,Hourly
eeff76a0-5992-442a-a9d6-883ee03f0bb1,t2.large,Linux/UNIX,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.0461,Hourly
f074a922-0fab-484d-9d05-921fb52dd258,t2.large,SUSE Linux,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.0791,Hourly
2b2fd2af-2e1e-4f31-b663-b6b240a4e966,t2.large,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.1001,Hourly
6234bbe8-ef84-4310-9733-143f511000fe,t2.large,Linux/UNIX,default,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.0401,Hourly
661740f3-d5a7-4420-8a02-c91fb68382f8,t2.large,SUSE Linux,default,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.0731,Hourly
bdbcb9b2-de98-45ea-b7ec-5f351cb81b0d,t2.large,Linux with SQL Server Web,default,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.1077,Hourly
0f01d185-5fc5-4676-a4e0-f0aaa75c5cfd,t2.large,Linux/UNIX,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,488.0,0.0,USD,0.0186,Hourly
491e806c-b1be-4577-a132-632494f3493a,t2.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,488.0,0.0,USD,0.0786,Hourly
1bca5496-abf2-47d9-ba24-eed9d86c96af,t2.large,Linux/UNIX,default,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,561.0,0.0,USD,0.0213,Hourly
a440ea05-0aed-486a-ac76-8010a24491bc,t2.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,561.0,0.0,USD,0.0813,Hourly
70543cc3-165c-4f19-9cad-25d15c390d14,t2.large,SUSE Linux,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,840.0,0.0,USD,0.0316,Hourly
4c9f658a-6500-434d-ae74-8c975f92a5cb,t2.large,SUSE Linux,default,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,913.0,0.0,USD,0.0343,Hourly
a86debaf-79a4-4e01-8afb-e7e931bf4b90,t2.large,Linux/UNIX,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,917.0,0.0,USD,0.0,Hourly
fc048eba-20dc-4902-a00a-a8f9e97ce1b9,t2.large,Linux/UNIX,default,convertible,All Upfront,us-east-1e,94608000,Availability Zone,0,1099.0,0.0,USD,0.0,Hourly
198f8340-d79c-47a4-a30e-301976485e8a,t2.large,Linux with SQL Server Web,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,1376.0,0.0,USD,0.0524,Hourly
1bf933ef-a436-4d70-bd1b-f35b18fcc795,t2.large,Linux with SQL Server Web,default,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,1449.0,0.0,USD,0.0551,Hourly
d148d389-fde6-4baa-a460-bfbb7b3844e9,t2.large,SUSE Linux,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,1611.0,0.0,USD,0.0,Hourly
dd360c96-05fd-4060-9745-7f7a9a2dc468,t2.large,SUSE Linux,default,convertible,All Upfront,us-east-1e,94608000,Availability Zone,0,1793.0,0.0,USD,0.0,Hourly
d1d99247-c28b-4b7e-8be1-47c6ba30318d,t2.large,Red Hat Enterprise Linux,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,2494.0,0.0,USD,0.0,Hourly
9be3be51-7175-41a4-b895-740b0699cca6,t2.large,Red Hat Enterprise Linux,default,convertible,All Upfront,us-east-1e,94608000,Availability Zone,0,2676.0,0.0,USD,0.0,Hourly
5ca16c39-2004-49a0-8cbc-8315448a224d,t2.large,Linux with SQL Server Web,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,2694.0,0.0,USD,0.0,Hourly
8cac4705-9679-4045-bf44-a255323661d4,t2.large,Linux with SQL Server Web,default,convertible,All Upfront,us-east-1e,94608000,Availability Zone,0,2876.0,0.0,USD,0.0,Hourly
35341abe-b26c-42ec-896b-ae62559e426c,t2.large,Linux/UNIX,default,convertible,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.0661,Hourly
87f69960-64b0-40e4-80b4-6585fd1dda37,t2.large,Linux with SQL Server Web,default,convertible,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.1337,Hourly
88e04536-9903-484d-af0e-f5f80a3a37e3,t2.large,SUSE Linux,default,convertible,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.0991,Hourly
b03defb7-373e-4631-a4bd-1f28427a4046,t2.large,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.1261,Hourly
3e124db9-22d4-497d-bc47-85a07e9a62d6,t2.large,Linux with SQL Server Web,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.1251,Hourly
537ce62d-07e3-47b1-a078-51b316f7f2fb,t2.large,SUSE Linux,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.0905,Hourly
af86ad3f-8e48-4cb1-990a-15429ba9a469,t2.large,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.1175,Hourly
f60d7481-0faf-459c-a01c-7c0c0508630b,t2.large,Linux/UNIX,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.0575,Hourly
96eddc61-e0bf-45fc-bc62-e40352459f25,t2.large,Linux/UNIX,default,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,240.0,0.0,USD,0.0274,Hourly
c3a1cff9-eadf-4eb8-be7a-52d8a665f5d4,t2.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,240.0,0.0,USD,0.0874,Hourly
71ae4109-2b73-4837-83d8-0d91d0c5164a,t2.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-east-1e,31536000,Availability Zone,0,276.0,0.0,USD,0.0915,Hourly
d6a2e37b-6d60-4f48-adbb-1172dd20a633,t2.large,Linux/UNIX,default,convertible,Partial Upfront,us-east-1e,31536000,Availability Zone,0,276.0,0.0,USD,0.0315,Hourly
02d294ad-d54d-47a0-be23-f98f6c24cc14,t2.large,SUSE Linux,default,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,416.0,0.0,USD,0.0404,Hourly
8a5a1609-fd3a-4be4-bfb1-cc41a393e6a6,t2.large,SUSE Linux,default,convertible,Partial Upfront,us-east-1e,31536000,Availability Zone,0,452.0,0.0,USD,0.0445,Hourly
30bf3b9d-0150-4159-bbab-1b9d97a41a60,t2.large,Linux/UNIX,default,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,470.0,0.0,USD,0.0,Hourly
