ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
01a43eb6-45e6-4a29-b157-b0382cc1931f,x1.32xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,20.291,Hourly
04f9133c-d5f6-4169-bd24-5cc53fa59c53,x1.32xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,5.061,Hourly
072e86b1-f371-41a9-a2e1-8b682216ecab,x1.32xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,5.061,Hourly
07e40bb7-cec3-40b3-a11f-2cd3dc1ae701,x1.32xlarge,Linux/UNIX,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,4.931,Hourly
116f0300-3574-40f7-aa33-0fdacf9617c4,x1.32xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,4.964,Hourly
3b6cd0e3-a29f-490a-932b-a990fe8a013c,x1.32xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,20.291,Hourly
7d0e8169-c59f-4ae0-9ca4-29cf3c377447,x1.32xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,52.931,Hourly
8b78c65c-29e0-4566-8bc1-d7bd819db8bb,x1.32xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,7.094,Hourly
9ab1fd52-c896-431b-a617-eefc956c7f0d,x1.32xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,4.931,Hourly
9d21d76a-3c72-4223-99cf-2d2019f3aa1a,x1.32xlarge,SUSE Linux,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,4.964,Hourly
ccf0ffbe-bb62-4cbb-a275-0d06fc47981b,x1.32xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,7.094,Hourly
d1dd7880-8f4b-4b06-a594-65ad6003c1ae,x1.32xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,52.931,Hourly
