ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
15290a82-acb8-477e-8530-738eeb5e8f4a,z1d.3xlarge,SUSE Linux,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.583,Hourly
22596e63-ead8-4159-bc1a-f4a1601dfdf8,z1d.3xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.799,Hourly
4737adef-0c27-459e-88ac-0ca5a79df0a0,z1d.3xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.969,Hourly
4d761a8c-0278-4187-a434-5dc4c4d3d9a6,z1d.3xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,5.096,Hourly
6d6d6603-709f-411d-978b-c746e46604dd,z1d.3xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.732,Hourly
85067c73-8f18-44f2-99e0-9aec063875fc,z1d.3xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,2.036,Hourly
b6aede84-b954-45d3-956c-d1c00ac432d8,z1d.3xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.65,Hourly
b7acdd33-5f7d-4616-9bd8-9118e6c1bddf,z1d.3xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.726,Hourly
d574f9f3-02c5-46c8-86f7-c32ff844bd1e,z1d.3xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.659,Hourly
dd504e95-4e29-48f1-a93e-9eda12cd6309,z1d.3xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.596,Hourly
e8fba72f-ba26-44e2-8cf5-60e381bbedf9,z1d.3xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,5.029,Hourly
feb9a040-a6a8-47dd-a241-f12bb1091252,z1d.3xlarge,Linux/UNIX,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.529,Hourly
11140430-023c-4680-8d28-3adf43f32931,z1d.3xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,5.028,Hourly
19b632a3-c204-4600-a36b-8ce39e5357e8,z1d.3xlarge,Linux with SQL Server Standard,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.9,Hourly
5310befe-2862-445d-9fc2-089354fd9777,z1d.3xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.968,Hourly
6d3f6972-cf68-407a-8592-6b24ca11fef0,z1d.3xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,4.96,Hourly
8a3245e1-f4ed-4e71-ac01-292b24543563,z1d.3xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.59,Hourly
93d64d11-02e8-433f-8ab0-72d6770ae08f,z1d.3xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.73,Hourly
94810b9a-a6f2-4acf-94be-e306c11d8cd1,z1d.3xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.658,Hourly
cff30213-f693-4631-a44c-269a2caa448e,z1d.3xlarge,Linux/UNIX,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.46,Hourly
db59e8eb-0480-4632-9d94-698c4caebbc4,z1d.3xlarge,SUSE Linux,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.582,Hourly
e628e064-fea6-4fb6-8fd5-e53e11012082,z1d.3xlarge,SUSE Linux,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.514,Hourly
ead6ed0f-470c-449d-9d91-bc5897ce8c82,z1d.3xlarge,Linux with SQL Server Web,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.663,Hourly
f4fb61b6-04fc-4efe-9ac8-62ed4a9d4260,z1d.3xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.528,Hourly
49e38dd6-cbbf-44de-9a05-2b90a930219f,z1d.3xlarge,Linux/UNIX,default,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,5602.0,0.0,USD,0.213,Hourly
98abc03b-d8ba-4b33-bd9a-0983ffc767a1,z1d.3xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,5602.0,0.0,USD,0.343,Hourly
9b0ff922-7099-4002-8a4a-76127170e0e6,z1d.3xlarge,SUSE Linux,default,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,6311.0,0.0,USD,0.24,Hourly
10feeb33-042c-4756-9746-8722164d5bc9,z1d.3xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-east-1d,94608000,Availability Zone,0,6438.0,0.0,USD,0.375,Hourly
1e63923b-347f-4325-81e5-7a29eb71b92f,z1d.3xlarge,Linux/UNIX,default,convertible,Partial Upfront,us-east-1d,94608000,Availability Zone,0,6438.0,0.0,USD,0.245,Hourly
58fa8c37-153c-47ba-ae62-dd5493235e54,z1d.3xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,6485.0,0.0,USD,0.377,Hourly
801583bb-6c5d-4a51-9b00-5a2a17d77e3b,z1d.3xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,6485.0,0.0,USD,0.247,Hourly
0a2eeb76-76a1-43d7-ba1b-b28a957712c5,z1d.3xlarge,SUSE Linux,default,convertible,Partial Upfront,us-east-1d,94608000,Availability Zone,0,7147.0,0.0,USD,0.272,Hourly
0c334bf0-567e-49d5-8229-59353a3a86fc,z1d.3xlarge,SUSE Linux,dedicated,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,7194.0,0.0,USD,0.274,Hourly
15e7fb4a-b2e9-4b31-873f-2b562f76911a,z1d.3xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,us-east-1d,94608000,Availability Zone,0,7320.0,0.0,USD,0.279,Hourly
f860a868-9347-451a-9c32-05d14def7d20,z1d.3xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,us-east-1d,94608000,Availability Zone,0,7320.0,0.0,USD,0.409,Hourly
b05cbe60-2848-44ae-be62-1da7418c472e,z1d.3xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,us-east-1d,94608000,Availability Zone,0,8030.0,0.0,USD,0.306,Hourly
84207ab9-291a-4ac3-80c1-fa650f427635,z1d.3xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,8267.0,0.0,USD,0.315,Hourly
3ae3dab1-14da-4cc5-9193-3ef6d97f5ad6,z1d.3xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,us-east-1d,94608000,Availability Zone,0,9102.0,0.0,USD,0.346,Hourly
