ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
04982d96-0031-4aaf-b6e1-4a16465f2715,z1d.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.159,Hourly
28818310-dbbc-4f43-a06c-614786c702ac,z1d.large,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.148,Hourly
3ed8f145-bb33-4ae4-9b1d-7c5062be2ff9,z1d.large,Linux with SQL Server Standard,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.568,Hourly
427b4229-43f6-4164-bcce-8ae5c78cc0fa,z1d.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.167,Hourly
68d0d9be-69be-49ca-bf61-287b9d64bc9e,z1d.large,Linux with SQL Server Web,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.156,Hourly
75b91926-82d9-43ed-8108-e0ff8e15e441,z1d.large,SUSE Linux,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.11,Hourly
8352d94d-b20c-4047-a1fa-b0a42a26fa80,z1d.large,SUSE Linux,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.121,Hourly
8622e0e3-a0d9-443b-8c14-04b64650417c,z1d.large,Linux/UNIX,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.088,Hourly
9ce9d950-5ac8-4596-9d69-879f97cdeb4d,z1d.large,Linux/UNIX,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.099,Hourly
a21ef681-f9d1-40db-b13c-fc0d6ef2f258,z1d.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.579,Hourly
1163edf7-cc67-498b-8494-24f70cfa1f38,z1d.large,Linux with SQL Server Web,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.156,Hourly
41b35910-ecc7-4ddf-8ccb-0486c70c1b48,z1d.large,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.137,Hourly
438b4933-4313-45ea-9767-374759d22dff,z1d.large,SUSE Linux,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.099,Hourly
4d646ffa-9b69-40f1-897f-6727611a6a65,z1d.large,Linux with SQL Server Web,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.144,Hourly
6f5d2208-3cb5-45c3-a61d-9326d9f7ad85,z1d.large,Linux with SQL Server Standard,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.557,Hourly
76e07afb-d9c1-47b4-b25c-357f29d0f4a2,z1d.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.568,Hourly
9064186d-1699-40b8-82a3-117480e71b1e,z1d.large,SUSE Linux,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.11,Hourly
ad6badb0-3356-42ea-8a91-5510a424a8f2,z1d.large,Linux/UNIX,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.088,Hourly
