ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
05c1a52c-77e7-4825-861e-39463adca1a5,c4.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.112,Hourly
070a43d3-83fa-41d1-ba2a-0ea5a57ff859,c4.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,1.602,Hourly
14f8ab8f-c653-4e40-bc13-97bbb32d9797,c4.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,1.612,Hourly
1c0b1794-721e-442f-a4e3-ce89e82ef643,c4.xlarge,SUSE Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.135,Hourly
21762260-6a6c-46ac-8b82-038ef98be85e,c4.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.162,Hourly
312ef7de-6c25-4fdc-bce8-418f2784f169,c4.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.18,Hourly
90fcf7a5-a724-4ec0-b505-e0610773c755,c4.xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.145,Hourly
9ff64572-eae4-48e6-ba5e-e20bb3ba6af4,c4.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.169,Hourly
bf40aea2-9b8c-40f6-b75c-95bd75d738de,c4.xlarge,Linux/UNIX,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.102,Hourly
c9a5d620-df77-434c-b4ba-86c64c640235,c4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.172,Hourly
e6768fb0-bbc4-4cad-b1be-7ccfc2a7b892,c4.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.592,Hourly
f0f2f23f-ee16-4629-9ccf-5166a314117e,c4.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.582,Hourly
068b599a-156c-4a2e-b51b-547aeb0d5b83,c4.xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.165,Hourly
128949a4-ea79-4bd9-8ad2-ae6019c001b6,c4.xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,1.597,Hourly
2ca946b8-fef0-4963-ba99-fa01a77cb99b,c4.xlarge,Linux with SQL Server Standard,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.569,Hourly
5c4cd0ef-08f1-4ea3-a836-bfa8cabc4bc0,c4.xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.577,Hourly
a29e360b-5578-49c8-a099-c78fffc1a4e6,c4.xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.097,Hourly
d07d585c-c1da-476c-b93a-d11ddac99435,c4.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,1.589,Hourly
e5d98860-dcec-491a-9426-6c81ac795f7e,c4.xlarge,Linux with SQL Server Web,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.156,Hourly
ea191e0a-057e-44ed-80ad-1d78ddf287a4,c4.xlarge,Linux/UNIX,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.089,Hourly
2142b269-5587-4490-8bf6-96ec9053eab0,c4.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1091.0,0.0,USD,0.102,Hourly
c1090859-e925-4b32-98f9-4a60fc3b91f3,c4.xlarge,Linux/UNIX,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1091.0,0.0,USD,0.042,Hourly
2f3f06c4-fe77-492a-88c3-e5476a13e30c,c4.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1200.0,0.0,USD,0.106,Hourly
abf03c98-08b4-4f78-956b-bcb91d83f57b,c4.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1200.0,0.0,USD,0.046,Hourly
27da9937-06ba-4fa7-820f-6be868017584,c4.xlarge,Linux/UNIX,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1239.0,0.0,USD,0.047,Hourly
44132da2-ce89-4146-81c1-691221d92e19,c4.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1239.0,0.0,USD,0.107,Hourly
744b1c04-def8-4285-a16e-5ab0b781f763,c4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1363.0,0.0,USD,0.112,Hourly
