ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
2b41be92-3d5d-4549-95f7-5c580c12a615,c5.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.113,Hourly
43dd1ca4-acc5-433d-ad91-b3d70aa5f9ce,c5.large,Linux with SQL Server Standard,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.521,Hourly
65215bac-55e2-4c95-81c6-04e10c8ed607,c5.large,Linux/UNIX,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.046,Hourly
67b4f185-4ccb-4894-b382-e28f316649de,c5.large,Linux with SQL Server Web,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.108,Hourly
982d2a82-3a08-4fdf-b4df-8522186d0c16,c5.large,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.101,Hourly
9d379358-9062-48f1-9770-ef334656f8f9,c5.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.106,Hourly
a5f59168-da9e-44db-ad9c-88570aea0ba3,c5.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.526,Hourly
a836fe54-295a-4db8-8953-f7569ba0fc6e,c5.large,Linux/UNIX,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.041,Hourly
df9546e8-f26e-415d-9b28-dd68aff8bf8b,c5.large,SUSE Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.074,Hourly
e7386f6d-0f2c-43cb-86ad-c1d733a65760,c5.large,SUSE Linux,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.079,Hourly
0153c575-5530-4a98-afeb-c72aa17bc8c1,c5.large,Linux with SQL Server Web,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.108,Hourly
08b8cb40-eadc-4ec9-b41a-cd20fabcafff,c5.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.1,Hourly
3d771107-9499-42e2-a68c-aa9bdbec1fde,c5.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.52,Hourly
4a2ba462-b10a-4c01-9616-d01419696297,c5.large,Linux with SQL Server Web,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.103,Hourly
4e620344-5307-416f-bffd-bacba66b5781,c5.large,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.095,Hourly
89776f61-98be-4206-a758-69aacf6d9760,c5.large,Linux/UNIX,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.04,Hourly
908ea700-1918-4efa-a9a2-88d6fddba974,c5.large,Linux/UNIX,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.035,Hourly
bf6c584a-1e21-4a2c-979e-a856dae377d4,c5.large,Linux with SQL Server Standard,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.515,Hourly
db86a130-adc2-44f3-9435-f765ac28dc25,c5.large,SUSE Linux,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.073,Hourly
f3111ea4-a34e-4208-b3bd-b0b96d6c8358,c5.large,SUSE Linux,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.068,Hourly
8a9f2a83-40b6-4347-b882-a6cc44af5662,c5.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,429.0,0.0,USD,0.076,Hourly
d8fd1022-77dd-4bce-8820-f5d08293935f,c5.large,Linux/UNIX,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,429.0,0.0,USD,0.016,Hourly
988e25fa-95e6-41a1-9286-30ec889e7c38,c5.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,493.0,0.0,USD,0.079,Hourly
a0595110-e36b-41e4-958a-8a237ca5598c,c5.large,Linux/UNIX,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,493.0,0.0,USD,0.019,Hourly
9e9a0f2d-8d85-470c-acb4-3a842345f114,c5.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,496.0,0.0,USD,0.079,Hourly
ca149599-5b82-434e-86c8-dbd35f4b26ad,c5.large,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,496.0,0.0,USD,0.019,Hourly
0576e045-4204-428d-8646-41400b9d9103,c5.large,Linux/UNIX,dedicated,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,561.0,0.0,USD,0.021,Hourly
f1731768-3ce9-49b7-bfd8-348d9d6df024,c5.large,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,561.0,0.0,USD,0.081,Hourly
0bbe1c10-3888-4cc6-8593-a95e4622b9ea,c5.large,SUSE Linux,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,781.0,0.0,USD,0.029,Hourly
b2ca6eb6-c79f-4fbd-bfaf-ec4970bcbe4b,c5.large,Linux/UNIX,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,806.0,0.0,USD,0.0,Hourly
95d2b61e-7c2e-42ac-9c52-46828bcaa43d,c5.large,SUSE Linux,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,845.0,0.0,USD,0.032,Hourly
0d67c0b3-ed10-47b0-8ca3-37896c6ae70c,c5.large,SUSE Linux,dedicated,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,848.0,0.0,USD,0.032,Hourly
20ea7aa8-0837-4160-8aa6-ed6500d622c1,c5.large,SUSE Linux,dedicated,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,913.0,0.0,USD,0.034,Hourly
4651b53c-a9bc-4204-a5a0-8370406141a7,c5.large,Linux/UNIX,dedicated,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,941.0,0.0,USD,0.0,Hourly
9d23b06e-6f87-48ae-9803-cdd1af121224,c5.large,Linux/UNIX,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,966.0,0.0,USD,0.0,Hourly
23ac2b9f-3572-4684-a360-9e40657a5716,c5.large,Linux/UNIX,dedicated,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,1101.0,0.0,USD,0.0,Hourly
8dd5ab1a-716d-4577-8c70-a68430d5a29f,c5.large,Linux with SQL Server Web,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1317.0,0.0,USD,0.05,Hourly
31eb47b5-f74c-4a12-a588-a53508b28c7d,c5.large,Linux with SQL Server Web,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1381.0,0.0,USD,0.053,Hourly
41806478-27c2-42cd-a351-dcd5bebc76ca,c5.large,Linux with SQL Server Web,dedicated,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1384.0,0.0,USD,0.053,Hourly
e5d3e5bf-333e-43c5-b59e-86879990a286,c5.large,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1449.0,0.0,USD,0.055,Hourly
4cc84583-ca65-4d9e-8995-2b7f0d0305d0,c5.large,SUSE Linux,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,1500.0,0.0,USD,0.0,Hourly
0c66340d-602a-407c-b0e1-1534af351097,c5.large,SUSE Linux,dedicated,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,1635.0,0.0,USD,0.0,Hourly
eadc0e59-64fb-446c-bf2b-5841dcf2e6e6,c5.large,SUSE Linux,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,1660.0,0.0,USD,0.0,Hourly
feff5820-96a4-43a0-9ba8-570253574dba,c5.large,SUSE Linux,dedicated,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,1795.0,0.0,USD,0.0,Hourly
ba5a470c-feec-4edc-8fb8-da9876f59262,c5.large,Red Hat Enterprise Linux,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,2383.0,0.0,USD,0.0,Hourly
87c6bd6b-417e-47db-ab47-290315f78c2f,c5.large,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,2518.0,0.0,USD,0.0,Hourly
cbdd3913-9101-4289-ae2b-307a6d975d37,c5.large,Red Hat Enterprise Linux,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,2543.0,0.0,USD,0.0,Hourly
9a419a9e-40a9-49cb-b2c9-1972f2dd4102,c5.large,Linux with SQL Server Web,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,2582.0,0.0,USD,0.0,Hourly
