ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
07ca17eb-28a3-4af9-a849-05dd96ea118a,c5d.large,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.106,Hourly
375e2058-c95b-4220-b385-f8acf8520abc,c5d.large,SUSE Linux,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.085,Hourly
60c2cf5e-e051-4579-8fd7-684daa046eb2,c5d.large,SUSE Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.079,Hourly
67e79391-23ac-489f-a9ee-c241149d26ae,c5d.large,Linux with SQL Server Web,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.113,Hourly
7c1646b4-8f2a-48c4-8b09-2eea7d1c3819,c5d.large,Linux/UNIX,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.046,Hourly
9287f303-a197-4897-81a1-a2295e6c6ec1,c5d.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.112,Hourly
c1cdfa1f-c903-486c-ae01-e77060e180f1,c5d.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.532,Hourly
dd2b54b2-9446-4e85-8554-3a2e75c91bac,c5d.large,Linux with SQL Server Standard,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.526,Hourly
e031d795-9123-4c5c-8851-8941768428c1,c5d.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.119,Hourly
f518d1a0-8a26-421c-8d38-af48ada65bea,c5d.large,Linux/UNIX,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.052,Hourly
06b5b946-afca-4dd1-9a77-ec97282126cc,c5d.large,Linux/UNIX,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.04,Hourly
28e29733-644f-4b0a-b6c9-db94230e4116,c5d.large,Linux with SQL Server Standard,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.52,Hourly
420f7707-b330-4d82-85cb-c82322985727,c5d.large,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.1,Hourly
6f02e134-4eab-4911-a559-32c7be84f412,c5d.large,Linux with SQL Server Web,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.107,Hourly
7a2b5915-bcf1-4c11-95dd-f662d7d7d64a,c5d.large,SUSE Linux,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.073,Hourly
8068b43d-2c9c-46ce-90a1-905be691dc67,c5d.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.106,Hourly
89274ed6-51c9-462b-a48e-f9cc970d4111,c5d.large,SUSE Linux,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.079,Hourly
aa69ffdc-208e-4393-922a-daa0a9a647ff,c5d.large,Linux with SQL Server Web,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.113,Hourly
c7750abe-3301-4d39-9b0f-4e0c267d2202,c5d.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.526,Hourly
cedac337-4b79-42eb-88ed-1abfc96ce81f,c5d.large,Linux/UNIX,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.046,Hourly
4a35dcaa-a011-42a8-9719-edd75f92d8ff,c5d.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,485.0,0.0,USD,0.078,Hourly
b1431566-1d87-4ca7-9efb-d1235eae9d54,c5d.large,Linux/UNIX,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,485.0,0.0,USD,0.018,Hourly
00c01365-ba3b-4d45-a72e-41b8bb414caa,c5d.large,Linux/UNIX,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,558.0,0.0,USD,0.021,Hourly
d680cfb1-120a-46cd-bf77-85b1a5e404aa,c5d.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,558.0,0.0,USD,0.081,Hourly
32d757c1-cb18-4141-8b42-8bba7eb89b9c,c5d.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,561.0,0.0,USD,0.081,Hourly
5ae06019-4bc2-42b3-ac98-4879e1815288,c5d.large,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,561.0,0.0,USD,0.021,Hourly
3b7ab4fe-4834-43b2-b61f-041d4f77ae09,c5d.large,Linux/UNIX,dedicated,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,634.0,0.0,USD,0.024,Hourly
