ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
620665d0-a85b-4328-acaa-e34487e9e5f6,d2.8xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,16.175,Hourly
6e1f51b3-5493-4134-9e35-dda68423d1e9,d2.8xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,2.931,Hourly
79cb5609-c823-490d-a761-8f6cef038fc7,d2.8xlarge,SUSE Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,2.931,Hourly
7dc46465-70f6-4a4a-8785-a87be0de1b74,d2.8xlarge,Linux/UNIX,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,2.894,Hourly
9e8d0352-05cc-41e8-a38a-42f247762f97,d2.8xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,2.894,Hourly
b8623549-e254-4d1b-bb04-d0b74a608515,d2.8xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,3.024,Hourly
ee13ab16-bdc1-4e20-98d1-d20bc4c2f034,d2.8xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,16.175,Hourly
f8faf702-1f84-4d8a-8bd3-b9ccb1c92124,d2.8xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,3.024,Hourly
571cbf69-db49-46ba-ac01-14079a57ec59,d2.8xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,22136.0,0.0,USD,0.97,Hourly
697fe0a3-0066-460b-b81e-333254ee4559,d2.8xlarge,Linux/UNIX,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,22136.0,0.0,USD,0.84,Hourly
95c601c3-659b-4542-be14-42090bcc3f31,d2.8xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,22136.0,0.0,USD,0.84,Hourly
b19b50ed-3698-4052-ad86-bf42a68275bb,d2.8xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,22136.0,0.0,USD,0.97,Hourly
4208f633-5757-452d-a7f4-6355b5a7e9fa,d2.8xlarge,SUSE Linux,dedicated,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,22488.0,0.0,USD,0.853,Hourly
ee9ff061-26d6-4d6d-a23f-96950e702821,d2.8xlarge,SUSE Linux,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,22488.0,0.0,USD,0.853,Hourly
2eb734b0-9884-486e-bad0-2d2bd9cad71f,d2.8xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,32530.0,0.0,USD,1.238,Hourly
40f8f425-48d5-4e69-a108-a8147b6f62b4,d2.8xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,32530.0,0.0,USD,1.368,Hourly
b7e85b1f-312e-43dd-9c2e-dabdeff8a3ad,d2.8xlarge,Linux/UNIX,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,32530.0,0.0,USD,1.238,Hourly
f99c1daf-a227-40c0-b43d-7ed9d6bf7c6f,d2.8xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,32530.0,0.0,USD,1.368,Hourly
865bd6c9-807b-4eed-9afe-92101fcfc038,d2.8xlarge,SUSE Linux,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,32882.0,0.0,USD,1.251,Hourly
f6440ef4-edcd-4e46-b3b1-a6deb374bce0,d2.8xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,32882.0,0.0,USD,1.251,Hourly
a5d23c13-710f-4daf-80a4-e0207a8856ea,d2.8xlarge,Linux/UNIX,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,41560.0,0.0,USD,0.0,Hourly
bfae8564-2405-4b68-8ae6-e6b52c99317e,d2.8xlarge,Linux/UNIX,dedicated,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,41560.0,0.0,USD,0.0,Hourly
10b2953a-dec2-40c8-a668-55171d468ebb,d2.8xlarge,SUSE Linux,dedicated,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,42211.0,0.0,USD,0.0,Hourly
4e13db45-daeb-4ac9-859a-5bed1d5e961a,d2.8xlarge,SUSE Linux,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,42211.0,0.0,USD,0.0,Hourly
43cba237-f077-4ff0-bad8-ef7c147213c6,d2.8xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,44770.0,0.0,USD,0.0,Hourly
94e7910f-2cbc-4995-8498-77a540969528,d2.8xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,44770.0,0.0,USD,0.0,Hourly
53fcbaf6-4c77-40c8-81ef-f11affb7903d,d2.8xlarge,Linux/UNIX,dedicated,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,63763.0,0.0,USD,0.0,Hourly
d97e1aa9-7cf7-4cc3-8cd8-e4bf5583038e,d2.8xlarge,Linux/UNIX,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,63763.0,0.0,USD,0.0,Hourly
ad46caa0-ee58-4fcc-bcf5-9a092c4da435,d2.8xlarge,SUSE Linux,dedicated,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,64414.0,0.0,USD,0.0,Hourly
ca186366-a679-483d-8576-44e181cff244,d2.8xlarge,SUSE Linux,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,64414.0,0.0,USD,0.0,Hourly
b08471c6-2df8-430a-9060-1fd936bd9ad0,d2.8xlarge,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,67123.0,0.0,USD,0.0,Hourly
c54cc30a-f797-4e8a-ac00-0a1e0e102c07,d2.8xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,67123.0,0.0,USD,0.0,Hourly
5d6dc64a-9f85-42bd-b8d4-de4628b85877,d2.8xlarge,Linux with SQL Server Enterprise,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,199513.0,0.0,USD,7.592,Hourly
68925e94-ebd3-4841-9326-cb19eabe16ca,d2.8xlarge,Linux with SQL Server Enterprise,dedicated,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,199513.0,0.0,USD,7.592,Hourly
533e41ee-868f-4445-9224-071b85605e6b,d2.8xlarge,Linux with SQL Server Enterprise,dedicated,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,209938.0,0.0,USD,7.988,Hourly
da52e1d0-057d-4033-87d5-3aa17473096e,d2.8xlarge,Linux with SQL Server Enterprise,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,209938.0,0.0,USD,7.988,Hourly
468b94a1-54fd-4d61-b918-1ba9cacf3c6c,d2.8xlarge,Linux with SQL Server Enterprise,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,396370.0,0.0,USD,0.0,Hourly
b7b17345-cf8e-4801-a871-2eb20c6f16dc,d2.8xlarge,Linux with SQL Server Enterprise,dedicated,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,396370.0,0.0,USD,0.0,Hourly
36ecdbeb-04bd-4409-911a-fcd0e4f422c6,d2.8xlarge,Linux with SQL Server Enterprise,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,418574.0,0.0,USD,0.0,Hourly
7e186466-d34a-45e8-badb-da104bb5fc86,d2.8xlarge,Linux with SQL Server Enterprise,dedicated,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,418574.0,0.0,USD,0.0,Hourly
07d19be9-158d-4135-b7d5-8753c9be66ca,d2.8xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,3.463,Hourly
3bab233b-379d-49d7-9aa5-3cf49060ece2,d2.8xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,16.833,Hourly
66681615-0dfe-46b1-b5e7-715f5bb9b61d,d2.8xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,16.833,Hourly
