ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0ac9cdc6-021f-491e-a73a-ca00f39d5232,g2.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.557,Hourly
61eb8da1-961e-466c-a0d8-3008c34964f3,g2.2xlarge,Linux/UNIX,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.427,Hourly
8292f8b9-4767-4f95-9608-68aa9efde267,g2.2xlarge,SUSE Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.463,Hourly
c99a46b9-83ed-402b-92bc-10c68abd45ab,g2.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.612,Hourly
cbe18f42-20bf-431c-a329-d8311aa32907,g2.2xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.509,Hourly
e25e1ea0-6cae-4700-b965-204e7e10d711,g2.2xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.469,Hourly
77cbbae4-dccf-4670-ac03-08f6972e1f6c,g2.2xlarge,Linux/UNIX,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,6226.0,0.0,USD,0.128,Hourly
d88abb13-fd8a-4439-9ffa-8cd1d331d7e0,g2.2xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,6226.0,0.0,USD,0.258,Hourly
12aaf26c-6bef-4d01-abfe-ccf256694cab,g2.2xlarge,SUSE Linux,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,6578.0,0.0,USD,0.14,Hourly
9073ee8d-ad30-4f98-906f-6bc13de06a6d,g2.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,6850.0,0.0,USD,0.283,Hourly
d2a92842-cdb5-4ac5-a0e0-78373f39db60,g2.2xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,6850.0,0.0,USD,0.14,Hourly
5997375a-bf2c-4914-9729-46e5c5616e97,g2.2xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,7237.0,0.0,USD,0.153,Hourly
9cf7de14-80b3-474a-aef6-b9565d6bfa77,g2.2xlarge,Linux/UNIX,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,9391.0,0.0,USD,0.0,Hourly
d2f3a68f-17b7-40e5-935a-fe93d2d6e38e,g2.2xlarge,SUSE Linux,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,10019.0,0.0,USD,0.0,Hourly
1dc95006-13f8-4414-afb8-7c63f1d2b5f2,g2.2xlarge,Linux/UNIX,dedicated,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,10328.0,0.0,USD,0.0,Hourly
c86634c9-efd8-415d-bdda-57229f9b36ed,g2.2xlarge,SUSE Linux,dedicated,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,11018.0,0.0,USD,0.0,Hourly
0a4ab4be-8faa-46d0-b515-f7a3af189cf9,g2.2xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,12739.0,0.0,USD,0.0,Hourly
555636c9-7778-43f4-a866-576d8873e9f5,g2.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,14012.0,0.0,USD,0.0,Hourly
0779ddac-305e-4bc1-8ae6-052bbd05d058,g2.2xlarge,Windows with SQL Server Standard,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,3.707,Hourly
85a48588-fbef-40b0-8a87-aef7863d3c99,g2.2xlarge,Windows with SQL Server Web,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.728,Hourly
af79b4fe-d8a7-49f4-8196-e87eb51128b0,g2.2xlarge,Windows,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.564,Hourly
de93ecee-bd42-41ce-aab0-cc66a0234926,g2.2xlarge,Windows,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.62,Hourly
fab48d69-8174-466b-a599-318a4b4a0e5b,g2.2xlarge,Windows with SQL Server Standard,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,4.077,Hourly
fee28f35-4fda-4301-a9f3-5dadaa122512,g2.2xlarge,Windows with SQL Server Web,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.8,Hourly
6896a194-ae7a-497f-80e4-d6586d9a762c,g2.2xlarge,Windows,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,8230.0,0.0,USD,0.169,Hourly
a3a0f200-292b-434c-b5d9-bab220c0a784,g2.2xlarge,Windows,dedicated,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,9052.0,0.0,USD,0.185,Hourly
f03e7e20-9b15-4d54-8d48-a08eb8bb5e56,g2.2xlarge,Windows with SQL Server Web,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,9757.0,0.0,USD,0.251,Hourly
7eadea9b-c634-46b8-a966-849bc81d4152,g2.2xlarge,Windows with SQL Server Web,dedicated,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,10732.0,0.0,USD,0.276,Hourly
bedfa2fd-d6b3-41bb-94eb-e9c71d89bbf7,g2.2xlarge,Windows,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,12415.0,0.0,USD,0.0,Hourly
d7f700c3-0fc1-4ed0-84f8-c2d05b131544,g2.2xlarge,Windows,dedicated,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,13655.0,0.0,USD,0.0,Hourly
c26a736c-f4d2-41bd-a0ae-3be21371e8fe,g2.2xlarge,Windows with SQL Server Web,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,16021.0,0.0,USD,0.0,Hourly
0c50398b-115a-48ac-a51a-40900ab11a71,g2.2xlarge,Windows with SQL Server Web,dedicated,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,17621.0,0.0,USD,0.0,Hourly
9d3f664b-3517-46a4-bb35-d14b0d39f3d7,g2.2xlarge,Windows with SQL Server Standard,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,33031.0,0.0,USD,1.911,Hourly
0e64fd83-5008-453e-880a-cafa12178576,g2.2xlarge,Windows with SQL Server Standard,dedicated,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,36334.0,0.0,USD,2.102,Hourly
4fd4715b-2015-4567-b908-3be4b59bff8e,g2.2xlarge,Windows with SQL Server Standard,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,81583.0,0.0,USD,0.0,Hourly
39bd506e-fa5d-4ce3-8216-0877a96282ff,g2.2xlarge,Windows with SQL Server Standard,dedicated,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,89741.0,0.0,USD,0.0,Hourly
114acc35-c934-4bbe-a313-7dff20d55cc9,g2.2xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-east-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.469,Hourly
88915eec-30a8-4925-beaa-134957bfd2c4,g2.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.557,Hourly
89dbde7b-e132-4460-8f3a-1fa1705d63ed,g2.2xlarge,SUSE Linux,default,convertible,No Upfront,us-east-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.463,Hourly
bc749cef-5e13-4f07-b3f9-2dcfd7ac4db4,g2.2xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-east-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.509,Hourly
c05cfc06-f009-4125-8035-0337730ea3f1,g2.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-east-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.612,Hourly
c9eb2464-d6d5-4fd5-85dd-4b57abee8242,g2.2xlarge,Linux/UNIX,default,convertible,No Upfront,us-east-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.427,Hourly
