ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0aec58c6-7599-488c-8f23-83b6e42a8d76,m5.12xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,1.309,Hourly
38b06d09-4b60-43b4-b1f8-583e77719e45,m5.12xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,19.309,Hourly
433eaedc-26e8-4303-96f1-bb2edc5dd6d0,m5.12xlarge,Linux/UNIX,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,1.168,Hourly
6d72619f-9633-4b0a-87f2-c3eae7720c7f,m5.12xlarge,SUSE Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,1.201,Hourly
7248f8fa-1c76-4791-a784-45112c0ca66f,m5.12xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,1.98,Hourly
7dbf32bc-8331-4e96-bde4-59f774304c54,m5.12xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,7.069,Hourly
8e9a7afb-61d2-46ad-bc63-d56da443b01d,m5.12xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,2.12,Hourly
922cd578-269b-4be8-b971-374aced771cd,m5.12xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,1.298,Hourly
97257031-d7c4-4e48-9c84-8eacdeb7dab8,m5.12xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,19.168,Hourly
b6feae1f-1a4f-4ccb-bd96-ba563ece7153,m5.12xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,1.342,Hourly
