ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
24440add-fc0f-4845-bc9f-d3e93d526f81,m5d.large,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.117,Hourly
384cb15b-474d-4a5e-b1ba-c187639452fa,m5d.large,Linux with SQL Server Web,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.124,Hourly
3b3b043d-02fd-4d92-8e2a-10c3ebaab345,m5d.large,Linux with SQL Server Standard,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.537,Hourly
4f4cc9d2-8a50-431f-868c-1fce25d102e6,m5d.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.131,Hourly
8093e135-e709-43f9-9238-79f9880382c1,m5d.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.544,Hourly
85527f84-3994-4f04-8e1d-f8066352b6a1,m5d.large,SUSE Linux,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.097,Hourly
89c45ef0-fe25-42c7-8292-e65ea5a641f6,m5d.large,Linux/UNIX,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.064,Hourly
8def6f10-5f9d-4f0a-942f-8450fe69946e,m5d.large,SUSE Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.09,Hourly
9e7840b2-fd44-49e2-a360-b1f3c4530196,m5d.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.124,Hourly
e04b075a-6f5d-4c7b-b943-d211ba22cfde,m5d.large,Linux/UNIX,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.057,Hourly
11eb582e-da2e-433e-afd4-7942e954b4ce,m5d.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.116,Hourly
23f1e18e-31ac-490a-a126-e6527e168ff9,m5d.large,SUSE Linux,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.082,Hourly
2c89a530-609c-4ab2-80d9-69a7b033998a,m5d.large,Linux with SQL Server Web,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.124,Hourly
4ab6ac7f-39d9-483c-90a8-b846168f73b3,m5d.large,Linux/UNIX,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.049,Hourly
4c6aabb3-3ed1-4bfc-ba83-e337cc8b2a8c,m5d.large,SUSE Linux,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.089,Hourly
4f384d78-42b4-4a66-a658-87cdff57fbd2,m5d.large,Linux/UNIX,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.056,Hourly
582e1174-69ba-40dc-8643-cf84d15a5687,m5d.large,Linux with SQL Server Standard,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.529,Hourly
a7ff01fc-02d8-44e3-a62e-64a2cbe3f355,m5d.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.536,Hourly
b20c1690-e711-4f74-8f76-d8145513f323,m5d.large,Linux with SQL Server Web,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.117,Hourly
b77960f8-6b0a-43f1-86ba-a5c48395fb2a,m5d.large,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.109,Hourly
8e0a2efa-57e1-497e-b439-1a34ec0c94e6,m5d.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,602.0,0.0,USD,0.083,Hourly
9975611c-4ff1-486f-9c86-75b75532d1b3,m5d.large,Linux/UNIX,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,602.0,0.0,USD,0.023,Hourly
