ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
4b2fd5aa-0bd4-40d3-a4c8-1a040d914000,p2.8xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,4.353,Hourly
65eccfee-133a-43be-ac18-7bfbd0b2e736,p2.8xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,16.223,Hourly
66cc71a3-cf22-4c2e-a6d6-3fd87883ce03,p2.8xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,16.645,Hourly
7aba6314-7a25-48ed-9526-7121c2d4feaf,p2.8xlarge,SUSE Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,4.256,Hourly
7be7b34a-a6fd-40fb-ad19-1741ad3071bb,p2.8xlarge,Linux/UNIX,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,4.223,Hourly
969a70fd-714d-41f0-9075-9083b53023e0,p2.8xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,4.645,Hourly
cd851480-7fb0-49ce-b2f1-78b3bc52baed,p2.8xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,4.678,Hourly
de954bcc-fb63-43ab-afc5-747b91a9ec0c,p2.8xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,4.775,Hourly
43d243ad-5d2c-421c-ba7a-bf71b767065d,p2.8xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,4.039,Hourly
673c97f0-6b46-445f-bf47-1de225fcbfac,p2.8xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,15.672,Hourly
b61eaf47-70b5-4ef0-b80f-09af6ebcf186,p2.8xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,16.039,Hourly
c7ee2564-37f6-4c46-b355-5bbd8824e6a0,p2.8xlarge,Linux/UNIX,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,3.672,Hourly
7790b371-5f8e-4a76-9230-e27a1a83b83b,p2.8xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,44676.0,0.0,USD,1.83,Hourly
a708ecac-0ddb-4444-b0ee-3df991eb07a0,p2.8xlarge,Linux/UNIX,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,44676.0,0.0,USD,1.7,Hourly
e9b0b22b-bd84-4372-b135-30d0507e8e97,p2.8xlarge,SUSE Linux,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,45028.0,0.0,USD,1.713,Hourly
1ba86552-8a0b-4f8e-952d-93e4a156b1ed,p2.8xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,49144.0,0.0,USD,1.87,Hourly
454e8d36-0039-4e76-bda6-da38f0b02d4d,p2.8xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,49144.0,0.0,USD,2.0,Hourly
02adf7ba-d71d-42b4-8b0c-bdaa318c245e,p2.8xlarge,SUSE Linux,dedicated,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,49496.0,0.0,USD,1.883,Hourly
6d89f4b6-9191-4f31-b682-5ff235781d3d,p2.8xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,51378.0,0.0,USD,2.085,Hourly
7f024c93-ed7b-41c1-b4a7-bbbd75d39941,p2.8xlarge,Linux/UNIX,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,51378.0,0.0,USD,1.955,Hourly
f1193a61-49f5-4a59-9278-292d129a17c8,p2.8xlarge,SUSE Linux,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,51730.0,0.0,USD,1.968,Hourly
2213da31-7cd5-469f-8fe4-0ada311fdc90,p2.8xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,56516.0,0.0,USD,2.281,Hourly
28c70579-3b34-4366-bb5f-215171ed2e11,p2.8xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,56516.0,0.0,USD,2.151,Hourly
1f765914-4728-454c-9fdd-62a8d295a016,p2.8xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,56868.0,0.0,USD,2.164,Hourly
1b05ee1a-9a49-49d5-a246-9ad5eba4b2cf,p2.8xlarge,Linux/UNIX,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,83991.0,0.0,USD,0.0,Hourly
54807bb9-454e-4bdd-bd25-086c200fc73f,p2.8xlarge,SUSE Linux,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,84685.0,0.0,USD,0.0,Hourly
8d187561-c95c-4d04-bc08-8c9fb73665ef,p2.8xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,87407.0,0.0,USD,0.0,Hourly
fa4e1354-4e65-4310-bef9-378c69b63776,p2.8xlarge,Linux/UNIX,dedicated,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,92390.0,0.0,USD,0.0,Hourly
903abf98-893b-4cb8-b036-87d699bf3221,p2.8xlarge,SUSE Linux,dedicated,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,93084.0,0.0,USD,0.0,Hourly
9d621ccd-0604-4831-88a8-7e2290ffd96a,p2.8xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,95806.0,0.0,USD,0.0,Hourly
8722dce0-1a4b-4aa8-b0aa-d6209744ce48,p2.8xlarge,Linux/UNIX,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,100701.0,0.0,USD,0.0,Hourly
15347e56-9fd1-4f67-aec6-40c8071a432a,p2.8xlarge,SUSE Linux,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,101395.0,0.0,USD,0.0,Hourly
1a0ba605-7eb0-4c88-b5d4-d66bbc9ccb0e,p2.8xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,104117.0,0.0,USD,0.0,Hourly
e5ee7505-adc1-44ab-be8b-4b100cf8fa08,p2.8xlarge,Linux/UNIX,dedicated,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,110771.0,0.0,USD,0.0,Hourly
4978c34c-16e4-4916-b29c-b38c11428c0c,p2.8xlarge,SUSE Linux,dedicated,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,111465.0,0.0,USD,0.0,Hourly
ca968240-8127-43a1-a996-de433c5a0544,p2.8xlarge,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,114187.0,0.0,USD,0.0,Hourly
c7be1df3-f776-44af-a928-c6eb0d4c4bf7,p2.8xlarge,Linux with SQL Server Enterprise,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,202356.0,0.0,USD,7.7,Hourly
245bbdcc-ecf8-485c-ba49-e39af56d1a47,p2.8xlarge,Linux with SQL Server Enterprise,dedicated,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,206823.0,0.0,USD,7.87,Hourly
fad078b3-b5f1-4545-a4c5-988882c87832,p2.8xlarge,Linux with SQL Server Enterprise,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,209058.0,0.0,USD,7.955,Hourly
7ed11673-d462-4ba2-8181-c2cc6a341b76,p2.8xlarge,Linux with SQL Server Enterprise,dedicated,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,214196.0,0.0,USD,8.151,Hourly
