ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
02d14ce9-2da1-47c1-bb6a-3f1fea303cd6,r4.large,Linux/UNIX,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.0658,Hourly
78ca2aab-a23c-45f5-9cea-0a9a2157d017,r4.large,Linux with SQL Server Standard,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.5458,Hourly
80a73dca-4931-453e-8738-d17e5ac0ae05,r4.large,SUSE Linux,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.1054,Hourly
85dc9988-00fe-4d5c-aa2c-4bb4fc67014c,r4.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.1324,Hourly
936c0e4a-385a-482b-8a63-45356cfbe6e3,r4.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.14,Hourly
96660293-9d93-4b95-b239-2883e905fcf9,r4.large,Linux/UNIX,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.0724,Hourly
ac45182c-2c98-4113-b832-9ffea4515097,r4.large,Linux with SQL Server Web,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.1334,Hourly
e963c575-3d4d-4d84-814f-7de9c579a86a,r4.large,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.1258,Hourly
f7f18bb9-ab8b-402f-9511-f9068ed9f9e9,r4.large,SUSE Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.0988,Hourly
f936b1f5-951b-463d-99a6-86bcff6ad82f,r4.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.5524,Hourly
1cf461cd-f745-4755-8ebd-142e92a26b1c,r4.large,Linux/UNIX,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.0572,Hourly
2b505bf7-f0f6-490f-815c-d485c02393df,r4.large,Linux with SQL Server Web,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.1248,Hourly
a9b52cca-e805-4d3f-94e9-69756a1a4cbd,r4.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.543,Hourly
aec90019-41f1-484f-9863-9973a23a50fb,r4.large,Linux with SQL Server Standard,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.5372,Hourly
c2412581-9776-4fdc-af23-96a28b40d00a,r4.large,Linux with SQL Server Web,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.1306,Hourly
c5a04f69-309a-4bc6-ba52-3db29bbf5610,r4.large,Linux/UNIX,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.063,Hourly
85000018-bbba-4c40-9ec7-9ba7e4dad8df,r4.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,699.0,0.0,USD,0.087,Hourly
e578f824-cc61-4f8b-97ca-c30f8638c493,r4.large,Linux/UNIX,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,699.0,0.0,USD,0.027,Hourly
80187063-39e0-4fe3-926b-41fc46d342f6,r4.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,767.0,0.0,USD,0.089,Hourly
b486d644-be52-4006-b827-dfc4e3083733,r4.large,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,767.0,0.0,USD,0.029,Hourly
3c95fc06-9f06-4962-ae20-f339ae084f90,r4.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,801.0,0.0,USD,0.0905,Hourly
d66515ad-c210-409c-bd2a-0da82fd3581b,r4.large,Linux/UNIX,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,801.0,0.0,USD,0.0305,Hourly
0012a421-3264-4ff3-b688-1e5c56d5e838,r4.large,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,881.0,0.0,USD,0.0935,Hourly
63eb2a42-48f1-4593-844c-cb092beccca5,r4.large,Linux/UNIX,dedicated,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,881.0,0.0,USD,0.0335,Hourly
5d4f9571-e2f9-4260-9296-cb6909a88953,r4.large,SUSE Linux,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1051.0,0.0,USD,0.04,Hourly
14d75db0-e3ca-4213-a0ac-64183e0bab66,r4.large,SUSE Linux,dedicated,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1119.0,0.0,USD,0.042,Hourly
d0f75666-97c8-4263-985f-ec3aa37aec5c,r4.large,SUSE Linux,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1153.0,0.0,USD,0.0435,Hourly
5234a6d1-1bd0-4bd0-b125-b997eaf29abe,r4.large,SUSE Linux,dedicated,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1233.0,0.0,USD,0.0465,Hourly
eb20a90b-098c-4ae5-b687-dba2043ee3c5,r4.large,Linux/UNIX,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,1314.0,0.0,USD,0.0,Hourly
eb1d6215-c6f5-40c6-8645-e661e18c07f8,r4.large,Linux/UNIX,dedicated,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,1443.0,0.0,USD,0.0,Hourly
8f8b7b67-a7ac-44b7-b810-2ea05df8aeb5,r4.large,Linux/UNIX,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,1570.0,0.0,USD,0.0,Hourly
ab50a63d-a33e-4da2-a019-2b19da3af11b,r4.large,Linux with SQL Server Web,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1585.0,0.0,USD,0.0603,Hourly
199d4ab8-b11a-44e8-b2b8-ba7611baf389,r4.large,Linux with SQL Server Web,dedicated,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1654.0,0.0,USD,0.063,Hourly
de8891c0-3ef5-463d-a68d-9969ee128573,r4.large,Linux with SQL Server Web,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1689.0,0.0,USD,0.0643,Hourly
