ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
16bf8ba6-e952-4da6-b833-781de5e4e490,r5d.12xlarge,SUSE Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,1.834,Hourly
1adc86a6-add4-4d22-af73-eaa564e7af3a,r5d.12xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,1.91,Hourly
1cb81700-9fdf-4e98-92f5-499d9771e3c7,r5d.12xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,2.041,Hourly
29477bc5-dbec-4cf8-94a8-d34949e72dea,r5d.12xlarge,Linux/UNIX,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,1.78,Hourly
3437bc6c-4cae-414a-be56-e7a4de98d2e0,r5d.12xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,2.117,Hourly
3d049114-5c41-4962-9a07-ef9fdec53883,r5d.12xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,2.799,Hourly
42146d5b-c79d-4d29-9efd-334ccb1d308d,r5d.12xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,7.747,Hourly
53edd538-d5e1-456e-9ba5-f38c51740d4d,r5d.12xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,7.54,Hourly
581082d7-6413-4c1e-9d33-61b43cdb5a0c,r5d.12xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,1.987,Hourly
58f4aa4c-d725-422a-8ed3-8f0108f18f64,r5d.12xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,19.78,Hourly
5d8bf1bd-e177-46ea-9d35-ad2088a3017d,r5d.12xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,19.987,Hourly
9312bb44-b9d1-4d90-be0a-8460a202f5f5,r5d.12xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,2.591,Hourly
084230be-4e48-460a-8d10-6b01ae52ada0,r5d.12xlarge,SUSE Linux,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,1.809,Hourly
0aa8ee96-bdc8-4ba8-94d4-183536158e42,r5d.12xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,7.515,Hourly
10b222ec-489b-4369-8fc6-2e5bd06ad78c,r5d.12xlarge,Linux with SQL Server Standard,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,7.308,Hourly
2a23c274-cc5c-4c8e-a3ca-5d97a0119075,r5d.12xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,1.755,Hourly
30dd2fec-4aa1-4193-9b47-0abbf3eb1942,r5d.12xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,1.678,Hourly
36843e40-1181-40b2-ac0b-7c9674814f78,r5d.12xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,1.885,Hourly
5c5903c1-3387-4d5a-86e8-5b2e0d335a21,r5d.12xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,2.567,Hourly
7950c823-c97c-448d-bf52-8d209c2557be,r5d.12xlarge,Linux with SQL Server Web,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,2.359,Hourly
b4e59b7a-d2b3-4145-856b-b3aca507e16e,r5d.12xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,19.548,Hourly
b8165a8f-a5f6-47a4-8609-3596f0e4645d,r5d.12xlarge,SUSE Linux,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,1.602,Hourly
cd20f267-9890-4de4-9f00-d7e6cce9bddd,r5d.12xlarge,Linux/UNIX,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,1.548,Hourly
fe8e43f2-f09d-46d0-9e62-b8b84e5f595e,r5d.12xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,19.755,Hourly
4835cb6d-5fc4-4af8-99d0-93d7f0b57905,r5d.12xlarge,Linux/UNIX,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,18829.0,0.0,USD,0.716,Hourly
