ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
257d9dd7-bb0a-47f0-bfd2-9b0902b15921,r5d.large,Linux with SQL Server Web,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.142,Hourly
268715a1-aa92-421b-9b2f-dfed4df461da,r5d.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.563,Hourly
2a263b33-1f4c-4c61-886b-15fa10fe4e87,r5d.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.143,Hourly
3ad0c61c-0435-434a-bf65-47ceda2db682,r5d.large,SUSE Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.096,Hourly
50e46166-9c8c-4cc1-b97b-29dbd0f1f6c8,r5d.large,SUSE Linux,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.105,Hourly
66517be4-76f9-47f9-9afd-8e9b3a3d0750,r5d.large,Linux with SQL Server Standard,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.554,Hourly
6774fd51-1e31-4959-93f7-68733209df0d,r5d.large,Linux/UNIX,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.083,Hourly
b94652d0-99b8-4fe9-91e9-226d7a0135e3,r5d.large,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.134,Hourly
ca5a4f2e-b342-4dca-afac-451df1656f41,r5d.large,Linux/UNIX,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.074,Hourly
e62c9585-b1a0-4378-ad8f-45f2e6e56051,r5d.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.15,Hourly
3edc22ba-ca4b-4a7a-ae5e-320c740db005,r5d.large,Linux/UNIX,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.064,Hourly
6ef1b063-f3e6-466c-a4a6-1e3ca40e335a,r5d.large,SUSE Linux,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.095,Hourly
75777caf-4cf6-477a-9491-4f3346c14a3f,r5d.large,Linux with SQL Server Web,dedicated,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.141,Hourly
7e3901bd-5c66-4e53-999c-9460446f1c7d,r5d.large,Linux with SQL Server Standard,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.544,Hourly
