ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
101758ab-696f-44b8-8c4a-020a856d2e14,t2.2xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.3196,Hourly
12f4a2f1-64ab-4a3a-8b37-58f34df21743,t2.2xlarge,Linux/UNIX,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.1844,Hourly
66e742b8-f98e-4998-b3e7-0aa27d84bbb9,t2.2xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,3.1844,Hourly
87fe6286-983f-4166-a92d-0528999c28b2,t2.2xlarge,SUSE Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.2174,Hourly
d3d07557-46fb-4752-bed4-e21a6758ac72,t2.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.3144,Hourly
01024e0d-c847-4407-bdbf-ea28ff5e618a,t2.2xlarge,Linux/UNIX,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.1604,Hourly
336a063e-d34f-4762-a9ed-06807d8af850,t2.2xlarge,Linux with SQL Server Web,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.2956,Hourly
5f2f500d-b91b-4eb3-af93-ddbcc4969f24,t2.2xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.2904,Hourly
a463c576-a38b-4cb5-92f5-03c31f13f25f,t2.2xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,3.1604,Hourly
b58e8ede-8705-475f-af73-9e7afa3fc9d1,t2.2xlarge,SUSE Linux,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.1934,Hourly
36ba6666-90c0-4254-acca-7738956f9683,t2.2xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1951.0,0.0,USD,0.2042,Hourly
e6b8f8ef-006f-4d52-acd7-f1e9fc7ec44c,t2.2xlarge,Linux/UNIX,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1951.0,0.0,USD,0.0742,Hourly
0c6f11d0-7777-42cc-a28d-2b33b1364544,t2.2xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,2244.0,0.0,USD,0.2154,Hourly
a54cf8ad-8d34-4ce1-856f-7f3bd24c0f9f,t2.2xlarge,Linux/UNIX,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,2244.0,0.0,USD,0.0854,Hourly
8c015861-a9b9-446b-b27a-e95ea58f54ab,t2.2xlarge,SUSE Linux,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,2303.0,0.0,USD,0.0872,Hourly
7646725f-df57-4c06-906e-3f1a07c335ee,t2.2xlarge,SUSE Linux,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,2596.0,0.0,USD,0.0984,Hourly
9425e2fa-087b-4589-8814-47d18f373422,t2.2xlarge,Linux/UNIX,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,3668.0,0.0,USD,0.0,Hourly
d9ba07cf-b37f-4e2c-8de4-7181be7fbdb0,t2.2xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,3728.0,0.0,USD,0.1418,Hourly
a27d9a82-ce06-4bad-9482-e00ec4aabe40,t2.2xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,4020.0,0.0,USD,0.153,Hourly
4dae7b14-4790-413f-98fd-005532087002,t2.2xlarge,SUSE Linux,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,4362.0,0.0,USD,0.0,Hourly
5ed4060a-5334-4952-b7b0-2e89540faacd,t2.2xlarge,Linux/UNIX,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,4398.0,0.0,USD,0.0,Hourly
a77cfc2d-0fba-49d5-9dd4-180d045b76d4,t2.2xlarge,SUSE Linux,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,5092.0,0.0,USD,0.0,Hourly
96c86da6-f59e-4408-8a6a-29b624c28669,t2.2xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,7084.0,0.0,USD,0.0,Hourly
866c87b2-9f86-4d3c-9876-de16d8f2459c,t2.2xlarge,Linux with SQL Server Web,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,7221.0,0.0,USD,0.0,Hourly
2eceba07-fcee-40e9-aded-cc80a563b6ac,t2.2xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,7814.0,0.0,USD,0.0,Hourly
2b1f5d66-7b48-4702-9347-9deba97b022f,t2.2xlarge,Linux with SQL Server Web,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,7951.0,0.0,USD,0.0,Hourly
94ba93d1-cbdf-47fa-8739-695b6f745d8d,t2.2xlarge,Linux with SQL Server Enterprise,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,41371.0,0.0,USD,1.5742,Hourly
e9fb72ed-98bf-4c55-bc05-d4f44ba5c85d,t2.2xlarge,Linux with SQL Server Enterprise,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,41664.0,0.0,USD,1.5854,Hourly
6def5089-9e16-49a0-8800-ea8fbd46a409,t2.2xlarge,Linux with SQL Server Enterprise,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,82508.0,0.0,USD,0.0,Hourly
47f5065d-37b6-459a-a6d8-797643794e3d,t2.2xlarge,Linux with SQL Server Enterprise,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,83238.0,0.0,USD,0.0,Hourly
4e505ce4-0dfd-4419-b434-b7f0113d17be,t2.2xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,0.3997,Hourly
5f782089-5afb-4e73-805e-a422708e29aa,t2.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,0.3945,Hourly
7510cbc5-8de8-424d-b8a5-3e062373bcf6,t2.2xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,3.2645,Hourly
8c0cc00a-572d-40ae-964a-16467d022b24,t2.2xlarge,SUSE Linux,default,convertible,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,0.2975,Hourly
9e95309d-93cc-4221-a23f-e7569b19c09a,t2.2xlarge,Linux/UNIX,default,convertible,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,0.2645,Hourly
0100eaaa-9fab-45fa-83cc-809a05b20b5c,t2.2xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,0.36,Hourly
1e181aaf-3cc9-42c4-b969-ca294b5ab52c,t2.2xlarge,Linux/UNIX,default,standard,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,0.23,Hourly
48128463-f27a-4d5b-894c-bbd9000bb960,t2.2xlarge,Linux with SQL Server Web,default,standard,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,0.3652,Hourly
5cc52b26-794f-45fe-84c3-99f20d170b64,t2.2xlarge,SUSE Linux,default,standard,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,0.263,Hourly
975494eb-ba58-4572-993d-62ffc8e7b751,t2.2xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,3.23,Hourly
9b777f58-8a88-4408-8de8-55998583fe2f,t2.2xlarge,Linux/UNIX,default,standard,Partial Upfront,us-east-2b,31536000,Availability Zone,0,959.0,0.0,USD,0.1095,Hourly
ef6a0bbf-5fab-46e9-8468-1d5fc3eb3337,t2.2xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-2b,31536000,Availability Zone,0,959.0,0.0,USD,0.2395,Hourly
37be3924-f373-4b84-9f9c-ba94401ff7be,t2.2xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-east-2b,31536000,Availability Zone,0,1103.0,0.0,USD,0.2559,Hourly
659f98be-72f9-44c1-acf2-2c3c3e667697,t2.2xlarge,Linux/UNIX,default,convertible,Partial Upfront,us-east-2b,31536000,Availability Zone,0,1103.0,0.0,USD,0.1259,Hourly
a36f3185-c4ed-4919-aa1c-a4dffbfda6da,t2.2xlarge,SUSE Linux,default,standard,Partial Upfront,us-east-2b,31536000,Availability Zone,0,1135.0,0.0,USD,0.1225,Hourly
90855a10-474f-48f4-8a40-d60259c50afb,t2.2xlarge,SUSE Linux,default,convertible,Partial Upfront,us-east-2b,31536000,Availability Zone,0,1279.0,0.0,USD,0.1389,Hourly
e5df3509-16ef-4fba-8c5a-10bc9ab84cc8,t2.2xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,us-east-2b,31536000,Availability Zone,0,1551.0,0.0,USD,0.1771,Hourly
07ccc69a-fef3-45f3-a560-4c58744a4498,t2.2xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,us-east-2b,31536000,Availability Zone,0,1695.0,0.0,USD,0.1935,Hourly
004700b4-2c53-44cc-b4ea-279c719806aa,t2.2xlarge,Linux/UNIX,default,standard,All Upfront,us-east-2b,31536000,Availability Zone,0,1880.0,0.0,USD,0.0,Hourly
9425c033-6d82-45f7-96d1-48ea11f24917,t2.2xlarge,Linux/UNIX,default,convertible,All Upfront,us-east-2b,31536000,Availability Zone,0,2162.0,0.0,USD,0.0,Hourly
30ea1fc9-83b1-45aa-9a31-5e4c9d564ebf,t2.2xlarge,SUSE Linux,default,standard,All Upfront,us-east-2b,31536000,Availability Zone,0,2170.0,0.0,USD,0.0,Hourly
ec446354-bf43-4f7f-a0cd-d791e31d48e8,t2.2xlarge,SUSE Linux,default,convertible,All Upfront,us-east-2b,31536000,Availability Zone,0,2452.0,0.0,USD,0.0,Hourly
b47c0a55-c2c6-416c-9020-1205ac3db0f2,t2.2xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,us-east-2b,31536000,Availability Zone,0,3019.0,0.0,USD,0.0,Hourly
19b77a83-83e4-4141-b115-2d97c178b845,t2.2xlarge,Linux with SQL Server Web,default,standard,All Upfront,us-east-2b,31536000,Availability Zone,0,3064.0,0.0,USD,0.0,Hourly
b1cf944d-8235-4c0c-8a6d-36bb8180ac37,t2.2xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,us-east-2b,31536000,Availability Zone,0,3301.0,0.0,USD,0.0,Hourly
cf10dd50-731b-4571-8432-00ae5dd62496,t2.2xlarge,Linux with SQL Server Web,default,convertible,All Upfront,us-east-2b,31536000,Availability Zone,0,3347.0,0.0,USD,0.0,Hourly
60e42b5d-a7fc-4ac5-ac0b-b4a7b6880aef,t2.2xlarge,Linux with SQL Server Enterprise,default,standard,Partial Upfront,us-east-2b,31536000,Availability Zone,0,14099.0,0.0,USD,1.6095,Hourly
58222610-a0b5-4b35-817a-a706cd0b1718,t2.2xlarge,Linux with SQL Server Enterprise,default,convertible,Partial Upfront,us-east-2b,31536000,Availability Zone,0,14243.0,0.0,USD,1.6259,Hourly
84e8aa90-19c2-4c22-8bce-9a90f2002b59,t2.2xlarge,Linux with SQL Server Enterprise,default,standard,All Upfront,us-east-2b,31536000,Availability Zone,0,28160.0,0.0,USD,0.0,Hourly
5f3c6f4c-3c93-4684-973e-7846abde8637,t2.2xlarge,Linux with SQL Server Enterprise,default,convertible,All Upfront,us-east-2b,31536000,Availability Zone,0,28442.0,0.0,USD,0.0,Hourly
63c5f6c4-ac43-47f3-8e48-d00e1121d180,t2.2xlarge,Windows with SQL Server Web,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.3874,Hourly
7dca9bb9-08f2-4e6c-bbac-9379011ca6e8,t2.2xlarge,Windows,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.2464,Hourly
855311eb-824f-40cf-a98a-ce215831d572,t2.2xlarge,Windows with SQL Server Enterprise,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,3.2464,Hourly
21a9c4aa-f6ed-4f97-9599-890b41917f2c,t2.2xlarge,Windows BYOL,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.1604,Hourly
23beeab5-7c56-434b-83cb-e296270426c6,t2.2xlarge,Windows with SQL Server Web,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.3634,Hourly
3fac7d07-f41a-4173-a0ce-5295d229b5af,t2.2xlarge,Windows with SQL Server Enterprise,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,3.2224,Hourly
7da57f55-f2bc-48ac-83e9-62c8bfed127d,t2.2xlarge,Windows,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.2224,Hourly
9f8cca51-916a-4b79-bc81-dcd3e1a16fd4,t2.2xlarge,Windows BYOL,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1951.0,0.0,USD,0.0742,Hourly
66bf5cbc-f5be-4a2c-9d37-36180258e789,t2.2xlarge,Windows,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,2766.0,0.0,USD,0.1052,Hourly
68505aa5-9810-4455-ba97-103253350c6c,t2.2xlarge,Windows,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,3058.0,0.0,USD,0.1164,Hourly
7ce2b456-3207-48f7-8a15-2ef38b4c07eb,t2.2xlarge,Windows BYOL,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,3668.0,0.0,USD,0.0,Hourly
d5d5375f-c945-484e-960f-d44136a97361,t2.2xlarge,Windows with SQL Server Web,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,4618.0,0.0,USD,0.1757,Hourly
cbc32887-5fa3-42e7-afef-931ad7d4a01e,t2.2xlarge,Windows with SQL Server Web,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,4911.0,0.0,USD,0.1869,Hourly
4a750652-a314-4dde-ad6f-cd1d1a27fdbf,t2.2xlarge,Windows,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,5297.0,0.0,USD,0.0,Hourly
17fa1485-9b13-4cd2-bb71-e3dec451e0a7,t2.2xlarge,Windows,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,6027.0,0.0,USD,0.0,Hourly
775f9d40-8a14-48fb-9831-281f0d640bee,t2.2xlarge,Windows with SQL Server Web,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,9003.0,0.0,USD,0.0,Hourly
18c5d0b8-d134-4c98-9ecb-759f143b1dcd,t2.2xlarge,Windows with SQL Server Web,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,9732.0,0.0,USD,0.0,Hourly
74a137d2-cad3-4e65-b35c-c3423e505fba,t2.2xlarge,Windows with SQL Server Enterprise,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,42186.0,0.0,USD,1.6052,Hourly
80bbd5e3-f0d0-4f5f-899f-324ab9b676b9,t2.2xlarge,Windows with SQL Server Enterprise,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,42478.0,0.0,USD,1.6164,Hourly
cecbe889-97a8-40f9-b0f1-5ebc1effa02a,t2.2xlarge,Windows with SQL Server Enterprise,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,84137.0,0.0,USD,0.0,Hourly
fd5ae984-aec4-4f19-b125-d3c93cfd74d0,t2.2xlarge,Windows with SQL Server Enterprise,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,84867.0,0.0,USD,0.0,Hourly
165b105e-e72f-4d8e-ba4c-8b02686734ef,t2.2xlarge,Windows,default,convertible,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,0.3265,Hourly
32d97c26-2ab8-4e5d-93a0-1494c9944d94,t2.2xlarge,Windows with SQL Server Web,default,convertible,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,0.4675,Hourly
896e815f-770b-436b-a4ff-ec9da0cd16ab,t2.2xlarge,Windows with SQL Server Enterprise,default,convertible,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,3.3265,Hourly
064c3666-011f-4cff-8d3a-c973920d8f58,t2.2xlarge,Windows with SQL Server Enterprise,default,standard,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,3.292,Hourly
1a9d83cf-8f6f-4e34-bc96-98262a593bc6,t2.2xlarge,Windows BYOL,default,standard,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,0.23,Hourly
6e99d93c-83e9-4aa6-822e-bfd205dd8956,t2.2xlarge,Windows with SQL Server Web,default,standard,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,0.433,Hourly
f38b2907-7eb8-4da7-888c-c86f9eccc52d,t2.2xlarge,Windows,default,standard,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,0.292,Hourly
b58deb5a-fb04-4920-bdac-8420e94fb2b4,t2.2xlarge,Windows BYOL,default,standard,Partial Upfront,us-east-2b,31536000,Availability Zone,0,959.0,0.0,USD,0.1095,Hourly
ec4f2c9a-15d2-4d74-8e4d-6474ef412b47,t2.2xlarge,Windows,default,standard,Partial Upfront,us-east-2b,31536000,Availability Zone,0,1231.0,0.0,USD,0.1405,Hourly
c87b645d-42cd-41ed-8617-eb2712dcf5ae,t2.2xlarge,Windows,default,convertible,Partial Upfront,us-east-2b,31536000,Availability Zone,0,1375.0,0.0,USD,0.1569,Hourly
70a211b1-5f11-49b7-bd6f-77d63a827a50,t2.2xlarge,Windows with SQL Server Web,default,standard,Partial Upfront,us-east-2b,31536000,Availability Zone,0,1848.0,0.0,USD,0.211,Hourly
fe7df52f-0359-47e5-b1f5-19368d5c6d55,t2.2xlarge,Windows BYOL,default,standard,All Upfront,us-east-2b,31536000,Availability Zone,0,1880.0,0.0,USD,0.0,Hourly
a663dcc1-f6f2-442f-b6b3-7ed7c8609624,t2.2xlarge,Windows with SQL Server Web,default,convertible,Partial Upfront,us-east-2b,31536000,Availability Zone,0,1992.0,0.0,USD,0.2274,Hourly
840a461a-281d-48ea-8ca7-f852b7427107,t2.2xlarge,Windows,default,standard,All Upfront,us-east-2b,31536000,Availability Zone,0,2423.0,0.0,USD,0.0,Hourly
fc8a1402-a2fa-4e36-9690-7ee8eb42df1a,t2.2xlarge,Windows,default,convertible,All Upfront,us-east-2b,31536000,Availability Zone,0,2705.0,0.0,USD,0.0,Hourly
16e82db4-0544-43a2-9ca2-43e8a1d1133a,t2.2xlarge,Windows with SQL Server Web,default,standard,All Upfront,us-east-2b,31536000,Availability Zone,0,3658.0,0.0,USD,0.0,Hourly
b9851237-e60e-4dde-9c43-1005442dd27c,t2.2xlarge,Windows with SQL Server Web,default,convertible,All Upfront,us-east-2b,31536000,Availability Zone,0,3940.0,0.0,USD,0.0,Hourly
1be1b4ff-83d9-4f96-8584-aa110cc71b38,t2.2xlarge,Windows with SQL Server Enterprise,default,standard,Partial Upfront,us-east-2b,31536000,Availability Zone,0,14371.0,0.0,USD,1.6405,Hourly
a601624d-3cef-440d-8007-696d9c4e304c,t2.2xlarge,Windows with SQL Server Enterprise,default,convertible,Partial Upfront,us-east-2b,31536000,Availability Zone,0,14515.0,0.0,USD,1.6569,Hourly
42c4f20f-2c5c-4350-affc-0fa03e643a99,t2.2xlarge,Windows with SQL Server Enterprise,default,standard,All Upfront,us-east-2b,31536000,Availability Zone,0,28703.0,0.0,USD,0.0,Hourly
ea05bb03-13fa-4d29-ac8b-5224c21aa97b,t2.2xlarge,Windows with SQL Server Enterprise,default,convertible,All Upfront,us-east-2b,31536000,Availability Zone,0,28985.0,0.0,USD,0.0,Hourly
106c933d-45af-48e9-b98a-784c34e16f00,t2.2xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-east-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.3196,Hourly
6abba28e-5e93-4c14-bf3a-0719b1c1fa16,t2.2xlarge,SUSE Linux,default,convertible,No Upfront,us-east-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.2174,Hourly
c9c0dce6-d8ad-4556-8e51-e17642d04944,t2.2xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-east-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.1844,Hourly
d1856de1-c690-44ba-b5c3-50b7401a3285,t2.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.3144,Hourly
f9db7899-a326-4853-9a0f-874c1b14e538,t2.2xlarge,Linux/UNIX,default,convertible,No Upfront,us-east-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.1844,Hourly
22f3f5f6-036d-4ab8-bbc7-42b9f8882203,t2.2xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.2904,Hourly
2c9ff9b7-2723-4156-b7af-f29f658f21ea,t2.2xlarge,SUSE Linux,default,standard,No Upfront,us-east-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.1934,Hourly
552a773d-1c70-4d0f-badb-fad980e5630a,t2.2xlarge,Linux/UNIX,default,standard,No Upfront,us-east-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.1604,Hourly
94da02a5-6733-4283-a15f-3409b4902c5c,t2.2xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,us-east-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.1604,Hourly
b561bfc8-851d-4eea-ad4b-373218f2ef64,t2.2xlarge,Linux with SQL Server Web,default,standard,No Upfront,us-east-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.2956,Hourly
15c3f0ec-0122-4c76-b3cc-a65ccdcf53ea,t2.2xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-2a,94608000,Availability Zone,0,1951.0,0.0,USD,0.2042,Hourly
