ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
6fd86d15-c15c-4a4f-a358-0a7e089f62cc,t2.medium,Linux with SQL Server Web,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.0907,Hourly
6ff20dec-a7b0-4679-be79-d708f92f8f44,t2.medium,SUSE Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.0561,Hourly
90d418fa-556f-467a-8045-6e6666ea271c,t2.medium,Linux/UNIX,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.0231,Hourly
eff1eb0c-2596-4483-83a4-9e48209bc1ca,t2.medium,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.0831,Hourly
5ba3e988-ee0d-42fb-a792-3671acecfa85,t2.medium,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.08,Hourly
6a18d917-2e51-4077-b591-65af1acd6bb9,t2.medium,Linux/UNIX,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.02,Hourly
6b8dd782-f5eb-4a0d-b693-ad8734c12fa8,t2.medium,Linux with SQL Server Web,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.0876,Hourly
abf2d45e-7e6b-44ad-b938-a57ab8a551f1,t2.medium,SUSE Linux,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.053,Hourly
579e0f39-c683-422d-874d-662a2230a8dc,t2.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,244.0,0.0,USD,0.0693,Hourly
f18ced83-4964-412b-9332-1a9ff90f30d2,t2.medium,Linux/UNIX,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,244.0,0.0,USD,0.0093,Hourly
0e156c1a-de86-4823-9223-4396b36a9a68,t2.medium,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,280.0,0.0,USD,0.0707,Hourly
0f436061-5442-4327-a256-96823a381984,t2.medium,Linux/UNIX,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,280.0,0.0,USD,0.0107,Hourly
7fc36113-21bb-4c08-b1f3-abe104b261d0,t2.medium,Linux/UNIX,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,458.0,0.0,USD,0.0,Hourly
0b9c31ca-c75e-4bd4-92ac-38d85ebdcedf,t2.medium,Linux/UNIX,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,550.0,0.0,USD,0.0,Hourly
9d6794b1-441f-48c8-8e5e-ff81aafced77,t2.medium,SUSE Linux,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,596.0,0.0,USD,0.0223,Hourly
2dbb1827-e09f-49d1-adae-032bbfda793c,t2.medium,SUSE Linux,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,632.0,0.0,USD,0.0237,Hourly
95a8f10a-c965-43c7-9cd5-608330dbc328,t2.medium,Linux with SQL Server Web,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1132.0,0.0,USD,0.0431,Hourly
c1a0ef4f-aefa-4347-b3d2-7e9ffdbd4f84,t2.medium,SUSE Linux,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,1152.0,0.0,USD,0.0,Hourly
8e8874f9-d272-4e25-af2c-13eb4e825615,t2.medium,Linux with SQL Server Web,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1169.0,0.0,USD,0.0445,Hourly
8267ed52-baf5-4cd0-90a0-e4267f361403,t2.medium,SUSE Linux,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,1244.0,0.0,USD,0.0,Hourly
13702d53-6e5e-466f-a763-c7b0f905f0c8,t2.medium,Red Hat Enterprise Linux,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,2035.0,0.0,USD,0.0,Hourly
37c7173b-4fca-46dc-97ac-4dd78156c75d,t2.medium,Red Hat Enterprise Linux,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,2127.0,0.0,USD,0.0,Hourly
3d996780-991b-473c-ac7e-9d03143f6c7f,t2.medium,Linux with SQL Server Web,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,2235.0,0.0,USD,0.0,Hourly
5732e4d0-602b-4c32-b691-728524ddd5a3,t2.medium,Linux with SQL Server Web,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,2326.0,0.0,USD,0.0,Hourly
23456e66-1691-4f40-95fe-bf6da6a1ac27,t2.medium,Linux with SQL Server Web,default,convertible,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,0.1007,Hourly
6ff12f4e-61b2-49ad-a8df-768aec42e963,t2.medium,SUSE Linux,default,convertible,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,0.0661,Hourly
9eac4da9-add1-4bc6-91a5-d97b2d126f2c,t2.medium,Linux/UNIX,default,convertible,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,0.0331,Hourly
af40019d-81db-4c7f-9d0a-627176f14c52,t2.medium,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,0.0931,Hourly
06ee6287-8b9e-4105-9e8a-197b90571976,t2.medium,Linux with SQL Server Web,default,standard,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,0.0963,Hourly
c36b765d-8793-4721-ab42-9c3d6e382ac5,t2.medium,SUSE Linux,default,standard,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,0.0617,Hourly
ccf5380d-37ba-41bc-8fbf-8b4a39d8231e,t2.medium,Linux/UNIX,default,standard,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,0.0287,Hourly
eb505f14-c2ab-43bf-af62-889ca271c333,t2.medium,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,0.0887,Hourly
739a67f1-a344-4687-8068-81ecfcdf7dc2,t2.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-2b,31536000,Availability Zone,0,120.0,0.0,USD,0.0737,Hourly
b0744ba4-5af7-4d3a-91fc-95029c062ec0,t2.medium,Linux/UNIX,default,standard,Partial Upfront,us-east-2b,31536000,Availability Zone,0,120.0,0.0,USD,0.0137,Hourly
7e143cbb-2851-4e79-a06d-4b304db2beef,t2.medium,Linux/UNIX,default,convertible,Partial Upfront,us-east-2b,31536000,Availability Zone,0,138.0,0.0,USD,0.0157,Hourly
cda890d0-1614-4ced-983d-0919df681d14,t2.medium,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-east-2b,31536000,Availability Zone,0,138.0,0.0,USD,0.0757,Hourly
1d3c50ad-c369-4f9a-b852-622031a3880b,t2.medium,Linux/UNIX,default,standard,All Upfront,us-east-2b,31536000,Availability Zone,0,235.0,0.0,USD,0.0,Hourly
d5d77f73-f7cb-45e6-beb8-805c029bec35,t2.medium,Linux/UNIX,default,convertible,All Upfront,us-east-2b,31536000,Availability Zone,0,270.0,0.0,USD,0.0,Hourly
3fc92573-2ed0-4ce1-973a-abe45394121d,t2.medium,SUSE Linux,default,standard,Partial Upfront,us-east-2b,31536000,Availability Zone,0,296.0,0.0,USD,0.0267,Hourly
c99c511e-9f19-4f4f-a100-1f4a7535b667,t2.medium,SUSE Linux,default,convertible,Partial Upfront,us-east-2b,31536000,Availability Zone,0,314.0,0.0,USD,0.0287,Hourly
419f8b54-808d-4372-9580-fe28f138f9f3,t2.medium,Linux with SQL Server Web,default,standard,Partial Upfront,us-east-2b,31536000,Availability Zone,0,416.0,0.0,USD,0.0475,Hourly
a1b35da6-bac5-4d27-be21-77863ce1a420,t2.medium,Linux with SQL Server Web,default,convertible,Partial Upfront,us-east-2b,31536000,Availability Zone,0,434.0,0.0,USD,0.0495,Hourly
5362180d-8e7e-478e-ac15-b9320e4ad9ec,t2.medium,SUSE Linux,default,standard,All Upfront,us-east-2b,31536000,Availability Zone,0,525.0,0.0,USD,0.0,Hourly
8c26f94a-d3e5-40b1-8f05-5f4d5883dad0,t2.medium,SUSE Linux,default,convertible,All Upfront,us-east-2b,31536000,Availability Zone,0,560.0,0.0,USD,0.0,Hourly
053129e8-57cf-4580-9b3d-574eb0113181,t2.medium,Red Hat Enterprise Linux,default,standard,All Upfront,us-east-2b,31536000,Availability Zone,0,761.0,0.0,USD,0.0,Hourly
659bd166-aaf4-46f6-a6c5-b4b4bfb8695d,t2.medium,Red Hat Enterprise Linux,default,convertible,All Upfront,us-east-2b,31536000,Availability Zone,0,796.0,0.0,USD,0.0,Hourly
03ddd279-d0ad-4973-a6fc-e0fdce972b15,t2.medium,Linux with SQL Server Web,default,standard,All Upfront,us-east-2b,31536000,Availability Zone,0,827.0,0.0,USD,0.0,Hourly
