ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
4ee46b45-957b-44b7-a676-7701927fd9b5,t2.micro,Linux/UNIX,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.0058,Hourly
4f8ae215-bae6-4d8a-a9b6-32a137b647b1,t2.micro,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.0658,Hourly
5024a68e-6a5b-4eae-9a79-5ef0127a9203,t2.micro,Linux with SQL Server Web,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.0734,Hourly
5d8a57b0-1d09-4ebd-be2c-31c745c19977,t2.micro,SUSE Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.0148,Hourly
28edfa3d-1295-4b9b-9e38-d1207db61306,t2.micro,Linux/UNIX,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.005,Hourly
36edd48f-43f6-4a73-a783-85e545d77113,t2.micro,SUSE Linux,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.014,Hourly
5b17af9a-9918-49c8-aaac-5853ba1962ea,t2.micro,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.065,Hourly
8a3dca92-3384-423d-ad2a-b9a2b5318149,t2.micro,Linux with SQL Server Web,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.0726,Hourly
749ed685-8b66-46d0-a7af-8922f02bd4b9,t2.micro,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,66.0,0.0,USD,0.062,Hourly
9b7df215-ea31-4ab9-a67f-b78085ab8a0b,t2.micro,Linux/UNIX,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,66.0,0.0,USD,0.002,Hourly
8998b5dd-b8d8-4a85-8211-2cdbc1e754f9,t2.micro,Linux/UNIX,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,70.0,0.0,USD,0.0027,Hourly
ca6c6e77-bfb6-4409-9ceb-19a8ba2156e0,t2.micro,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,70.0,0.0,USD,0.0627,Hourly
94e6e602-b868-4833-b548-641664c2fd9e,t2.micro,SUSE Linux,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,110.0,0.0,USD,0.008,Hourly
