ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
3d9eaa74-a405-4778-9f41-a48ff8cb89b4,t2.nano,SUSE Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.0119,Hourly
b54a6ede-3fe4-4e1b-8110-71623281eed7,t2.nano,Linux/UNIX,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.0029,Hourly
241ec4b3-ad7b-41a4-aec6-7a8ecaf8fda8,t2.nano,SUSE Linux,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.0115,Hourly
dd4d2343-2910-4c1f-b4df-9fe68ccf5f10,t2.nano,Linux/UNIX,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.0025,Hourly
91d57732-338f-4f8a-9f76-bf95e5be92aa,t2.nano,Linux/UNIX,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,30.0,0.0,USD,0.0012,Hourly
cbdf211a-c7fd-4014-bc5f-425ae4456a74,t2.nano,Linux/UNIX,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,35.0,0.0,USD,0.0013,Hourly
bf26836d-07b2-4d24-8789-f52666e9b2a8,t2.nano,Linux/UNIX,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,57.0,0.0,USD,0.0,Hourly
d97e82fb-6ddf-4695-9295-e0570fe83e49,t2.nano,Linux/UNIX,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,69.0,0.0,USD,0.0,Hourly
f06ddc54-f632-4dd1-b77f-292174c61636,t2.nano,SUSE Linux,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,74.0,0.0,USD,0.0072,Hourly
32c07fe6-a7c6-4f32-b7f2-68ff4e649d7a,t2.nano,SUSE Linux,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,79.0,0.0,USD,0.0073,Hourly
7295bef2-99ee-4858-91c8-e1acf725ca16,t2.nano,SUSE Linux,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,259.0,0.0,USD,0.0,Hourly
8e9d7c9a-48e5-44ec-8e2e-19c248aaa253,t2.nano,SUSE Linux,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,271.0,0.0,USD,0.0,Hourly
