ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
6e6cfbc7-83c9-4e18-afdb-14cfaefc89e2,t2.small,Linux with SQL Server Web,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.0791,Hourly
b23baf1b-48ef-41e2-824c-b1bfda60f04e,t2.small,SUSE Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.026,Hourly
c56a3cba-da22-4579-86f5-e3de911d0ccb,t2.small,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.0715,Hourly
d5c29305-9177-4af2-ad26-28fef2de4aa2,t2.small,Linux/UNIX,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.0115,Hourly
0ff9af66-c269-4732-bc40-434cae260953,t2.small,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.07,Hourly
2732a79a-4c01-4e17-8d24-f2fded3f058f,t2.small,Linux/UNIX,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.01,Hourly
372834e7-57bb-4e54-abe2-e30622fdc78f,t2.small,SUSE Linux,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.033,Hourly
7498f0d5-aedb-49b4-9864-2030b46b9956,t2.small,Linux with SQL Server Web,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.0776,Hourly
26ff1082-fc35-44d0-b432-a66682fe1b97,t2.small,Linux/UNIX,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,122.0,0.0,USD,0.0046,Hourly
52e6e841-aa86-47bc-8424-51a908bc4511,t2.small,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,122.0,0.0,USD,0.0646,Hourly
23481b22-8e56-43e2-b4b2-f1a5f6f8054d,t2.small,Linux/UNIX,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,140.0,0.0,USD,0.0053,Hourly
97ca4248-ab6e-4f38-8322-3de494214f7a,t2.small,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,140.0,0.0,USD,0.0653,Hourly
afb69ee0-01d2-4b3f-a06e-65b0f2c41725,t2.small,Linux/UNIX,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,229.0,0.0,USD,0.0,Hourly
ebe1aeba-eed2-48a0-91f4-a7c3d78f9c20,t2.small,SUSE Linux,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,257.0,0.0,USD,0.0194,Hourly
5d1c64b7-6849-45ac-94d1-eb8054e90ace,t2.small,Linux/UNIX,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,275.0,0.0,USD,0.0,Hourly
23389613-42ca-4a03-887c-abd768c07401,t2.small,SUSE Linux,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,298.0,0.0,USD,0.0176,Hourly
29dae51e-8717-40a3-861e-7d5086ae2976,t2.small,SUSE Linux,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,747.0,0.0,USD,0.0,Hourly
b798f8d8-a92c-4772-94f7-f355bff39971,t2.small,SUSE Linux,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,793.0,0.0,USD,0.0,Hourly
ce5b87fb-16b4-4026-bd94-1f239c4424a9,t2.small,Linux with SQL Server Web,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1010.0,0.0,USD,0.0384,Hourly
ba4f450a-01b9-495b-aa10-1431a2fed9a3,t2.small,Linux with SQL Server Web,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1028.0,0.0,USD,0.0391,Hourly
33e611bd-c345-4d46-8bb4-3460bb1e7bf8,t2.small,Red Hat Enterprise Linux,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,1785.0,0.0,USD,0.0,Hourly
b4f7f2c7-16f9-4e53-bcf6-aae5d73c0d9a,t2.small,Red Hat Enterprise Linux,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,1852.0,0.0,USD,0.0,Hourly
66313b72-f37e-457b-ad89-25eb35870637,t2.small,Linux with SQL Server Web,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,2006.0,0.0,USD,0.0,Hourly
2738f8f4-215d-482d-9fbf-0e6e0363bc27,t2.small,Linux with SQL Server Web,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,2051.0,0.0,USD,0.0,Hourly
2b0eb246-2118-4ee0-b008-d04e465856b6,t2.small,SUSE Linux,default,convertible,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,0.0395,Hourly
45f525d8-e670-4597-8456-f593aa7672c1,t2.small,Linux/UNIX,default,convertible,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,0.0165,Hourly
a7d58245-37e7-4f9f-8dad-65bd5e4e5c35,t2.small,Linux with SQL Server Web,default,convertible,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,0.0841,Hourly
f033eeb5-e9fc-4be6-be7d-e3482a574778,t2.small,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,0.0765,Hourly
01044cc3-cff0-474b-ba90-f6a5ab69a76f,t2.small,Linux/UNIX,default,standard,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,0.0144,Hourly
