ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
455db60a-8f61-4274-9672-be98b77aadd4,t2.xlarge,SUSE Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.1252,Hourly
4d749a76-5f44-41a0-8465-e3474f6c9c62,t2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.1522,Hourly
6d81a565-6fd5-4254-9953-0f317fd36e1d,t2.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,1.5922,Hourly
7e5b4da1-9a98-4d8e-a459-b655f5c258d6,t2.xlarge,Linux/UNIX,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.0922,Hourly
c4557881-53ee-4413-95f8-9db3e77e331f,t2.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.1598,Hourly
30d35d09-97dc-45c0-b54d-a8881ac43af6,t2.xlarge,Linux with SQL Server Web,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.1478,Hourly
4fdbe0e6-919c-464d-9386-138603d8c91c,t2.xlarge,SUSE Linux,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.1132,Hourly
6309dae5-cc34-4272-a1cc-18e0c492045d,t2.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,1.5802,Hourly
d08f689b-7680-40e1-a80a-a3cc5c2bd7e7,t2.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.1402,Hourly
fd38a75a-ec77-4e21-a262-f5837ce38705,t2.xlarge,Linux/UNIX,default,standard,No Upfront,us-east-2b,94608000,Availability Zone,0,0.0,0.0,USD,0.0802,Hourly
afb5a48d-3e20-48a9-a541-6be4605b3fe2,t2.xlarge,Linux/UNIX,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,976.0,0.0,USD,0.0371,Hourly
b315e070-df32-4c98-a678-d31756bfe251,t2.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,976.0,0.0,USD,0.0971,Hourly
55e01672-d220-45c4-ad16-cf3d44b73ac6,t2.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1122.0,0.0,USD,0.1027,Hourly
7bdb55ea-368b-4e74-897b-68b01ce51583,t2.xlarge,Linux/UNIX,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1122.0,0.0,USD,0.0427,Hourly
84573a57-8b15-4576-b632-5c92097006f7,t2.xlarge,SUSE Linux,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1328.0,0.0,USD,0.0501,Hourly
0415d70a-4ac4-4010-b040-196ae1afb25a,t2.xlarge,SUSE Linux,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1474.0,0.0,USD,0.0557,Hourly
37394374-c732-42d7-b9d2-946c56e34f2e,t2.xlarge,Linux/UNIX,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,1834.0,0.0,USD,0.0,Hourly
16f3ef48-45ea-432b-9c5d-43af804cfbe4,t2.xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,1864.0,0.0,USD,0.0709,Hourly
7697e8e2-46d4-49f1-bf23-2f97703e6cfe,t2.xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,2010.0,0.0,USD,0.0765,Hourly
414661e7-ec3c-459c-8a79-c5edb6ca4fb8,t2.xlarge,Linux/UNIX,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,2199.0,0.0,USD,0.0,Hourly
a3c94cc5-3371-4158-bcb4-c2dc39f2ff34,t2.xlarge,SUSE Linux,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,2528.0,0.0,USD,0.0,Hourly
16cb1053-6676-4626-a532-04f817e45143,t2.xlarge,SUSE Linux,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,2893.0,0.0,USD,0.0,Hourly
35f33f07-c981-4ff2-8e6a-2886471f2cd1,t2.xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,3411.0,0.0,USD,0.0,Hourly
50d5d311-1652-4dff-98f6-eac3e7049109,t2.xlarge,Linux with SQL Server Web,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,3610.0,0.0,USD,0.0,Hourly
bac5b700-4983-4638-812c-213023c1e4a5,t2.xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,3776.0,0.0,USD,0.0,Hourly
d3c0dc51-5c3a-4af7-a860-19783fef6a40,t2.xlarge,Linux with SQL Server Web,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,3975.0,0.0,USD,0.0,Hourly
7f3a71f0-7e2d-4c7f-bd1a-6621766548e8,t2.xlarge,Linux with SQL Server Enterprise,default,standard,Partial Upfront,us-east-2b,94608000,Availability Zone,0,20686.0,0.0,USD,0.7871,Hourly
a7d2e37c-756d-4b3b-8eb0-d8c0cfc79317,t2.xlarge,Linux with SQL Server Enterprise,default,convertible,Partial Upfront,us-east-2b,94608000,Availability Zone,0,20832.0,0.0,USD,0.7927,Hourly
6782d012-2cc7-42f8-9a84-2ddb311dc92d,t2.xlarge,Linux with SQL Server Enterprise,default,standard,All Upfront,us-east-2b,94608000,Availability Zone,0,41254.0,0.0,USD,0.0,Hourly
41abd2b9-5446-423d-a12c-fd5ed75d6b75,t2.xlarge,Linux with SQL Server Enterprise,default,convertible,All Upfront,us-east-2b,94608000,Availability Zone,0,41619.0,0.0,USD,0.0,Hourly
0298fac2-32ef-41cb-9932-444c6cd0416e,t2.xlarge,SUSE Linux,default,convertible,No Upfront,us-east-2b,31536000,Availability Zone,0,0.0,0.0,USD,0.1652,Hourly
