ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
13c70ebc-67d3-4d0f-a32c-8b06391f3884,c5.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.187,Hourly
2afacbf6-2f6d-4abd-a87d-90e9d3b28a2b,c5.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.181,Hourly
4372f305-5b9f-45ce-a940-5807cb390ab2,c5.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.607,Hourly
660aa079-ca5b-48dd-a264-e7c975e5e7b9,c5.xlarge,Linux/UNIX,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.113,Hourly
6b106a5c-7c17-47cb-ab5d-6bb72ada68ed,c5.xlarge,SUSE Linux,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.146,Hourly
810964cc-2a8f-4243-b300-f21eb40a529d,c5.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.194,Hourly
8209aefa-9ac6-40ce-80bb-6640def57d39,c5.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.127,Hourly
93162bcd-2252-4ec2-9071-c1d37ed3b9a6,c5.xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.16,Hourly
9961e155-8799-4b1a-8e20-5866f7f730e7,c5.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.613,Hourly
ac8c58e5-d87b-44d7-b804-417c0057982b,c5.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.593,Hourly
cc7253b2-701e-4000-9591-0d3773ff5270,c5.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.627,Hourly
fd722079-5643-4b62-923c-8f4da4d6a28e,c5.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.173,Hourly
007cd5c7-b911-4e28-9f01-b7169dfa9dc8,c5.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.598,Hourly
08f5d75b-40c6-46e8-84dc-95dfdd1f776f,c5.xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.612,Hourly
09cc20d9-75cf-44fd-9bb0-115a08669d81,c5.xlarge,SUSE Linux,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.145,Hourly
0ad4ba61-13ff-46f8-8ad6-5db86c519df6,c5.xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.18,Hourly
1fa2e874-165c-459f-b34a-cfbf1a7dc08d,c5.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.158,Hourly
478e26a5-9cd6-4aa9-bc66-9479f7580e6b,c5.xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.592,Hourly
5c8868ac-b179-4c6f-8bb1-0aad7e13190d,c5.xlarge,Linux with SQL Server Standard,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.578,Hourly
616d323e-0157-43a0-8129-1ca6b0d33d04,c5.xlarge,Linux/UNIX,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.098,Hourly
85c2c261-49be-407d-9333-1ee571c2a93e,c5.xlarge,SUSE Linux,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.131,Hourly
c538b9c8-3b54-4adb-aa69-554bd79488cf,c5.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.172,Hourly
d30e7ef8-c059-4176-ace1-b9733fdb1345,c5.xlarge,Linux with SQL Server Web,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.166,Hourly
f776a078-6e1a-4cf0-993a-e5cbd42ea56d,c5.xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.112,Hourly
c76a1194-c7a6-4249-8f56-c56d3a32f146,c5.xlarge,Linux/UNIX,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1196.0,0.0,USD,0.045,Hourly
de576353-03a6-4dec-926a-12c93a6b451a,c5.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1196.0,0.0,USD,0.105,Hourly
705c23b3-0b37-463c-983c-d68624c518ae,c5.xlarge,Linux/UNIX,default,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1375.0,0.0,USD,0.052,Hourly
7834b705-f067-4b19-b8ff-86576697a7b1,c5.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1375.0,0.0,USD,0.112,Hourly
7c1a131d-238e-4bf5-97b0-9ca95912b803,c5.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1377.0,0.0,USD,0.052,Hourly
8cf23fba-0b17-492a-bfa0-906d03292cff,c5.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1377.0,0.0,USD,0.112,Hourly
9ccbc800-cdae-458b-97ad-6517b547c8a8,c5.xlarge,SUSE Linux,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1548.0,0.0,USD,0.058,Hourly
