ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
117e9dd7-84f2-4697-b182-7aba27adeaad,d2.4xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,7.633,Hourly
171f19af-a739-447f-91c2-231f776c9719,d2.4xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.076,Hourly
280fcb76-b3b3-4533-a2b9-a8f1596c641b,d2.4xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.979,Hourly
2c24ad52-5f92-4224-9bcf-eb9fcb01159d,d2.4xlarge,SUSE Linux,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.802,Hourly
3394655f-4b1d-4a0e-b5eb-c613ca53ed8e,d2.4xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,7.796,Hourly
8e7f4d61-f43b-48a5-aaa2-7e1e3981d600,d2.4xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.946,Hourly
af1538e4-ae57-4b04-96f5-658224657fc3,d2.4xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.899,Hourly
d2306c04-c2a7-4795-9d1c-eaf77087f5d2,d2.4xlarge,Linux/UNIX,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.769,Hourly
d5175982-491d-4871-ad5f-81209dd1e0a3,d2.4xlarge,Linux/UNIX,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,14125.0,0.0,USD,0.538,Hourly
f59bdcde-3181-4f02-8c36-755f8b967ada,d2.4xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,14125.0,0.0,USD,0.667,Hourly
a4f3e508-eded-4155-9ac7-5e5810c41bdf,d2.4xlarge,SUSE Linux,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,14477.0,0.0,USD,0.55,Hourly
a4f92eae-ae10-48bc-b733-259efad28cee,d2.4xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,15540.0,0.0,USD,0.721,Hourly
b9d31ca0-37f6-40c4-80d4-7e0b9962473a,d2.4xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,15540.0,0.0,USD,0.591,Hourly
18dd14a5-1dab-4285-a2d2-21b04fba991a,d2.4xlarge,SUSE Linux,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,15892.0,0.0,USD,0.604,Hourly
10a46875-3c79-4c2f-b05a-d36620e2bdf5,d2.4xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,19867.0,0.0,USD,0.886,Hourly
17727b74-6d65-4dc9-9d62-add0502f1285,d2.4xlarge,Linux/UNIX,default,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,19867.0,0.0,USD,0.756,Hourly
4abddf9a-45ef-4d1e-b144-256980bef191,d2.4xlarge,SUSE Linux,default,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,20219.0,0.0,USD,0.768,Hourly
1e149498-1f2a-49d2-8e01-8d0a2b6a3701,d2.4xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,21857.0,0.0,USD,0.962,Hourly
5d77b4cf-1949-48fa-8ac9-e9bfd7a165c9,d2.4xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,21857.0,0.0,USD,0.832,Hourly
c8478732-e554-4817-9840-8fec9148013a,d2.4xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,22209.0,0.0,USD,0.845,Hourly
cbc060c2-4bcb-4b3a-a51d-5607bb9012c8,d2.4xlarge,Linux/UNIX,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,26556.0,0.0,USD,0.0,Hourly
edad51a6-2f4f-424e-a5fc-b250c6e1059d,d2.4xlarge,SUSE Linux,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,27250.0,0.0,USD,0.0,Hourly
24adc731-af92-4c3e-840f-fe5bd311897a,d2.4xlarge,Linux/UNIX,dedicated,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,29216.0,0.0,USD,0.0,Hourly
47778d78-3814-4150-a665-c564f369523a,d2.4xlarge,SUSE Linux,dedicated,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,29910.0,0.0,USD,0.0,Hourly
e5918e04-ff6d-4702-92a7-40bba74bc984,d2.4xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,29972.0,0.0,USD,0.0,Hourly
1e476b3d-7050-4527-af0e-7f200034b0f5,d2.4xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,32632.0,0.0,USD,0.0,Hourly
3915ab71-4811-4ad2-9cbd-068b13e668a9,d2.4xlarge,Linux/UNIX,default,convertible,All Upfront,us-west-1a,94608000,Availability Zone,0,38939.0,0.0,USD,0.0,Hourly
37ad7379-0f0e-434f-b38a-17e9c09c5a47,d2.4xlarge,SUSE Linux,default,convertible,All Upfront,us-west-1a,94608000,Availability Zone,0,39633.0,0.0,USD,0.0,Hourly
f2123dc5-cd9e-4ea2-b1a7-e152b35b85c5,d2.4xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,us-west-1a,94608000,Availability Zone,0,42356.0,0.0,USD,0.0,Hourly
