ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
1d21a314-fd70-4042-aa70-f1905b9f6ddc,d2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.546,Hourly
2465f4aa-f429-4793-a773-4ee5cae907a2,d2.xlarge,SUSE Linux,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.475,Hourly
557ddcec-dd18-424e-a734-16020b6ed919,d2.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.486,Hourly
6d8463f7-e335-4edf-b2e4-b4c92b987001,d2.xlarge,Linux/UNIX,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.442,Hourly
70b01f9b-ba51-4f57-8459-715f3f9721bf,d2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.502,Hourly
89828607-c260-4e86-b47d-0a461bb18e0f,d2.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.908,Hourly
9f886f78-fb91-434a-a53d-c84498d3323b,d2.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.949,Hourly
ac5c347a-5f80-486f-b7e6-e65fca62328c,d2.xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.519,Hourly
225c9c4f-dc01-4961-87f5-5d5e74f734f4,d2.xlarge,Linux/UNIX,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,3535.0,0.0,USD,0.134,Hourly
66992610-266a-44f5-9780-338798dc33e4,d2.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,3535.0,0.0,USD,0.194,Hourly
