ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
13ece1e5-c4f4-4170-8ba8-a452e8dcae28,g2.2xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.605,Hourly
184415bd-2f7d-419a-9411-a9dcb8725a48,g2.2xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.549,Hourly
2e8d7849-0841-4b76-a207-95835a67c1cf,g2.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.652,Hourly
4fe65d90-aeb4-47e8-bb81-b433233d2e86,g2.2xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.43,Hourly
6cba8ca1-5edc-4b5b-9a9e-1dd1b280bc8e,g2.2xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.509,Hourly
a439efef-b467-4024-a6d3-d0fae209de1b,g2.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.593,Hourly
c06998fb-c599-4bb8-be18-b22e6659f6a4,g2.2xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.387,Hourly
c0ec055e-e9c4-4d7e-a86d-f93f3886fc15,g2.2xlarge,SUSE Linux,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.499,Hourly
e5050391-58c0-4d8e-99df-3a9bddd5d853,g2.2xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.562,Hourly
fe6b58df-c09d-41ef-ae51-f4dd94171d91,g2.2xlarge,Linux/UNIX,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.463,Hourly
18ff03ad-079c-4ab4-80cd-ec1b40edbc01,g2.2xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,6040.0,0.0,USD,0.23,Hourly
b57fa842-706d-47e9-9639-cef0b525e535,g2.2xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,6467.0,0.0,USD,0.246,Hourly
25a30284-b483-4693-b0ad-348413f59d7b,g2.2xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,6750.0,0.0,USD,0.269,Hourly
3d7a66c0-b64e-4663-8efc-23eadb47b83e,g2.2xlarge,Linux/UNIX,default,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,6750.0,0.0,USD,0.139,Hourly
6ccc4a52-0a17-408d-8817-b6f2d59f5379,g2.2xlarge,Linux/UNIX,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,6820.0,0.0,USD,0.065,Hourly
d5757bbc-f8c7-4542-8b45-bffc6536f429,g2.2xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,6820.0,0.0,USD,0.195,Hourly
b22a7c2a-2674-42f2-ab07-c7781c672774,g2.2xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,6970.0,0.0,USD,0.265,Hourly
