ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0976411f-399f-4216-8834-f1dca9784bca,i3.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.518,Hourly
26316329-fc22-4e12-b638-7a6c76fe4ee2,i3.2xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.459,Hourly
7355f411-81cc-42a3-8564-2b5b0ea4d245,i3.2xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.386,Hourly
8312e22f-816b-482e-87da-316c67cc55c3,i3.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.556,Hourly
8bf204f3-7005-4f8e-8448-8aa3971a2118,i3.2xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.561,Hourly
c28208e2-0220-4103-a5ab-9ce5061108e7,i3.2xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.523,Hourly
c9eea892-39ea-4245-b4b6-f3f50b47bd83,i3.2xlarge,SUSE Linux,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.421,Hourly
d6673ae5-e8b6-4771-a457-c6e438df5952,i3.2xlarge,Linux/UNIX,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.388,Hourly
e79e53f1-d727-4647-8989-c3f54cda177e,i3.2xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.388,Hourly
e7cf6ab6-6238-49ca-823d-8f3990bdbcc9,i3.2xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.426,Hourly
f0a9e9c5-bfd4-4269-9d38-532705927c8b,i3.2xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.426,Hourly
fed43d7a-c063-4b18-89e0-8f6dd92ef9a4,i3.2xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.348,Hourly
1d4efe96-f70b-437c-ae0b-0cdf622bbbb2,i3.2xlarge,SUSE Linux,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.404,Hourly
5fc42373-8756-4427-a5f9-e5a36d0a3beb,i3.2xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.467,Hourly
71e3fbf9-0500-455f-beea-8f04ffe078d7,i3.2xlarge,Linux with SQL Server Web,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.472,Hourly
81429054-d67d-40b0-97de-2ee790eee00d,i3.2xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.371,Hourly
8837ede5-df63-45ce-95b1-76508419336c,i3.2xlarge,Linux with SQL Server Standard,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.297,Hourly
8bcf3a4e-8b90-4e70-b152-4517ba82406a,i3.2xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.331,Hourly
9cc52535-e8e7-4445-9157-8e7529a8d095,i3.2xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.506,Hourly
adcb73d1-538e-404e-a5f8-b61b02ca7f02,i3.2xlarge,Linux/UNIX,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.337,Hourly
cdfa9b81-4242-434e-8e00-9f7a2cd757cd,i3.2xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.337,Hourly
d2af0e41-b924-4c24-88f2-6ab2fabf3da2,i3.2xlarge,SUSE Linux,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.37,Hourly
d631bd84-7c8f-4a56-8b7f-a63a23f57d90,i3.2xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.501,Hourly
