ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0835848b-8473-4122-9bf6-89a7f04a855f,m1.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,375.0,0.0,USD,0.086,Hourly
9ceb808f-59f6-4e91-b040-d8825fdc7745,m1.medium,Linux/UNIX,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,375.0,0.0,USD,0.026,Hourly
6b22e55b-494a-4b29-99dc-a731d08ba4f5,m1.medium,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,413.0,0.0,USD,0.095,Hourly
80ed17af-f129-48dc-b81b-49bdbeb192b1,m1.medium,Linux/UNIX,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,413.0,0.0,USD,0.029,Hourly
a872f041-7b72-4ad8-b4e1-4115a18e3912,m1.medium,SUSE Linux,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,727.0,0.0,USD,0.037,Hourly
e23f7fd3-89f9-4375-ae1a-4391aefc62ea,m1.medium,SUSE Linux,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,800.0,0.0,USD,0.041,Hourly
ddc6aa34-8283-4aea-9f12-26fdff72219b,m1.medium,Linux/UNIX,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,994.0,0.0,USD,0.0,Hourly
5a685f7d-a243-4424-a7d1-424632a24165,m1.medium,Linux/UNIX,dedicated,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,1093.0,0.0,USD,0.0,Hourly
07d6f212-8024-4210-b7ca-eaedb1bb21ba,m1.medium,SUSE Linux,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,1597.0,0.0,USD,0.0,Hourly
07d2970d-a830-4f7f-9805-764045760f20,m1.medium,SUSE Linux,dedicated,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,1756.0,0.0,USD,0.0,Hourly
a4d1edac-cc3f-4dee-b5f2-b08713ac4f46,m1.medium,Red Hat Enterprise Linux,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,2476.0,0.0,USD,0.0,Hourly
52e4c769-6d7f-48b1-a670-ac98201aa627,m1.medium,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,2723.0,0.0,USD,0.0,Hourly
19dfbf57-e896-41b1-aae3-fb85e1dd1933,m1.medium,SUSE Linux,default,standard,No Upfront,us-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.104,Hourly
2cd5bef0-dcac-49ae-8fed-73edc8531a0a,m1.medium,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.14,Hourly
8195af00-8bd2-4922-be4e-58a36368579f,m1.medium,SUSE Linux,dedicated,standard,No Upfront,us-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.114,Hourly
a6d518c6-ad4d-4a65-8840-328ff81ccd24,m1.medium,Linux/UNIX,dedicated,standard,No Upfront,us-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.074,Hourly
d1ceae8c-c82f-40e6-a6cd-1212c434fa91,m1.medium,Linux/UNIX,default,standard,No Upfront,us-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.068,Hourly
f0fd9276-639e-4ac0-9116-460a5dd39273,m1.medium,Red Hat Enterprise Linux,default,standard,No Upfront,us-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.128,Hourly
24bc9821-483b-4cf6-9cae-36d625aa183a,m1.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-1a,31536000,Availability Zone,0,247.0,0.0,USD,0.092,Hourly
d282738f-bf03-43bb-8ba4-ceba3055a5ee,m1.medium,Linux/UNIX,default,standard,Partial Upfront,us-west-1a,31536000,Availability Zone,0,247.0,0.0,USD,0.032,Hourly
1882231f-6cb1-4972-b42e-dbd98df39f99,m1.medium,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-west-1a,31536000,Availability Zone,0,272.0,0.0,USD,0.101,Hourly
a23c7478-49d9-485b-ba79-4856f6e1c6a1,m1.medium,Linux/UNIX,dedicated,standard,Partial Upfront,us-west-1a,31536000,Availability Zone,0,272.0,0.0,USD,0.035,Hourly
f1b6f8b4-cbc1-4ed6-9f08-54df3793b385,m1.medium,SUSE Linux,default,standard,Partial Upfront,us-west-1a,31536000,Availability Zone,0,423.0,0.0,USD,0.043,Hourly
c829e308-b914-4b21-beff-942c778eba2b,m1.medium,SUSE Linux,dedicated,standard,Partial Upfront,us-west-1a,31536000,Availability Zone,0,465.0,0.0,USD,0.047,Hourly
726473b5-5922-4a7d-bdd9-b2c8cffed8b9,m1.medium,Linux/UNIX,default,standard,All Upfront,us-west-1a,31536000,Availability Zone,0,516.0,0.0,USD,0.0,Hourly
3fcebdc0-0055-46e7-a74c-d2dc6c800c50,m1.medium,Linux/UNIX,dedicated,standard,All Upfront,us-west-1a,31536000,Availability Zone,0,567.0,0.0,USD,0.0,Hourly
970b4a07-00d5-437b-b9bd-536a17acecfc,m1.medium,SUSE Linux,default,standard,All Upfront,us-west-1a,31536000,Availability Zone,0,783.0,0.0,USD,0.0,Hourly
920ae47b-e667-45f2-aace-92f55be59cef,m1.medium,SUSE Linux,dedicated,standard,All Upfront,us-west-1a,31536000,Availability Zone,0,861.0,0.0,USD,0.0,Hourly
ff0f83eb-5459-4b12-87da-9c4888da7024,m1.medium,Red Hat Enterprise Linux,default,standard,All Upfront,us-west-1a,31536000,Availability Zone,0,1031.0,0.0,USD,0.0,Hourly
311b6c53-a2c4-4153-bcc0-f046e5335989,m1.medium,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-west-1a,31536000,Availability Zone,0,1134.0,0.0,USD,0.0,Hourly
6cd8aca1-1008-4325-9b8f-8d1438cee470,m1.medium,Windows,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,519.0,0.0,USD,0.068,Hourly
35778f94-3af9-4525-91c6-9813231c1ed8,m1.medium,Windows,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,571.0,0.0,USD,0.075,Hourly
c0d76485-9aef-4a83-8c71-4f4068915072,m1.medium,Windows with SQL Server Web,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1245.0,0.0,USD,0.071,Hourly
68ffd9b2-c386-403b-962d-583420946514,m1.medium,Windows with SQL Server Web,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1370.0,0.0,USD,0.078,Hourly
4c530462-411c-481d-9c71-fbe993e48ed8,m1.medium,Windows,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,2168.0,0.0,USD,0.0,Hourly
26b6b901-f4f1-4087-a566-559d41127f37,m1.medium,Windows,dedicated,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,2384.0,0.0,USD,0.0,Hourly
beb36e37-dbc8-4773-9fcd-7560c860d46a,m1.medium,Windows with SQL Server Web,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,2924.0,0.0,USD,0.0,Hourly
ecbe17ae-dad2-4ac3-8e98-b283f0993e88,m1.medium,Windows with SQL Server Web,dedicated,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,3216.0,0.0,USD,0.0,Hourly
fe562eb7-d56c-4b48-9942-76c47a914b70,m1.medium,Windows with SQL Server Standard,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,4720.0,0.0,USD,0.269,Hourly
fcfc2c8b-355c-48e3-9850-bdf6a8093f8f,m1.medium,Windows with SQL Server Standard,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,5192.0,0.0,USD,0.296,Hourly
e5c7570b-54a4-431e-a54c-d8a7524955e7,m1.medium,Windows with SQL Server Standard,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,11082.0,0.0,USD,0.0,Hourly
f0f5186d-7a48-4667-8904-af2e5de63f52,m1.medium,Windows with SQL Server Standard,dedicated,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,12190.0,0.0,USD,0.0,Hourly
0c9dec3e-c253-41bc-9c71-f84f59d10abd,m1.medium,Windows,default,standard,No Upfront,us-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.131,Hourly
