ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
7c2fe6fc-b9b1-4c41-9a36-c804d747b772,m1.small,Linux/UNIX,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,188.0,0.0,USD,0.013,Hourly
a4dd7d8d-cea9-44d5-b2e1-4a8f250a1107,m1.small,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,188.0,0.0,USD,0.073,Hourly
54fd3b32-baa5-4519-b1c2-b4ef65a429a0,m1.small,Linux/UNIX,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,207.0,0.0,USD,0.014,Hourly
f05c70c5-5d8f-4d6b-ac0b-37818cf55daf,m1.small,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,207.0,0.0,USD,0.08,Hourly
3a8178fb-fd10-4fce-bbb7-7e05acc6a9d1,m1.small,SUSE Linux,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,364.0,0.0,USD,0.024,Hourly
63b4f7a5-6db9-4df6-80b7-2b855f0e51d1,m1.small,SUSE Linux,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,400.0,0.0,USD,0.026,Hourly
1de81925-67e2-437b-8516-d6bfc0d7a698,m1.small,Linux/UNIX,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,497.0,0.0,USD,0.0,Hourly
549ac24c-20e1-481b-b579-9aa6422e4d64,m1.small,Linux/UNIX,dedicated,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,546.0,0.0,USD,0.0,Hourly
8d4e75aa-6059-4d99-9336-c933e4db5d0e,m1.small,SUSE Linux,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,935.0,0.0,USD,0.0,Hourly
587a089a-17ee-4a28-bd11-768cc4a790b4,m1.small,SUSE Linux,dedicated,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,1028.0,0.0,USD,0.0,Hourly
8cb5a561-2d17-43ed-8412-3439119c926f,m1.small,Red Hat Enterprise Linux,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,1980.0,0.0,USD,0.0,Hourly
51fa7f6a-614c-44a1-bbb4-d437dd15b9a9,m1.small,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,2178.0,0.0,USD,0.0,Hourly
01ddc8a4-2db6-4b8c-9851-6ba259d21eaa,m1.small,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.103,Hourly
59b36ba5-db30-4642-9954-b15442e37f06,m1.small,SUSE Linux,default,standard,No Upfront,us-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.058,Hourly
d3028291-624e-47de-8ec5-a0d5e40f96c4,m1.small,SUSE Linux,dedicated,standard,No Upfront,us-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.063,Hourly
d8e4d9c1-0160-4526-8633-d11870d54e92,m1.small,Linux/UNIX,default,standard,No Upfront,us-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.034,Hourly
e2e7163b-83e0-4b57-bf51-f57f4b306b52,m1.small,Linux/UNIX,dedicated,standard,No Upfront,us-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.037,Hourly
fcfbbfec-e63b-4b93-9e5e-5083042b7a36,m1.small,Red Hat Enterprise Linux,default,standard,No Upfront,us-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.094,Hourly
34dd0594-02d8-42df-ae77-79cb68f96ffe,m1.small,Linux/UNIX,default,standard,Partial Upfront,us-west-1a,31536000,Availability Zone,0,123.0,0.0,USD,0.016,Hourly
b347ef0c-8439-47bb-9b5f-8d8f4046d985,m1.small,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-1a,31536000,Availability Zone,0,123.0,0.0,USD,0.076,Hourly
5ed95be7-638b-4469-8773-f8eafe548adc,m1.small,Linux/UNIX,dedicated,standard,Partial Upfront,us-west-1a,31536000,Availability Zone,0,135.0,0.0,USD,0.018,Hourly
79409136-403d-423f-b3c1-379b7b673104,m1.small,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-west-1a,31536000,Availability Zone,0,135.0,0.0,USD,0.084,Hourly
7afebd4e-1b45-4330-acfd-f292315cd851,m1.small,SUSE Linux,default,standard,Partial Upfront,us-west-1a,31536000,Availability Zone,0,211.0,0.0,USD,0.027,Hourly
9c62a7bd-15d6-4c0f-9e77-86099a97b551,m1.small,SUSE Linux,dedicated,standard,Partial Upfront,us-west-1a,31536000,Availability Zone,0,232.0,0.0,USD,0.03,Hourly
f43227d1-ad41-4cf7-9c81-66634450476d,m1.small,Linux/UNIX,default,standard,All Upfront,us-west-1a,31536000,Availability Zone,0,257.0,0.0,USD,0.0,Hourly
7de441b2-25ab-4a3e-8b65-14883c91bc8d,m1.small,Linux/UNIX,dedicated,standard,All Upfront,us-west-1a,31536000,Availability Zone,0,282.0,0.0,USD,0.0,Hourly
235a24c2-a0e8-4bea-83e2-d24dfccef722,m1.small,SUSE Linux,default,standard,All Upfront,us-west-1a,31536000,Availability Zone,0,438.0,0.0,USD,0.0,Hourly
f529c11d-62bd-4f52-9a83-0d3007d73903,m1.small,SUSE Linux,dedicated,standard,All Upfront,us-west-1a,31536000,Availability Zone,0,481.0,0.0,USD,0.0,Hourly
1d1ee921-7248-407d-b7f0-0f82a5a45a44,m1.small,Red Hat Enterprise Linux,default,standard,All Upfront,us-west-1a,31536000,Availability Zone,0,772.0,0.0,USD,0.0,Hourly
4c6ce013-9a64-4943-a7f5-dcbbe47bd1f1,m1.small,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-west-1a,31536000,Availability Zone,0,849.0,0.0,USD,0.0,Hourly
267e0207-3c2c-4361-98e2-eaaf7d1f0b02,m1.small,Windows,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,259.0,0.0,USD,0.034,Hourly
b276ceab-0f7b-4782-8660-9873b2ef202d,m1.small,Windows,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,285.0,0.0,USD,0.037,Hourly
8e391986-3311-4325-b366-acd3b847bb55,m1.small,Windows with SQL Server Web,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,770.0,0.0,USD,0.044,Hourly
9e6468ab-0bcc-4a33-a43f-f566bceb837b,m1.small,Windows with SQL Server Web,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,847.0,0.0,USD,0.048,Hourly
a41d72a7-ac1c-431f-8148-cad7a8561202,m1.small,Windows,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,1083.0,0.0,USD,0.0,Hourly
f67520eb-f842-4f6b-bab3-1bac9250dc97,m1.small,Windows,dedicated,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,1191.0,0.0,USD,0.0,Hourly
d5e06109-f0b8-42f4-9fa3-b29e300637dc,m1.small,Windows with SQL Server Web,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,1811.0,0.0,USD,0.0,Hourly
288b47c4-ec65-4ace-8d3e-5dee14ea01df,m1.small,Windows with SQL Server Web,dedicated,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,1992.0,0.0,USD,0.0,Hourly
df69b5af-2480-439a-b719-29bcce3bfbd8,m1.small,Windows with SQL Server Standard,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,4180.0,0.0,USD,0.238,Hourly
c0e2384d-11ec-44b8-b39e-19af2ee39ab0,m1.small,Windows with SQL Server Standard,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,4598.0,0.0,USD,0.262,Hourly
2692f553-6d8b-4b39-b33f-02f0c9219c05,m1.small,Windows with SQL Server Standard,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,9809.0,0.0,USD,0.0,Hourly
94e3f8a1-4363-4fe2-b427-5ceb606692c0,m1.small,Windows with SQL Server Standard,dedicated,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,10789.0,0.0,USD,0.0,Hourly
51ea7efa-70b2-4c46-b275-cd5882928181,m1.small,Windows with SQL Server Standard,default,standard,No Upfront,us-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.484,Hourly
567aa6db-4a85-4d15-bfd3-e26e4117019a,m1.small,Windows with SQL Server Standard,dedicated,standard,No Upfront,us-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.532,Hourly
60949b5f-7a42-4bdc-95bf-38e55dc7fbfd,m1.small,Windows with SQL Server Web,dedicated,standard,No Upfront,us-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.115,Hourly
63e4a3ef-cd1d-4b44-a031-d160092831cb,m1.small,Windows,dedicated,standard,No Upfront,us-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.072,Hourly
