ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
02631517-e313-4007-94ad-28b94f7b2717,m4.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1475,Hourly
06c088a2-8dcc-4b0e-928a-a56f5b2d91c0,m4.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6275,Hourly
0c15ad35-0177-43a9-ad93-91b88a695e6e,m4.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6141,Hourly
2a15c267-f0ed-4d23-a3a5-42ddb7e39262,m4.xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1805,Hourly
41c4326c-c446-4c25-bc37-d11a22320fe7,m4.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2151,Hourly
708b96a9-c414-4514-b9ed-195a59aa6360,m4.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.6341,Hourly
804faeec-354f-41bf-9774-fd8c416c3f21,m4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2075,Hourly
adf9a863-e732-4635-91ff-ef53aa601bfe,m4.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1941,Hourly
cda6c074-ebed-4f2e-86be-39f4bfbf9d79,m4.xlarge,SUSE Linux,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1671,Hourly
d33e8c37-2d6c-4332-a4a1-2bedd34d0b36,m4.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.6475,Hourly
d4d7679b-b1ee-4efc-b5d4-bd6f6e226417,m4.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2017,Hourly
f786ffef-3dfd-4ba3-986b-066152ab635e,m4.xlarge,Linux/UNIX,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1341,Hourly
193ecc59-7d4f-4bb7-8ccb-0187dfafc830,m4.xlarge,Linux with SQL Server Web,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1842,Hourly
32a8e217-7664-4d20-b607-e4a987aa699b,m4.xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.6283,Hourly
3418c4f4-942d-412f-b60c-a5aee0c2ac72,m4.xlarge,SUSE Linux,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1613,Hourly
4739af02-109d-457e-bee1-2302cf9e7319,m4.xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1283,Hourly
6d41188d-d759-474e-a6c7-b7318c08f106,m4.xlarge,Linux with SQL Server Standard,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.5966,Hourly
6e217fd6-a3e1-4e01-a304-5ab941052521,m4.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.6166,Hourly
9a096943-0c99-4c66-960e-bc55fb676818,m4.xlarge,Linux/UNIX,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1166,Hourly
a369de97-5319-4407-abd7-e84c7d6a08e7,m4.xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1959,Hourly
ab3a28ca-7154-4526-a01c-06897ea62ef9,m4.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1883,Hourly
b4006f38-c641-4f4b-837d-ad3fd8f7e8c2,m4.xlarge,SUSE Linux,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1496,Hourly
fbd525fc-97db-426c-88b3-8b3339e93daf,m4.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1766,Hourly
fe3fa093-d9fb-48c1-894a-c45f78408e35,m4.xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6083,Hourly
a23a2d27-ed72-41cc-bf18-3afa0f83c8a4,m4.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1419.0,0.0,USD,0.114,Hourly
b1dda1d5-e209-49a3-822a-88498aa340a7,m4.xlarge,Linux/UNIX,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1419.0,0.0,USD,0.054,Hourly
44550320-82ca-4949-abc8-3816b58a500a,m4.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1561.0,0.0,USD,0.1194,Hourly
add4c8bc-a08b-46eb-b3fd-bc52fe32ce1c,m4.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1561.0,0.0,USD,0.0594,Hourly
33a3b5fd-7ce1-4a68-b0b4-073954112d6b,m4.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1632.0,0.0,USD,0.1221,Hourly
bfc630f6-f152-4fa0-abf7-30152b322d53,m4.xlarge,Linux/UNIX,default,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1632.0,0.0,USD,0.0621,Hourly
7c281417-1076-45ef-aafa-bc1bce04fc93,m4.xlarge,SUSE Linux,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1771.0,0.0,USD,0.067,Hourly
70e35bf9-5d38-4dc1-8d95-2f1920f16f04,m4.xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1795.0,0.0,USD,0.0683,Hourly
a0894e6e-c5db-4f3d-b6e9-deb2eaf6676c,m4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1795.0,0.0,USD,0.1283,Hourly
e6cc8ce9-5179-4ccd-8fa8-4d7f433399f6,m4.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1913.0,0.0,USD,0.0724,Hourly
9b36b187-bb16-4d86-814c-54b3b5e29bd4,m4.xlarge,SUSE Linux,default,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1984.0,0.0,USD,0.0751,Hourly
532fd744-4bf3-4413-9012-29c05b242f40,m4.xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,2147.0,0.0,USD,0.0813,Hourly
41dc4848-b4ce-41eb-b7e6-3f780a248ba6,m4.xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,2307.0,0.0,USD,0.0878,Hourly
31b2521c-b1dc-4519-b9c6-1076785e2230,m4.xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,2449.0,0.0,USD,0.0932,Hourly
d399b266-c9ab-458b-832b-6fbc6ea24c9f,m4.xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,2520.0,0.0,USD,0.0959,Hourly
15f3ffe4-f42e-4cd6-8bb2-db8f6dd8fdcb,m4.xlarge,Linux/UNIX,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,2668.0,0.0,USD,0.0,Hourly
9744659f-a507-42b9-8e6d-64da00e19f6d,m4.xlarge,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,2683.0,0.0,USD,0.1021,Hourly
9a55020e-bf4f-4f05-8ca5-54ab8b592e03,m4.xlarge,Linux/UNIX,dedicated,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,2935.0,0.0,USD,0.0,Hourly
4df0cf62-73c9-46fb-9bd8-5c7f431f4ac4,m4.xlarge,Linux/UNIX,default,convertible,All Upfront,us-west-1a,94608000,Availability Zone,0,3199.0,0.0,USD,0.0,Hourly
fa5fd85d-206a-410d-8805-5c607dd45c79,m4.xlarge,SUSE Linux,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,3362.0,0.0,USD,0.0,Hourly
106cc5d3-d82d-4d79-8b4b-6dff96cd8460,m4.xlarge,Linux/UNIX,dedicated,convertible,All Upfront,us-west-1a,94608000,Availability Zone,0,3519.0,0.0,USD,0.0,Hourly
2e75f154-3b1f-4168-8e8c-84d79da7bb9a,m4.xlarge,SUSE Linux,dedicated,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,3629.0,0.0,USD,0.0,Hourly
35680a76-a7a7-46bf-b497-7c8197fd444f,m4.xlarge,SUSE Linux,default,convertible,All Upfront,us-west-1a,94608000,Availability Zone,0,3893.0,0.0,USD,0.0,Hourly
3ac28e91-6dd9-4fe3-80a6-81134d11aa69,m4.xlarge,SUSE Linux,dedicated,convertible,All Upfront,us-west-1a,94608000,Availability Zone,0,4213.0,0.0,USD,0.0,Hourly
ab13d37c-0442-47da-9cc4-e91f0c9e99e0,m4.xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,4245.0,0.0,USD,0.0,Hourly
359d3332-bafc-4de2-8195-067d4d3b9fea,m4.xlarge,Linux with SQL Server Web,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,4444.0,0.0,USD,0.0,Hourly
43db2a08-993a-43af-9782-aea7c34806fc,m4.xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,4512.0,0.0,USD,0.0,Hourly
12ba6bf5-10cc-4f61-9dd1-a424d436fbcb,m4.xlarge,Linux with SQL Server Web,dedicated,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,4711.0,0.0,USD,0.0,Hourly
697edb4f-56c4-43d6-9f31-f7c9742540f0,m4.xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,us-west-1a,94608000,Availability Zone,0,4776.0,0.0,USD,0.0,Hourly
963286fc-51a0-4b78-8940-17a704d703c1,m4.xlarge,Linux with SQL Server Web,default,convertible,All Upfront,us-west-1a,94608000,Availability Zone,0,4975.0,0.0,USD,0.0,Hourly
c028b31d-a56a-40c4-945f-9e1798bd5d2c,m4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,us-west-1a,94608000,Availability Zone,0,5095.0,0.0,USD,0.0,Hourly
11d47951-8384-46f1-917c-228d75fa6313,m4.xlarge,Linux with SQL Server Web,dedicated,convertible,All Upfront,us-west-1a,94608000,Availability Zone,0,5295.0,0.0,USD,0.0,Hourly
