ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0ab9805a-445a-4934-bcfc-839930d7015d,r4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2212,Hourly
11a502bd-0776-4d1c-a881-92ba5379af5d,r4.xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1942,Hourly
535b987b-1aff-455b-8f76-d8097c629e17,r4.xlarge,SUSE Linux,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1796,Hourly
5acaf4f5-bf54-4a22-becb-2f3b286de7be,r4.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6266,Hourly
68a0a1b4-4719-4d48-9bf2-4989307ff628,r4.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1612,Hourly
7a2cf20a-73e3-4f89-8cde-3e704c6b63b7,r4.xlarge,Linux/UNIX,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1466,Hourly
961199dc-040b-4620-ba21-6ba640853445,r4.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.6612,Hourly
c05a5fa1-7e04-4718-b042-a84958148699,r4.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6412,Hourly
dc8452e9-a40d-4c56-a09f-b52364db388b,r4.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.6466,Hourly
dcbb10f9-679a-47df-acc8-4b7cc1eb92ab,r4.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2142,Hourly
e22dd7d6-2bf8-4e74-bae5-431242ad4930,r4.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2066,Hourly
e8cbf07c-b72e-4b04-ab1c-2807ff616fca,r4.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2288,Hourly
0093d3af-235e-49b8-8324-afd954da4851,r4.xlarge,Linux with SQL Server Standard,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6074,Hourly
067db807-38ef-4c34-9711-e5a84a22e6bc,r4.xlarge,SUSE Linux,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1604,Hourly
1724924e-f84e-4070-bd6d-1af630ec88df,r4.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1874,Hourly
1c37f427-5e50-473b-a089-22377aed6d9a,r4.xlarge,Linux with SQL Server Web,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.195,Hourly
262aff6a-5a71-44eb-91ce-a6a9396b5b88,r4.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.6274,Hourly
28445a75-71bf-4e7b-a543-182a31f2f46c,r4.xlarge,SUSE Linux,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1732,Hourly
33150802-4585-46e8-ab26-31c9545f40b8,r4.xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6202,Hourly
374ee67a-bdf5-4ccd-ade1-5ccde26554b5,r4.xlarge,Linux/UNIX,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1274,Hourly
8efa3a8d-b0bc-4083-8520-c84f740eefbc,r4.xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2078,Hourly
adc93c9a-ea6a-4b72-98da-ddcf920f3c21,r4.xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1402,Hourly
c6922747-c0bd-4d86-a1ed-caeb0a0c05b9,r4.xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.6402,Hourly
d397ffd1-603e-460f-b9a6-f5fd03c35ec9,r4.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2002,Hourly
6e6c1c58-aae5-4a1e-91e4-ecebc2ba8783,r4.xlarge,Linux/UNIX,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1558.0,0.0,USD,0.059,Hourly
93421241-c1e8-45b8-8fdc-0bd7a9d3b4a3,r4.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1558.0,0.0,USD,0.119,Hourly
1889c42e-7312-40e7-8252-f30a01017b02,r4.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1713.0,0.0,USD,0.065,Hourly
