ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
5764a0bd-4ab4-4ad7-a18d-9a6fe409de34,t1.micro,Linux/UNIX,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,100.0,0.0,USD,0.008,Hourly
62d41378-aaf1-4767-9459-3b7230f885a2,t1.micro,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,100.0,0.0,USD,0.068,Hourly
618a3f60-10cc-4da0-aa8b-19caaabe3fab,t1.micro,SUSE Linux,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,144.0,0.0,USD,0.014,Hourly
c2f2983a-3e5c-467d-9942-a073bed486f9,t1.micro,Linux/UNIX,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,291.0,0.0,USD,0.0,Hourly
69fecd8f-8f3c-496e-b18f-1bbb676cb2c9,t1.micro,SUSE Linux,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,481.0,0.0,USD,0.0,Hourly
fff12218-183d-43b9-a86b-eeb19a20f4e3,t1.micro,Red Hat Enterprise Linux,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,1773.0,0.0,USD,0.0,Hourly
4d35167a-1de4-4b63-b81e-d3a1b870d6a5,t1.micro,SUSE Linux,default,standard,No Upfront,us-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.025,Hourly
a3b3ae3d-4741-4c3a-a0e0-e398ddf4eec4,t1.micro,Linux/UNIX,default,standard,No Upfront,us-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.017,Hourly
fe94aa84-0338-4a5b-b8e4-135079101d95,t1.micro,Red Hat Enterprise Linux,default,standard,No Upfront,us-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.077,Hourly
5711d2cc-9506-4324-9b51-ca4007f479a6,t1.micro,Linux/UNIX,default,standard,Partial Upfront,us-west-1a,31536000,Availability Zone,0,62.0,0.0,USD,0.008,Hourly
f86eec9a-a93e-4cdc-8b47-20531633aa79,t1.micro,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-1a,31536000,Availability Zone,0,62.0,0.0,USD,0.068,Hourly
8cedb9e7-14f6-47e3-bdd3-9cde2eea9e08,t1.micro,SUSE Linux,default,standard,Partial Upfront,us-west-1a,31536000,Availability Zone,0,84.0,0.0,USD,0.014,Hourly
a03c66c9-f34b-48dd-994f-686f5d7e6668,t1.micro,Linux/UNIX,default,standard,All Upfront,us-west-1a,31536000,Availability Zone,0,129.0,0.0,USD,0.0,Hourly
fe578c92-11b2-4838-b7ef-2f3a1279a96f,t1.micro,SUSE Linux,default,standard,All Upfront,us-west-1a,31536000,Availability Zone,0,202.0,0.0,USD,0.0,Hourly
5c1b26c6-f96d-479e-9a90-df20d06d6086,t1.micro,Red Hat Enterprise Linux,default,standard,All Upfront,us-west-1a,31536000,Availability Zone,0,644.0,0.0,USD,0.0,Hourly
749ce456-b3a8-48a8-ab86-a4bfbfc1ee2a,t1.micro,Windows,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,100.0,0.0,USD,0.014,Hourly
bfafe345-c66b-4d5b-b517-da78530f0423,t1.micro,Windows with SQL Server Web,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,410.0,0.0,USD,0.024,Hourly
