ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
1ad2f089-065d-43cb-b6d3-ae979efda233,t2.2xlarge,SUSE Linux,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2865,Hourly
c6e4cbd1-b4f9-490a-9f2a-e97a505172b0,t2.2xlarge,Linux/UNIX,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2535,Hourly
d2a93ab8-ffe0-43a6-aa1b-54470f59fcea,t2.2xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.2535,Hourly
d2c62b2f-5ff0-4b11-96bf-c14a2916cac9,t2.2xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.3887,Hourly
e964114f-8e0a-470d-9829-e3ff075e1226,t2.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.3835,Hourly
1ded16f8-f5b2-4797-a6a1-7e3f327a699f,t2.2xlarge,SUSE Linux,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2531,Hourly
57685fa4-1327-4ecd-a353-153277aa83a7,t2.2xlarge,Linux with SQL Server Web,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.3553,Hourly
932ba64b-7713-4bcf-a1e0-792f770740b1,t2.2xlarge,Linux/UNIX,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2201,Hourly
a691f7bf-f037-447d-b366-f85c23d0552c,t2.2xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.3501,Hourly
de7a3e3d-09f4-4c89-b004-a1cd3b4aa7d1,t2.2xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.2201,Hourly
1403212b-fb04-4d75-81a4-4c00fccc711c,t2.2xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,2678.0,0.0,USD,0.2319,Hourly
e76cd1e6-3e34-4a46-b2b3-660fbcbe645b,t2.2xlarge,Linux/UNIX,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,2678.0,0.0,USD,0.1019,Hourly
f09ed062-2ba0-41f4-bd9f-4ee3a9ed45a1,t2.2xlarge,SUSE Linux,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,3030.0,0.0,USD,0.1149,Hourly
7a48e90a-16e8-44c2-9b36-3d7a0a74a5dd,t2.2xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,3085.0,0.0,USD,0.2474,Hourly
