ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0838d17e-bdd5-4912-97c1-9b41326b2819,t2.large,SUSE Linux,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0964,Hourly
6339c2b9-1c4d-49d5-b2de-375880cf84d3,t2.large,Linux/UNIX,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0634,Hourly
9612ec44-ecec-49b6-8e45-dc71f4bb0cc3,t2.large,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1234,Hourly
f66251b7-0aa5-46db-9167-610a9ce6d376,t2.large,Linux with SQL Server Web,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.131,Hourly
1c066f04-ef4e-4c2d-ad9d-ed9452d8c0f9,t2.large,Linux with SQL Server Web,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1226,Hourly
7f5df6d9-d5eb-4922-a3a8-7989cd8999b3,t2.large,Red Hat Enterprise Linux,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.115,Hourly
b5fbad09-0803-4f17-8427-2a2c5a8308b8,t2.large,Linux/UNIX,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.055,Hourly
edd94f05-4a0d-4a41-a080-8f40500f575b,t2.large,SUSE Linux,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.088,Hourly
aa146e6a-3f26-4f59-b481-aae43afe4976,t2.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,670.0,0.0,USD,0.0855,Hourly
ce16b23b-2c94-4975-b682-97dc2985615a,t2.large,Linux/UNIX,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,670.0,0.0,USD,0.0255,Hourly
18c883c3-8ae6-40a0-a7d4-88524b73856c,t2.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,771.0,0.0,USD,0.0893,Hourly
49e2d7d4-d8a4-4d73-b662-bd0f78a51a35,t2.large,Linux/UNIX,default,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,771.0,0.0,USD,0.0293,Hourly
ef94ad68-266c-496d-9922-d7fcc59a10e1,t2.large,SUSE Linux,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1022.0,0.0,USD,0.0385,Hourly
09d94540-f3c0-4c71-b8ad-f9bd6ed77c8b,t2.large,SUSE Linux,default,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1123.0,0.0,USD,0.0423,Hourly
6f31c7a1-88d8-46e0-b6dc-0c31fd0856b6,t2.large,Linux/UNIX,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,1259.0,0.0,USD,0.0,Hourly
cb8a9da7-6b92-4009-95cd-f9dbc0f8516f,t2.large,Linux/UNIX,default,convertible,All Upfront,us-west-1a,94608000,Availability Zone,0,1512.0,0.0,USD,0.0,Hourly
c052e0f7-9718-4667-8b92-b487fb1f0e0e,t2.large,Linux with SQL Server Web,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1558.0,0.0,USD,0.0593,Hourly
198ea6bc-331e-4c4e-b559-979965885917,t2.large,Linux with SQL Server Web,default,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1659.0,0.0,USD,0.0631,Hourly
0b73cae4-df13-4dc9-b093-11ea069b2316,t2.large,SUSE Linux,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,1953.0,0.0,USD,0.0,Hourly
229a1898-c7c8-47d9-86d0-96e5d58194e4,t2.large,SUSE Linux,default,convertible,All Upfront,us-west-1a,94608000,Availability Zone,0,2206.0,0.0,USD,0.0,Hourly
d6adde93-e00b-43ed-9194-0b70a4ca0ccd,t2.large,Red Hat Enterprise Linux,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,2836.0,0.0,USD,0.0,Hourly
a6112b90-d6ab-4414-b73b-5c0a1dab7285,t2.large,Linux with SQL Server Web,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,3035.0,0.0,USD,0.0,Hourly
9a8d4b17-4957-4245-9325-55f29b967699,t2.large,Red Hat Enterprise Linux,default,convertible,All Upfront,us-west-1a,94608000,Availability Zone,0,3088.0,0.0,USD,0.0,Hourly
