ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
280d58ee-d9d2-4782-8a17-cac7d0e7153b,t2.xlarge,SUSE Linux,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1598,Hourly
3a55b3d1-80c6-4383-91b8-5a7476bb96f1,t2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1868,Hourly
6d26fc75-494f-4e2d-9a44-0b1ccad08d4a,t2.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1944,Hourly
dc9541d5-d16b-4c4f-913d-0870e9a678b4,t2.xlarge,Linux/UNIX,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1268,Hourly
fe09bb38-ec5e-4e75-b155-8387a6b70447,t2.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.6268,Hourly
0836a45e-4690-4647-b236-52a50d455f50,t2.xlarge,Linux/UNIX,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1101,Hourly
2a6e63ab-32aa-49fd-a1f4-455f322b39ba,t2.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.6101,Hourly
80ff5bfe-afda-49da-9bbd-df086d00956c,t2.xlarge,SUSE Linux,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1431,Hourly
bd1daeb1-50cf-48f7-a707-761b0549cd51,t2.xlarge,Linux with SQL Server Web,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1777,Hourly
e368a4c5-1c7c-42bc-947b-37717377ec84,t2.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1701,Hourly
025af30c-f14c-4b3f-adf0-39a668e0b546,t2.xlarge,Linux/UNIX,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1339.0,0.0,USD,0.051,Hourly
074894fb-30c3-4164-8637-eb45eeedc435,t2.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1339.0,0.0,USD,0.111,Hourly
cd986a27-8fef-49d3-a3d9-dba4e6472013,t2.xlarge,Linux/UNIX,default,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1542.0,0.0,USD,0.0587,Hourly
ef6343dc-305d-4899-b326-c0dbf754167a,t2.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1542.0,0.0,USD,0.1187,Hourly
b1b90974-f264-4482-9f4c-6fc84d6d1b23,t2.xlarge,SUSE Linux,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1691.0,0.0,USD,0.064,Hourly
8b836660-9f3b-4787-81b5-ac8baba2f10f,t2.xlarge,SUSE Linux,default,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,1894.0,0.0,USD,0.0717,Hourly
e60a616d-95ab-40ab-b664-c8aa8401d7be,t2.xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,2227.0,0.0,USD,0.0848,Hourly
05eecc7a-fbf9-4fce-a7cc-82512981f7ed,t2.xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,2431.0,0.0,USD,0.0925,Hourly
0dcbde37-dc83-4111-9d23-18bc7fbbda15,t2.xlarge,Linux/UNIX,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,2517.0,0.0,USD,0.0,Hourly
