ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
20511ae2-f7ba-4c52-8771-4c076324a8d7,z1d.3xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.718,Hourly
27b3f565-5b1b-468c-93ff-055de0961356,z1d.3xlarge,Linux/UNIX,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.641,Hourly
39057932-0930-44f5-84ea-c11dc3f9481a,z1d.3xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.158,Hourly
3bcd7d38-2e98-4d7d-9642-6b97b1ea579e,z1d.3xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,5.141,Hourly
62d1ac58-f848-4a2f-8ee4-5b395cd6f7a6,z1d.3xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.771,Hourly
6c6a24ff-8faa-418e-b08a-f5b5cbfaa863,z1d.3xlarge,SUSE Linux,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.695,Hourly
a6a19927-7213-41bc-ae8b-6ba8529b54a9,z1d.3xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.772,Hourly
b0d4e22f-78c0-47de-b9d4-df3f6ebb47b2,z1d.3xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.081,Hourly
c94cad67-517d-4ff3-8233-ba37bff7ae44,z1d.3xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.921,Hourly
d7d03dc7-cd84-47ff-8963-0e281aa8da01,z1d.3xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.844,Hourly
e92630a4-6354-4ee1-a4b9-fc2e8d3f7511,z1d.3xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,5.218,Hourly
ef352795-3c53-4ac4-9d57-d71d378a0887,z1d.3xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.848,Hourly
228b45da-b6d4-45e0-994d-4ad098f81cec,z1d.3xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,5.135,Hourly
33b3d959-337b-444b-8d90-05945dd1d294,z1d.3xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.075,Hourly
4ec63002-a547-4189-a23c-1c051db970e5,z1d.3xlarge,Linux with SQL Server Web,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.76,Hourly
51a4fbf5-53af-4f08-8ac0-f6a6110dcae8,z1d.3xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.635,Hourly
5a9479dc-6c5a-4303-bf1e-9445c72cfb87,z1d.3xlarge,SUSE Linux,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.689,Hourly
5d7cd134-54ac-4272-881d-b48c26c8b77b,z1d.3xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.837,Hourly
83da0776-d0c1-4049-9301-ec551ab0a53e,z1d.3xlarge,Linux/UNIX,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.557,Hourly
9db04f65-eecd-4177-aa8a-f8805cc5acde,z1d.3xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.687,Hourly
b9539ec3-754c-4ce1-9078-daeacef4d13d,z1d.3xlarge,Linux with SQL Server Standard,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.997,Hourly
bcc6b686-f89b-4c98-bde1-302d315934f5,z1d.3xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.765,Hourly
ca3799d2-581a-4f22-8f65-45c7d1eabeae,z1d.3xlarge,SUSE Linux,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.611,Hourly
ed936bbe-1da6-4266-bcb5-f53b929a8693,z1d.3xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,us-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,5.057,Hourly
8c09607c-8f75-4f29-816e-179e3d5ddd6b,z1d.3xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,6780.0,0.0,USD,0.388,Hourly
ea29adb3-757b-4933-9e96-ba6efa0f4977,z1d.3xlarge,Linux/UNIX,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,6780.0,0.0,USD,0.258,Hourly
d67c21bb-aa0a-4f18-81a2-806b2d862dcf,z1d.3xlarge,SUSE Linux,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,7490.0,0.0,USD,0.285,Hourly
077075f7-a757-45f2-9a53-21f8212c4b9a,z1d.3xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,7797.0,0.0,USD,0.427,Hourly
e7c653a9-df42-46d1-be9d-a33a8988991d,z1d.3xlarge,Linux/UNIX,default,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,7797.0,0.0,USD,0.297,Hourly
0c4487e0-e66d-4080-b52b-e051dd9904c6,z1d.3xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,7797.0,0.0,USD,0.427,Hourly
f40c8458-8017-4de7-bdc7-05ebab0c0ed9,z1d.3xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,7797.0,0.0,USD,0.297,Hourly
e6c08410-165c-47ac-b9d9-de79d529686d,z1d.3xlarge,SUSE Linux,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,8506.0,0.0,USD,0.324,Hourly
af795c27-d07f-4307-8048-1f9c0b030935,z1d.3xlarge,SUSE Linux,default,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,8507.0,0.0,USD,0.324,Hourly
896cbb4e-00b1-46af-9776-a0fe3e8d1c4a,z1d.3xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,8814.0,0.0,USD,0.335,Hourly
8a6d6aa5-d45a-4f63-95e1-6f92f3a15a36,z1d.3xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,8814.0,0.0,USD,0.465,Hourly
4cd33b97-f504-4f3a-aa2e-ea3961daf06e,z1d.3xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,9445.0,0.0,USD,0.359,Hourly
9c9c38a5-91be-41a7-a65f-cafd31d8c1c8,z1d.3xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,9523.0,0.0,USD,0.362,Hourly
1deb047e-4d9f-42b2-be64-17c7065ba90a,z1d.3xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,10461.0,0.0,USD,0.398,Hourly
9a2e8216-631d-4b29-8221-eb387f28d813,z1d.3xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,10462.0,0.0,USD,0.398,Hourly
c77b2c9f-e628-41aa-b586-67ba05d03e31,z1d.3xlarge,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,11478.0,0.0,USD,0.437,Hourly
589741f1-3839-4eba-8bdf-d5c1aa1e6690,z1d.3xlarge,Linux/UNIX,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,12747.0,0.0,USD,0.0,Hourly
5dad75e9-87ec-4226-bfd6-2c87632388e2,z1d.3xlarge,SUSE Linux,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,14166.0,0.0,USD,0.0,Hourly
869cece7-e5b9-4b2a-8f3b-50bd4e9b4cb3,z1d.3xlarge,Linux/UNIX,dedicated,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,14780.0,0.0,USD,0.0,Hourly
2021a689-9cd8-4caa-b05f-94828d7c6d19,z1d.3xlarge,Linux/UNIX,default,convertible,All Upfront,us-west-1a,94608000,Availability Zone,0,15283.0,0.0,USD,0.0,Hourly
4c317ee7-9947-46e1-a0b5-f9f8364e85c9,z1d.3xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,16163.0,0.0,USD,0.0,Hourly
e6b520c6-0952-428c-a497-c919e30de4bc,z1d.3xlarge,SUSE Linux,dedicated,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,16198.0,0.0,USD,0.0,Hourly
cf76e586-71f8-49bc-9bd6-2c16266edb9e,z1d.3xlarge,SUSE Linux,default,convertible,All Upfront,us-west-1a,94608000,Availability Zone,0,16701.0,0.0,USD,0.0,Hourly
7659d76c-2b14-472b-9fbf-fde3f2256085,z1d.3xlarge,Linux/UNIX,dedicated,convertible,All Upfront,us-west-1a,94608000,Availability Zone,0,17315.0,0.0,USD,0.0,Hourly
974a2c95-9d1d-42e8-9cab-650bec710b14,z1d.3xlarge,Linux with SQL Server Web,default,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,18076.0,0.0,USD,0.0,Hourly
60b9cf49-c400-4200-830f-d34a9e15a43e,z1d.3xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,18196.0,0.0,USD,0.0,Hourly
bd98872b-d5b5-4305-b0ba-a42deb95a6b1,z1d.3xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,us-west-1a,94608000,Availability Zone,0,18699.0,0.0,USD,0.0,Hourly
1e3218e3-67d0-465d-ab5b-8f9d38553a6d,z1d.3xlarge,SUSE Linux,dedicated,convertible,All Upfront,us-west-1a,94608000,Availability Zone,0,18734.0,0.0,USD,0.0,Hourly
b152a682-449d-453f-95cd-70cd6895f936,z1d.3xlarge,Linux with SQL Server Web,dedicated,standard,All Upfront,us-west-1a,94608000,Availability Zone,0,20109.0,0.0,USD,0.0,Hourly
5f686b1e-9d2b-4c2b-aff0-c325dbbdf4f7,z1d.3xlarge,Linux with SQL Server Web,default,convertible,All Upfront,us-west-1a,94608000,Availability Zone,0,20612.0,0.0,USD,0.0,Hourly
813988a8-6690-40d0-8480-2c6d4335a3e5,z1d.3xlarge,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,us-west-1a,94608000,Availability Zone,0,20732.0,0.0,USD,0.0,Hourly
4f44cdc2-dbb7-432f-92df-8bdc1e4cf06f,z1d.3xlarge,Linux with SQL Server Web,dedicated,convertible,All Upfront,us-west-1a,94608000,Availability Zone,0,22645.0,0.0,USD,0.0,Hourly
871337b3-d9b7-49da-9fff-f17f14784482,z1d.3xlarge,Linux with SQL Server Standard,default,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,25702.0,0.0,USD,0.978,Hourly
f6e5519e-b56c-4f6e-aa46-61101b5f076f,z1d.3xlarge,Linux with SQL Server Standard,dedicated,standard,Partial Upfront,us-west-1a,94608000,Availability Zone,0,26718.0,0.0,USD,1.017,Hourly
ef3aad90-1d54-40db-8bbb-9cd49600027e,z1d.3xlarge,Linux with SQL Server Standard,default,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,26719.0,0.0,USD,1.017,Hourly
a020e096-8ae8-44bd-81ea-5f87a37e27fa,z1d.3xlarge,Linux with SQL Server Standard,dedicated,convertible,Partial Upfront,us-west-1a,94608000,Availability Zone,0,27735.0,0.0,USD,1.055,Hourly
