ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
aadff947-024b-4f5f-8ce8-a87dc7f441b8,c1.medium,Linux/UNIX,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,631.0,0.0,USD,0.028,Hourly
c47c0595-dc85-408c-8002-0192db92bdcd,c1.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,631.0,0.0,USD,0.088,Hourly
b0f15412-fe94-40f4-ab79-fbd103e2830e,c1.medium,Linux/UNIX,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,694.0,0.0,USD,0.031,Hourly
d06732b4-1e6e-4085-88e9-819e3927ab9f,c1.medium,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,694.0,0.0,USD,0.097,Hourly
5c9db4af-dfc0-4170-8323-3b1a0d668554,c1.medium,SUSE Linux,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,983.0,0.0,USD,0.039,Hourly
2a0e56f0-de89-4bfe-9820-ea58d51e2731,c1.medium,SUSE Linux,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,1081.0,0.0,USD,0.043,Hourly
b81c9152-2f11-4c89-a365-9c0a8b287e98,c1.medium,Linux/UNIX,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,1284.0,0.0,USD,0.0,Hourly
1b7d8c53-1942-40d2-9919-06623bd4a986,c1.medium,Linux/UNIX,dedicated,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,1412.0,0.0,USD,0.0,Hourly
841b4645-180c-43ae-b5d4-48c0b8221ab8,c1.medium,SUSE Linux,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,1887.0,0.0,USD,0.0,Hourly
930ccd91-982d-4769-a9d4-dec09a7b982d,c1.medium,SUSE Linux,dedicated,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,2075.0,0.0,USD,0.0,Hourly
34dd907e-7856-4b77-b4aa-343542dc2846,c1.medium,Red Hat Enterprise Linux,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,2767.0,0.0,USD,0.0,Hourly
7d06fe56-ad24-49fb-aa4e-5a259d7f5611,c1.medium,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,3043.0,0.0,USD,0.0,Hourly
4aac4ebf-3a84-4210-8c59-5d6d0773d8f1,c1.medium,Linux/UNIX,default,standard,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.091,Hourly
4cdc9f88-d325-4af2-9483-e04baefc36bf,c1.medium,Linux/UNIX,dedicated,standard,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.1,Hourly
61a14fe2-3cbe-48b4-bcff-ce032cecc03e,c1.medium,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.166,Hourly
7d0f6a9a-2b22-41ba-ac88-505d860bd48b,c1.medium,SUSE Linux,dedicated,standard,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.139,Hourly
a9314ca0-d9be-48ca-9eed-b97ed07abdd5,c1.medium,Red Hat Enterprise Linux,default,standard,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.151,Hourly
eb46a07f-54dc-47dd-8b2c-0905dfc4b9eb,c1.medium,SUSE Linux,default,standard,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.127,Hourly
09ae5993-8383-4fa3-9d0b-f81fdfdc63c3,c1.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-2a,31536000,Availability Zone,0,405.0,0.0,USD,0.092,Hourly
4c258946-cc92-41f8-89c5-cec109f22d85,c1.medium,Linux/UNIX,default,standard,Partial Upfront,us-west-2a,31536000,Availability Zone,0,405.0,0.0,USD,0.032,Hourly
428172dc-86d5-4b10-a76a-73ea5c54485b,c1.medium,Linux/UNIX,dedicated,standard,Partial Upfront,us-west-2a,31536000,Availability Zone,0,446.0,0.0,USD,0.035,Hourly
5df873e3-1177-4037-b432-55155bf8e9af,c1.medium,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-west-2a,31536000,Availability Zone,0,446.0,0.0,USD,0.101,Hourly
ac39ea3e-1c72-469c-9484-04037ff3b5ee,c1.medium,SUSE Linux,default,standard,Partial Upfront,us-west-2a,31536000,Availability Zone,0,581.0,0.0,USD,0.043,Hourly
