ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0ae53b21-1e0c-415f-a303-b865c3f422be,c5d.18xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.702,Hourly
24079353-f19c-4689-af99-23523a3c3457,c5d.18xlarge,Linux/UNIX,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.669,Hourly
2ed5bf6e-e948-4ca8-8ca7-ddc71467653c,c5d.18xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.799,Hourly
451b1642-e44a-4996-b725-6a6cbe4af0f7,c5d.18xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,10.309,Hourly
60a33e5e-f181-4d08-adfa-f396fc6f8e42,c5d.18xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,28.669,Hourly
798441de-60ad-4af1-a68a-784baec92bad,c5d.18xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,10.309,Hourly
8a2b78c8-bd46-42c3-9398-f71fa13d9b9a,c5d.18xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.669,Hourly
934aec68-061a-41c4-8d69-22f5384c2c0c,c5d.18xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.886,Hourly
a6a24044-748c-4b66-a667-8674ae1f8ebf,c5d.18xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,28.669,Hourly
d9e9d01e-c8e1-46f4-b38a-cfdc3e44104a,c5d.18xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.799,Hourly
f4e03b92-5e7b-4197-a15f-59ca7e5e6ff5,c5d.18xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.886,Hourly
f97110e9-4a3a-4e17-bf2f-35417e852525,c5d.18xlarge,SUSE Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.702,Hourly
134c1c07-ba44-44d8-980a-7e67483fc485,c5d.18xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.581,Hourly
1e9ccb35-2f2d-417f-a2a3-847aa233db51,c5d.18xlarge,SUSE Linux,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.484,Hourly
31ead23d-aaf5-4e95-ade9-0988b6bb4cb3,c5d.18xlarge,Linux/UNIX,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.451,Hourly
4bd41112-2a00-483f-97e2-5bdea83cabd6,c5d.18xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.668,Hourly
52c381bc-2bf1-4c06-8457-4087e0074194,c5d.18xlarge,Linux with SQL Server Standard,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,10.091,Hourly
54737a83-45e5-4e76-b812-d2659db19d7c,c5d.18xlarge,SUSE Linux,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.484,Hourly
609f4017-ddf3-4bfe-9fed-a300e37cf8de,c5d.18xlarge,Linux with SQL Server Web,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.668,Hourly
cd62322f-e4db-4c4e-9602-76d0b70b7f8f,c5d.18xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,10.091,Hourly
e90dbea8-de48-471d-be52-de3d62698fcf,c5d.18xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,28.451,Hourly
eb80e87c-9c09-43df-925f-ca19677dbcf6,c5d.18xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,28.451,Hourly
efb4b263-bed1-48a5-9377-cdaf06024278,c5d.18xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.581,Hourly
f75fe997-4ffd-4449-a2b0-306712dc48c5,c5d.18xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.451,Hourly
313c85d3-e6f6-4340-8123-ebddab084675,c5d.18xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,17657.0,0.0,USD,0.672,Hourly
7b483933-c7b8-43f1-8892-01ab8593b701,c5d.18xlarge,Linux/UNIX,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,17657.0,0.0,USD,0.672,Hourly
f0531b0c-d0e9-4602-8401-e0c88af4a673,c5d.18xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,17657.0,0.0,USD,0.802,Hourly
fe68ef39-7ffa-4d72-8cf6-7cf5a5432ae7,c5d.18xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,17657.0,0.0,USD,0.802,Hourly
1e58a763-ac5e-4756-bf7f-ac106c200f43,c5d.18xlarge,SUSE Linux,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,18009.0,0.0,USD,0.685,Hourly
c980a05e-110e-4230-b5c1-9798d69fbd62,c5d.18xlarge,SUSE Linux,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,18009.0,0.0,USD,0.685,Hourly
73d42d9c-9476-4d59-8275-47c90877e716,c5d.18xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,20305.0,0.0,USD,0.773,Hourly
79b04dc5-78d3-48cd-b17e-07f521faa64d,c5d.18xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,20305.0,0.0,USD,0.903,Hourly
8784c4f4-a6bd-4724-bbea-b75550a4a72b,c5d.18xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,20305.0,0.0,USD,0.903,Hourly
b00c1802-86a1-4387-9530-87cd10800b60,c5d.18xlarge,Linux/UNIX,default,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,20305.0,0.0,USD,0.773,Hourly
0bfaa77e-accf-46d6-ac7d-74e7bc48f0a3,c5d.18xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,20657.0,0.0,USD,0.786,Hourly
d7aa2f16-ee64-4257-82ff-72c4c4c06ab2,c5d.18xlarge,SUSE Linux,default,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,20657.0,0.0,USD,0.786,Hourly
0f240795-12f5-4a56-bb76-90e88baab869,c5d.18xlarge,Linux/UNIX,dedicated,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,33195.0,0.0,USD,0.0,Hourly
cc9b173d-d965-48f9-b931-d587dcba7bbd,c5d.18xlarge,Linux/UNIX,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,33195.0,0.0,USD,0.0,Hourly
52a08cf6-a15f-492e-b791-125f0faff1b2,c5d.18xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,33646.0,0.0,USD,1.28,Hourly
76591fcd-7f2b-45b4-8de7-bf6ca4035a66,c5d.18xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,33646.0,0.0,USD,1.28,Hourly
7b160f49-5a4d-40b6-9ab7-b272ab7b4efa,c5d.18xlarge,SUSE Linux,dedicated,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,33889.0,0.0,USD,0.0,Hourly
e6e6ca1d-1a61-4623-a026-c526cc53d8c3,c5d.18xlarge,SUSE Linux,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,33889.0,0.0,USD,0.0,Hourly
09d38d96-30b2-4dcf-810a-b8bb52b0863b,c5d.18xlarge,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,36294.0,0.0,USD,1.381,Hourly
d44ef600-7ec0-4587-943d-706f4533bc36,c5d.18xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,36294.0,0.0,USD,1.381,Hourly
5b90b92d-4193-4c71-835d-d9410e4b7303,c5d.18xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,36611.0,0.0,USD,0.0,Hourly
64f51c70-9121-49e1-bd3d-f75a4ee60321,c5d.18xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,36611.0,0.0,USD,0.0,Hourly
361da4a7-360b-4c6e-8262-6a28d1a6a8c2,c5d.18xlarge,Linux/UNIX,dedicated,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,39799.0,0.0,USD,0.0,Hourly
d98a7f55-f803-4d4c-9269-4050900f63e6,c5d.18xlarge,Linux/UNIX,default,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,39799.0,0.0,USD,0.0,Hourly
1f317248-5bde-485f-ba1b-5389bb034f30,c5d.18xlarge,SUSE Linux,dedicated,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,40493.0,0.0,USD,0.0,Hourly
fb57a158-1841-4112-bf34-0d34ae26a119,c5d.18xlarge,SUSE Linux,default,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,40493.0,0.0,USD,0.0,Hourly
a16fcce7-4415-4509-903f-84e04eea9a19,c5d.18xlarge,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,43215.0,0.0,USD,0.0,Hourly
c032d99d-2fec-47d8-b74f-19d483450164,c5d.18xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,43215.0,0.0,USD,0.0,Hourly
aa1e171e-1749-40c3-960c-435e8f3573be,c5d.18xlarge,Linux with SQL Server Web,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,65172.0,0.0,USD,0.0,Hourly
b83f50da-a361-4fe9-b2b3-6fe108be933f,c5d.18xlarge,Linux with SQL Server Web,dedicated,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,65172.0,0.0,USD,0.0,Hourly
1eb73acc-7140-406e-9126-8b1ec1839b2a,c5d.18xlarge,Linux with SQL Server Web,default,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,71776.0,0.0,USD,0.0,Hourly
8ce2ef5f-09ac-4636-ab18-2a3aa6ad0030,c5d.18xlarge,Linux with SQL Server Web,dedicated,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,71776.0,0.0,USD,0.0,Hourly
984228a3-bde0-413c-b369-9d181041eefb,c5d.18xlarge,Linux with SQL Server Standard,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,131186.0,0.0,USD,4.992,Hourly
