ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
10f162fc-280c-4525-ae85-6f93e30e8ff5,c5d.large,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.106,Hourly
553cc54c-9055-4b94-af8e-d9054ce70219,c5d.large,Linux with SQL Server Web,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.114,Hourly
57be0214-e6df-40e7-b2a8-309e96fe2022,c5d.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.112,Hourly
74cbf7ce-599a-47f3-ac27-0f4fc38a0818,c5d.large,Linux/UNIX,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.052,Hourly
832f1cfb-b271-4a60-9f06-f728a625a339,c5d.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.12,Hourly
9e4c135b-9889-4d7a-b6be-355c863b196f,c5d.large,SUSE Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.079,Hourly
a5d0d2b0-25fc-41ac-a51c-aa1d414b9161,c5d.large,Linux with SQL Server Standard,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.526,Hourly
c607914b-9528-42e3-8c29-6516039105cf,c5d.large,SUSE Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.085,Hourly
c773f95e-5042-4065-9911-cb80964d48d1,c5d.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.532,Hourly
d5d317fb-28b0-424d-9214-f3fa6c239f8f,c5d.large,Linux/UNIX,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.046,Hourly
00cd50c2-531b-4057-9325-97bd55654fcc,c5d.large,Linux/UNIX,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.04,Hourly
04e66e7f-da65-4a7f-a8ac-6f8cdccfd593,c5d.large,SUSE Linux,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.073,Hourly
05f75ffe-3724-494f-8bb5-0bbdc9fbcc32,c5d.large,Linux/UNIX,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.046,Hourly
0ec7dc1c-534d-430f-8e78-29c99816b071,c5d.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.106,Hourly
