ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
03ef84dc-27eb-443e-a6f3-5659b4ba237c,c5d.xlarge,Linux/UNIX,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.093,Hourly
12fe2768-018e-46a6-8153-3eaa436897a6,c5d.xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.137,Hourly
14921ce7-4515-4046-be55-a2291bac482a,c5d.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.164,Hourly
15acc505-2aa7-4f16-9ae6-5f8f92c471e3,c5d.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.604,Hourly
285e21df-f632-412b-8938-b643223bac31,c5d.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.104,Hourly
3a9bc32e-618a-4679-b954-e900306597d4,c5d.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.584,Hourly
42aacf81-6e1c-4cf8-a50c-4b839182c256,c5d.xlarge,SUSE Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.126,Hourly
4870f947-565c-4d0d-a132-c8e3418ea00e,c5d.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.172,Hourly
72272056-b4dd-4f88-8d75-0234493be5a9,c5d.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.593,Hourly
8394ed40-448d-4d90-9c9a-87ce4a15ba66,c5d.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.16,Hourly
bc7f8dc6-77cc-48f4-bb61-f043c6b8d47c,c5d.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.153,Hourly
