ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
553cc384-fc93-4994-8bd5-8bdb26320ed4,cc2.8xlarge,Linux/UNIX,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,7670.0,0.0,USD,0.361,Hourly
7a68b353-2a55-4ac2-b96e-e3a1ea8b05ba,cc2.8xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,7670.0,0.0,USD,0.491,Hourly
049941d8-24b7-4fba-8477-fb90789f1927,cc2.8xlarge,SUSE Linux,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,8022.0,0.0,USD,0.373,Hourly
058e3a30-e95e-41ed-8fad-ac91fb9ab0b7,cc2.8xlarge,SUSE Linux,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,8022.0,0.0,USD,0.373,Hourly
241231fd-84b0-41f3-8724-122ee7d1d5a3,cc2.8xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,8437.0,0.0,USD,0.397,Hourly
245ce75a-d119-4c53-8d7d-ceca887b652d,cc2.8xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,8437.0,0.0,USD,0.54,Hourly
f2f74f7e-237d-4db6-9517-c9ddb091b880,cc2.8xlarge,Linux/UNIX,dedicated,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,16127.0,0.0,USD,0.0,Hourly
f5155bb3-0f4e-4e33-b12a-b70ceda3af74,cc2.8xlarge,Linux/UNIX,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,16127.0,0.0,USD,0.0,Hourly
22edb937-cf4c-4b8e-ad63-189b133d8613,cc2.8xlarge,SUSE Linux,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,16754.0,0.0,USD,0.0,Hourly
84f3eaf6-f062-4f59-9e3e-cecdb6d70bba,cc2.8xlarge,SUSE Linux,dedicated,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,16754.0,0.0,USD,0.0,Hourly
780b00ce-aa5a-4e42-9e64-ac1e1c3ff393,cc2.8xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,19339.0,0.0,USD,0.0,Hourly
dfe6ea66-5985-4ad7-8ade-d2a678aaae9c,cc2.8xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,19339.0,0.0,USD,0.0,Hourly
0a872d71-f945-4eb2-b13d-fca9235eb920,cc2.8xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,1.09,Hourly
542f5f8d-1044-44ca-b3e2-870e70ac3b1f,cc2.8xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,1.22,Hourly
93628746-c3e7-4bcd-bf20-267c1e721e11,cc2.8xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,1.22,Hourly
c11b9c5a-61f4-4c54-85ce-b2670afc23c1,cc2.8xlarge,SUSE Linux,dedicated,standard,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,1.126,Hourly
e8c076dd-dede-4bbd-a1c4-6bdd1333c1e9,cc2.8xlarge,SUSE Linux,default,standard,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,1.126,Hourly
ee0f6f45-f9bb-4f34-b642-c279941fd4d5,cc2.8xlarge,Linux/UNIX,default,standard,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,1.09,Hourly
08f30140-9cad-44ad-a7e8-d3fd26d958f6,cc2.8xlarge,Linux/UNIX,default,standard,Partial Upfront,us-west-2a,31536000,Availability Zone,0,5000.0,0.0,USD,0.361,Hourly
d749f2cc-5740-4e63-9431-192c29e4172f,cc2.8xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-2a,31536000,Availability Zone,0,5000.0,0.0,USD,0.491,Hourly
1c661754-b26a-4854-9e49-d2b5cacdba3e,cc2.8xlarge,SUSE Linux,default,standard,Partial Upfront,us-west-2a,31536000,Availability Zone,0,5176.0,0.0,USD,0.373,Hourly
a88e193a-e652-4c12-bc28-4f162fe77cdc,cc2.8xlarge,SUSE Linux,dedicated,standard,Partial Upfront,us-west-2a,31536000,Availability Zone,0,5176.0,0.0,USD,0.373,Hourly
e4e90a47-e14b-4b5a-a72c-f5f3c8065e26,cc2.8xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-west-2a,31536000,Availability Zone,0,5500.0,0.0,USD,0.54,Hourly
e92130f6-cd8c-4981-8991-7bcad303b837,cc2.8xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-west-2a,31536000,Availability Zone,0,5500.0,0.0,USD,0.397,Hourly
8a2b6ec5-f59b-4467-949c-802076b44125,cc2.8xlarge,Linux/UNIX,default,standard,All Upfront,us-west-2a,31536000,Availability Zone,0,7999.0,0.0,USD,0.0,Hourly
b9b60d2c-5baf-4c34-92ed-439086df26fb,cc2.8xlarge,Linux/UNIX,dedicated,standard,All Upfront,us-west-2a,31536000,Availability Zone,0,7999.0,0.0,USD,0.0,Hourly
61c877b2-c24c-457a-8b4d-14350d8022d9,cc2.8xlarge,SUSE Linux,dedicated,standard,All Upfront,us-west-2a,31536000,Availability Zone,0,8274.0,0.0,USD,0.0,Hourly
8c6ee1fa-c2ce-4724-9a61-bf6a5d8b6ae6,cc2.8xlarge,SUSE Linux,default,standard,All Upfront,us-west-2a,31536000,Availability Zone,0,8274.0,0.0,USD,0.0,Hourly
1eafc670-20b9-4945-ae9d-8d5f6a80753d,cc2.8xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-west-2a,31536000,Availability Zone,0,9115.0,0.0,USD,0.0,Hourly
5fc34932-d207-46fe-abfa-a1f54078fcc9,cc2.8xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,us-west-2a,31536000,Availability Zone,0,9115.0,0.0,USD,0.0,Hourly
d69a309b-c756-4b80-a1bc-1a64ca28d497,cc2.8xlarge,Windows,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,7670.0,0.0,USD,0.571,Hourly
9be15c44-a6ee-418d-9da7-b3a24404fed7,cc2.8xlarge,Windows,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,8437.0,0.0,USD,0.628,Hourly
b08c30ac-9136-48f9-9c24-50ea38760996,cc2.8xlarge,Windows with SQL Server Web,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,12470.0,0.0,USD,0.475,Hourly
08dd24fc-e69c-43a9-9d7a-99f4bbbbb541,cc2.8xlarge,Windows,dedicated,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,21315.0,0.0,USD,0.0,Hourly
ccb89d93-9191-419b-9ca8-b1939f53a371,cc2.8xlarge,Windows,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,21315.0,0.0,USD,0.0,Hourly
c85b369d-a935-4a62-b9ba-8869cb40004e,cc2.8xlarge,Windows with SQL Server Web,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,23456.0,0.0,USD,0.0,Hourly
43137e4c-45ab-4af3-94cd-ec0556c3ee08,cc2.8xlarge,Windows with SQL Server Standard,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,29530.0,0.0,USD,1.123,Hourly
2f6a817c-8cfa-4373-a0b8-70313eae5fb9,cc2.8xlarge,Windows with SQL Server Standard,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,32483.0,0.0,USD,1.235,Hourly
