ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0302304b-5344-4ad2-b2ed-bf2a3676a190,f1.16xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,7.6091,Hourly
0ccc11f1-ba6d-4a8c-91e5-b7f60009ea42,f1.16xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,7.5761,Hourly
145b9c8b-56bb-429d-b00f-82afd9f7ddab,f1.16xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,7.7061,Hourly
3e2769d7-2935-4838-a10f-4320a1aee404,f1.16xlarge,SUSE Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,7.6091,Hourly
c54b40cf-21ca-43c7-adce-46eac143488c,f1.16xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,7.7061,Hourly
d23397db-5b90-4604-afb1-e5b8e96a36b0,f1.16xlarge,Linux/UNIX,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,7.5761,Hourly
62102d2b-dbe9-411c-9275-766987ba2055,f1.16xlarge,Linux/UNIX,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,6.588,Hourly
6371967a-2562-40bb-9139-3616a35e786d,f1.16xlarge,SUSE Linux,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,6.621,Hourly
886f96e1-c75f-4765-865c-573f57e048f5,f1.16xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,6.718,Hourly
88843248-29dd-42e4-b573-d6fd0397c63a,f1.16xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,6.588,Hourly
8b3417e9-7d45-49b5-b24f-a652c8769550,f1.16xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,6.718,Hourly
a3b553bc-2e91-4b19-9691-fadb4254afb3,f1.16xlarge,SUSE Linux,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,6.621,Hourly
3f343535-0592-420f-ba60-d36a5f265ed4,f1.16xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,80154.0,0.0,USD,3.18,Hourly
4356c044-3cb9-4a23-a86b-3083bf9fe298,f1.16xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,80154.0,0.0,USD,3.05,Hourly
6d8690b4-29df-43da-bcb3-dcd2b1088ca6,f1.16xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,80154.0,0.0,USD,3.18,Hourly
f1284b5c-1c20-4653-b516-157d2a3e964f,f1.16xlarge,Linux/UNIX,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,80154.0,0.0,USD,3.05,Hourly
837d0032-4142-4e69-a419-e9427a9c70a6,f1.16xlarge,SUSE Linux,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,80506.0,0.0,USD,3.063,Hourly
aa4ee4c1-ebe9-47ae-85d5-f914352b7dbd,f1.16xlarge,SUSE Linux,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,80506.0,0.0,USD,3.063,Hourly
3dfa0b27-3228-4da7-a888-02e18a877c65,f1.16xlarge,Linux/UNIX,default,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,92175.0,0.0,USD,3.5074,Hourly
5696fd34-4b5b-470e-b1e7-aa5aa4e66de2,f1.16xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,92175.0,0.0,USD,3.6374,Hourly
