ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
199dd2da-7cd0-4676-8d60-e3924036577c,i3.large,Linux/UNIX,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.087,Hourly
2635a7d5-f608-4df3-9ee3-93d8017c5686,i3.large,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.147,Hourly
3d46f531-1539-4452-8378-5cecd9683dbd,i3.large,Linux/UNIX,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.096,Hourly
4631f02d-6aee-4950-a9a0-31d071068fb9,i3.large,SUSE Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.12,Hourly
52c68db7-ae3e-47eb-927b-e2bc4ab02b34,i3.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.576,Hourly
7d3edcd4-cbed-45fb-9bb2-5de3ddb3c5dc,i3.large,Linux with SQL Server Standard,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.567,Hourly
93e39f48-b8e6-43b1-8e78-5803aafd0a27,i3.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.163,Hourly
94d12fc7-4d3a-40e0-be26-30685fa4ba72,i3.large,Linux with SQL Server Web,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.155,Hourly
9a2e58da-b702-4ffd-b90c-cf19bd358423,i3.large,SUSE Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.129,Hourly
9e7e6203-adb1-4f98-aa03-df840f706f3d,i3.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.156,Hourly
0b79f38c-b685-4fab-ac60-afaa37d9fe9f,i3.large,Linux/UNIX,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.083,Hourly
2eae525c-8907-4160-b57b-bb58cb6eed14,i3.large,Linux with SQL Server Standard,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.556,Hourly
48414786-9f9d-4d80-b58d-b4f84548cead,i3.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.563,Hourly
5ff8d859-0e57-4cdd-9aa1-4ab7c1ceaf6d,i3.large,Linux with SQL Server Web,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.151,Hourly
626f43c0-6328-4e36-ad1e-b6a894f4e1ed,i3.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.143,Hourly
832da3a4-200f-4cb4-8aea-6250e40a6b18,i3.large,Red Hat Enterprise Linux,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.136,Hourly
913c1a5e-1210-467c-8d1c-20bec51d8fa7,i3.large,SUSE Linux,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.109,Hourly
a20a73a6-d5cf-4983-a467-c3a37029f918,i3.large,Linux/UNIX,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.076,Hourly
c2319e3b-34e2-4c71-9e41-9296286af6e0,i3.large,Linux with SQL Server Web,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.143,Hourly
c90137de-3a67-465f-8fdb-ef4db9e794ed,i3.large,SUSE Linux,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.116,Hourly
421ab3f8-6f03-4a87-b90e-cc68855af3e7,i3.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,922.0,0.0,USD,0.095,Hourly
f20d3004-0649-46b6-9930-241794d72c36,i3.large,Linux/UNIX,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,922.0,0.0,USD,0.035,Hourly
63b87900-31e7-4a75-a46a-4df97cb60043,i3.large,Linux/UNIX,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,1015.0,0.0,USD,0.039,Hourly
939a9ae9-f823-4dac-b080-311cc2eb2144,i3.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,1015.0,0.0,USD,0.099,Hourly
5a44bff2-a6da-4a03-8f08-03d281a41611,i3.large,Linux/UNIX,default,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,1058.0,0.0,USD,0.04,Hourly
a4c64c33-9ee5-475c-9332-a6322bf0e904,i3.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,1058.0,0.0,USD,0.1,Hourly
