ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
31488f64-3aa9-4ae9-a3a8-f13802200a4c,i3.metal,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,10.462,Hourly
3dacf5a0-6edd-4509-90d2-4672ca8944ce,i3.metal,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,26.782,Hourly
517e773b-1c52-4fdc-84f3-f9a294b3a36d,i3.metal,SUSE Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.815,Hourly
587ae277-3d01-4de1-a2a4-b93cbbd78014,i3.metal,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.864,Hourly
610e8317-7582-44f2-a979-a6f69b2a3451,i3.metal,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,26.782,Hourly
770ddd4b-3522-427a-84a7-031c511e06ab,i3.metal,SUSE Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.815,Hourly
84256318-0481-4664-919e-e7815ac272d9,i3.metal,Linux/UNIX,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.782,Hourly
8f27f502-ae99-47f8-bab7-8e41d4d67676,i3.metal,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.912,Hourly
c6a1f02a-122c-4cf1-9ad9-b4e36e4ac2b7,i3.metal,Linux/UNIX,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.782,Hourly
c878d3cd-4ded-4a24-9c9d-d01150554964,i3.metal,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.912,Hourly
e63ebab1-72ea-4021-9715-0d99227ae08d,i3.metal,Linux with SQL Server Web,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.864,Hourly
f4b3ba66-4660-4dac-b648-7d25216277a8,i3.metal,Linux with SQL Server Standard,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,10.462,Hourly
0010eb40-4e8a-453b-99e4-9e8e5e981bce,i3.metal,Linux/UNIX,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.419,Hourly
44a0e2c5-0d88-4839-b5ee-c55048d4cb3a,i3.metal,Linux with SQL Server Web,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.501,Hourly
7139da71-f2bb-4ab8-befb-c388e205acb1,i3.metal,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,10.099,Hourly
77e83417-7cc4-40d4-a8e6-5f1d8d904dfe,i3.metal,Red Hat Enterprise Linux,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.549,Hourly
884370a5-c974-4eaf-961d-c4ed9f5a2bed,i3.metal,Linux with SQL Server Enterprise,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,26.419,Hourly
8d6b3044-5d5d-4607-914d-b9953358ae28,i3.metal,SUSE Linux,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.452,Hourly
94b0328b-8a9b-4976-95c1-de8ebe8b50d4,i3.metal,Linux/UNIX,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.419,Hourly
