ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
01967202-eb4e-48ec-8096-0c3af03193cc,i3.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.241,Hourly
01d43dcf-7915-49b3-a53a-be6d56b5cf4d,i3.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.654,Hourly
2001b18d-219f-40d2-bb7f-ddfdbe57e3a3,i3.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.259,Hourly
6a02ffad-6c2e-4076-8b92-8695df2e02a4,i3.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.191,Hourly
8da26494-2296-48ac-b247-b762771273e9,i3.xlarge,Linux/UNIX,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.174,Hourly
9a2e005c-a8b3-44ae-a0f3-997bf11740e6,i3.xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.224,Hourly
a352ea56-a002-4f46-a566-bedd939b2762,i3.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.691,Hourly
a85a3370-5041-4001-aa58-f067057f1486,i3.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.671,Hourly
ba687841-c6c6-4345-9fa8-b3b606705ccf,i3.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.234,Hourly
ca611c14-aa3c-40b5-b5ac-d74f43772259,i3.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.674,Hourly
d259a9a5-d2b4-4bae-8766-706d5f7bf2ac,i3.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.251,Hourly
d74ae628-7175-4497-aaeb-e8344162cffc,i3.xlarge,SUSE Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.207,Hourly
0c10edbb-6db3-4154-ab56-edddee7a8ef8,i3.xlarge,SUSE Linux,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.184,Hourly
156f8da1-263f-497d-80c6-86a6fae87943,i3.xlarge,Linux with SQL Server Web,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.219,Hourly
15d07ae9-ccf8-431c-af75-7eb9d055f557,i3.xlarge,SUSE Linux,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.199,Hourly
1cc48398-ba7d-4027-8fa1-0fabefb24d09,i3.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.211,Hourly
2be1adcd-8611-4ec0-8063-4d3fa30e08b5,i3.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.226,Hourly
385c2670-346c-44ba-9f96-89025ef6065b,i3.xlarge,Linux with SQL Server Standard,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.631,Hourly
44ae4b33-cd21-4066-b56d-6f6850d69190,i3.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.651,Hourly
556110a6-122e-408f-824c-e9172972c3d3,i3.xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.234,Hourly
6a9183c7-245f-45ca-b1a9-1446871a123f,i3.xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.166,Hourly
8733c2cd-9668-4725-b676-3933dfc03aa3,i3.xlarge,Linux/UNIX,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.151,Hourly
a2b7e08f-0437-4aba-805d-78dd04dd7d10,i3.xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.646,Hourly
ab58e243-f28d-4f13-8f34-54294f090b44,i3.xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.666,Hourly
ba4c27e9-055e-42b2-b1e9-b7546c4bac74,i3.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,1845.0,0.0,USD,0.13,Hourly
d5afdf93-48c1-45a2-ad3e-7c3400a055ed,i3.xlarge,Linux/UNIX,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,1845.0,0.0,USD,0.07,Hourly
4a68182b-ea94-4e42-9d3d-790b1145f823,i3.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,2029.0,0.0,USD,0.077,Hourly
d8d637ea-40fe-4b96-a3b6-a1e93da3a300,i3.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,2029.0,0.0,USD,0.137,Hourly
4c3639e8-97dd-4c5d-b1fc-2257de013434,i3.xlarge,Linux/UNIX,default,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,2116.0,0.0,USD,0.081,Hourly
b45048f2-4b6c-4f12-9b2b-a8890869e1a4,i3.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,2116.0,0.0,USD,0.141,Hourly
f6d40532-1e48-443f-b4d7-85ecda0da019,i3.xlarge,SUSE Linux,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,2197.0,0.0,USD,0.083,Hourly
65ddd181-9717-46fc-b4d7-0cda567d845a,i3.xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,2327.0,0.0,USD,0.089,Hourly
ce76dd22-0bb6-448b-89a6-29d561f2d440,i3.xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,2327.0,0.0,USD,0.149,Hourly
47e371a2-3915-447f-9354-0198e2ceec49,i3.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,2381.0,0.0,USD,0.09,Hourly
aa406178-2812-46ac-b8c0-2ddf6aec0b12,i3.xlarge,SUSE Linux,default,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,2468.0,0.0,USD,0.094,Hourly
ff714d4d-81ff-4e12-b29d-b9c4cccdf206,i3.xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,2679.0,0.0,USD,0.102,Hourly
9b1250e2-2467-4881-a63f-7af10e4a9b9e,i3.xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,2728.0,0.0,USD,0.104,Hourly
6a9465d9-23e0-41ea-8ad5-6c80e310f943,i3.xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,2912.0,0.0,USD,0.111,Hourly
ef32fe13-81ff-413a-b634-294138f9f1e3,i3.xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,3004.0,0.0,USD,0.114,Hourly
8749a7a3-cdce-4e69-a64b-c69fcc6aafaf,i3.xlarge,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,3215.0,0.0,USD,0.122,Hourly
f2a9bad0-4a01-4b63-8f37-73e9315175a7,i3.xlarge,Linux/UNIX,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,3468.0,0.0,USD,0.0,Hourly
431ec057-fb71-4861-a468-5190ed2989dd,i3.xlarge,Linux/UNIX,dedicated,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,3815.0,0.0,USD,0.0,Hourly
66ce9e87-8edf-40d3-bd6c-445c88de7d4c,i3.xlarge,Linux/UNIX,default,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,4146.0,0.0,USD,0.0,Hourly
34f7e7f1-1eb9-48e1-b1cc-80bd7760e0f7,i3.xlarge,SUSE Linux,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,4162.0,0.0,USD,0.0,Hourly
3f62a73e-a2b8-485e-b429-5f6191dee770,i3.xlarge,SUSE Linux,dedicated,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,4509.0,0.0,USD,0.0,Hourly
1c909747-1171-4f3c-8225-15e8b8189648,i3.xlarge,Linux/UNIX,dedicated,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,4561.0,0.0,USD,0.0,Hourly
77f4bcb4-ad58-40eb-907b-dd6c4ba25929,i3.xlarge,SUSE Linux,default,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,4840.0,0.0,USD,0.0,Hourly
39856dbc-74a8-4638-999b-19ed68b69a63,i3.xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,5045.0,0.0,USD,0.0,Hourly
34f9d532-5a27-484b-9d8d-e963f05399b2,i3.xlarge,Linux with SQL Server Web,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,5235.0,0.0,USD,0.0,Hourly
496abdfc-6389-4c43-85e5-5c4f0d66e772,i3.xlarge,SUSE Linux,dedicated,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,5255.0,0.0,USD,0.0,Hourly
835e36b9-817d-4307-b559-479177b62b5f,i3.xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,5392.0,0.0,USD,0.0,Hourly
d8b28996-3f61-4755-af59-41e77e440835,i3.xlarge,Linux with SQL Server Web,dedicated,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,5581.0,0.0,USD,0.0,Hourly
f79dc9b2-9d58-4005-bd96-ea4901622216,i3.xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,5723.0,0.0,USD,0.0,Hourly
ffcb4265-3132-4922-87e5-2297915ebd6e,i3.xlarge,Linux with SQL Server Web,default,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,5923.0,0.0,USD,0.0,Hourly
58319a77-bb62-43c3-a95c-402a7e023279,i3.xlarge,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,6138.0,0.0,USD,0.0,Hourly
194908df-a2b3-48de-b749-5c6b960a543e,i3.xlarge,Linux with SQL Server Web,dedicated,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,6338.0,0.0,USD,0.0,Hourly
108dfc51-fae9-474a-b634-3ad079667275,i3.xlarge,Linux with SQL Server Standard,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,8147.0,0.0,USD,0.31,Hourly
cb81be37-2233-4536-9106-04822bc15aaf,i3.xlarge,Linux with SQL Server Standard,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,8331.0,0.0,USD,0.317,Hourly
5376dd58-d7a3-426e-8539-41b7d038abd2,i3.xlarge,Linux with SQL Server Standard,default,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,8423.0,0.0,USD,0.321,Hourly
665ef9cf-df86-49b6-9e4e-47f581aeb628,i3.xlarge,Linux with SQL Server Standard,dedicated,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,8634.0,0.0,USD,0.329,Hourly
6b349229-8ce0-40a9-b93c-2508bb4e4f57,i3.xlarge,Linux with SQL Server Standard,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,16073.0,0.0,USD,0.0,Hourly
fe2b9847-0373-4faf-abed-78f68c19e4b2,i3.xlarge,Linux with SQL Server Standard,dedicated,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,16419.0,0.0,USD,0.0,Hourly
f04f1833-b84f-4d5a-a26e-d0825956aa4f,i3.xlarge,Linux with SQL Server Standard,default,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,16761.0,0.0,USD,0.0,Hourly
7214ffb3-71e9-4f4d-ab66-bfb8abfc1b45,i3.xlarge,Linux with SQL Server Standard,dedicated,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,17176.0,0.0,USD,0.0,Hourly
cef5153f-97e3-498d-a985-be8e106bb916,i3.xlarge,Linux with SQL Server Enterprise,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,21550.0,0.0,USD,0.82,Hourly
a72152f2-8c90-4867-b1e6-8a3bf5b9ff8b,i3.xlarge,Linux with SQL Server Enterprise,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,21734.0,0.0,USD,0.827,Hourly
09321d0f-3fb1-4276-aa2c-8ffbcdf1a3aa,i3.xlarge,Linux with SQL Server Enterprise,default,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,21826.0,0.0,USD,0.831,Hourly
100a393c-33ef-49ec-bfd7-d98be219ff68,i3.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,22037.0,0.0,USD,0.839,Hourly
9ab16595-1e25-42bf-a896-867128e1c804,i3.xlarge,Linux with SQL Server Enterprise,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,42878.0,0.0,USD,0.0,Hourly
9da8817d-c666-4d61-b898-7e5b2b20d486,i3.xlarge,Linux with SQL Server Enterprise,dedicated,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,43224.0,0.0,USD,0.0,Hourly
5eba85ff-fb7f-4fe0-b505-982dc65d6952,i3.xlarge,Linux with SQL Server Enterprise,default,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,43566.0,0.0,USD,0.0,Hourly
d4cddf13-b932-4500-bf32-30ce3b200475,i3.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,43981.0,0.0,USD,0.0,Hourly
0f79013e-4d0d-4505-add2-71f352919fe0,i3.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.339,Hourly
1743bea7-4ea5-4bba-ae48-4571f34b035c,i3.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,1.746,Hourly
21271de6-a158-49d5-ae10-021d4eccbb78,i3.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.751,Hourly
2ad886c3-4fc8-4035-92b6-e2ec66ff2c38,i3.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.314,Hourly
4350fadd-d98f-4e4d-bd2a-518b7b8b8afa,i3.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,1.771,Hourly
5d65ed0e-8895-4b60-9a19-641e8affccdf,i3.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.726,Hourly
9e63ff31-ed20-4fb9-aa1d-d04db5b91e9d,i3.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.271,Hourly
a02da8c5-1a75-48c0-bdc8-1e5eec637d15,i3.xlarge,SUSE Linux,default,convertible,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.279,Hourly
b40f92fe-a607-419d-8064-1a8f58278a3a,i3.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.306,Hourly
c95aa629-225b-45ab-9030-05589eaf5c93,i3.xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.304,Hourly
