ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
052c1933-ca27-4bb2-9454-a32448abf42f,m1.large,Linux/UNIX,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,750.0,0.0,USD,0.034,Hourly
eb7072d9-5225-45c7-8fa8-e4f956b1cfbf,m1.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,750.0,0.0,USD,0.094,Hourly
33befa91-222d-45ac-bd73-f71d76f7730e,m1.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,825.0,0.0,USD,0.103,Hourly
d1eed105-0e75-433b-839e-d07bbd7d456c,m1.large,Linux/UNIX,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,825.0,0.0,USD,0.037,Hourly
5466ae2d-695c-4b34-8ea6-0be7392a736e,m1.large,SUSE Linux,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,1102.0,0.0,USD,0.045,Hourly
8948217d-7976-4385-9962-935fd569daf0,m1.large,SUSE Linux,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,1212.0,0.0,USD,0.05,Hourly
02809138-a1ed-40a4-874f-e3e3e40ae7fd,m1.large,Linux/UNIX,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,1544.0,0.0,USD,0.0,Hourly
32ef15c3-c7cd-4283-af84-c7a94d2511b4,m1.large,Linux/UNIX,dedicated,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,1698.0,0.0,USD,0.0,Hourly
98a41513-a308-4a64-9fdb-14e2ffe39803,m1.large,SUSE Linux,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,2147.0,0.0,USD,0.0,Hourly
5f85e99f-507e-4003-8125-4af0d34afbfd,m1.large,SUSE Linux,dedicated,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,2361.0,0.0,USD,0.0,Hourly
5f308a14-432c-4f93-b57d-78815020c9c3,m1.large,Red Hat Enterprise Linux,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,3027.0,0.0,USD,0.0,Hourly
db7b7130-808b-40af-a42f-9904626e37a5,m1.large,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,3329.0,0.0,USD,0.0,Hourly
428fd413-772e-4f05-82d4-6d25861addfd,m1.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.189,Hourly
5d4279f4-74bd-4eb0-a0da-ae49752d2f00,m1.large,Linux/UNIX,dedicated,standard,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.123,Hourly
696fafe2-be90-4c27-a588-9a62873f2abc,m1.large,SUSE Linux,dedicated,standard,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.162,Hourly
