ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
18e6d836-3df9-4daa-a668-f53eff2600cf,m5.24xlarge,SUSE Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.37,Hourly
27e7149f-2fbb-4674-914c-397b1422a0a0,m5.24xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.467,Hourly
2d61bcb3-a765-4ad5-a2d0-e3634febe5f4,m5.24xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.467,Hourly
57f1d9de-30ab-4249-92d6-1b59a427ef2a,m5.24xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,13.857,Hourly
58859adb-5145-4493-a639-a3770f5260a6,m5.24xlarge,Linux/UNIX,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.337,Hourly
8400ce8a-5084-462b-938b-8854d6f98d1d,m5.24xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.337,Hourly
8c075648-e017-41b3-a5ce-8f59ff4095c3,m5.24xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.959,Hourly
98dc91ed-3e06-4ed5-b0be-76721ff6de2c,m5.24xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,38.337,Hourly
c1d143b0-66a8-4ab2-b12b-52f6ab951ce1,m5.24xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,38.337,Hourly
c3aabdfa-69ba-4bc9-b5b0-199c24dea5ce,m5.24xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,13.857,Hourly
f557337f-d6f0-4ecf-92e1-36ae71dbd321,m5.24xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.37,Hourly
f7cb7d2f-fd42-44bb-96b1-f68e75e4576f,m5.24xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.959,Hourly
