ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
098a148a-e9d5-4bf0-b68a-2ebcdf3fdda8,m5d.4xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,6.455,Hourly
1b1030d1-ca06-4ef5-885c-2daca12a3079,m5d.4xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.78,Hourly
1d970ee3-df18-463a-ba0b-af14c1cf912d,m5d.4xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.543,Hourly
31f7a1de-6d00-481d-afa5-0036808d4c18,m5d.4xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.375,Hourly
37edd369-9ad0-4fba-b154-eee318852f22,m5d.4xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.43,Hourly
4000a865-b334-4497-b801-0c7ee73ad7f6,m5d.4xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.64,Hourly
4fc8693e-00dc-453f-85f7-5ca33a07f7d9,m5d.4xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.725,Hourly
805b4494-7e5d-4a9d-89f3-a1cc2ec860a3,m5d.4xlarge,SUSE Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.488,Hourly
96b6d17b-720a-4530-b2bc-de6a2d2840c6,m5d.4xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.51,Hourly
ac366d92-acfa-4e0d-a610-c5b74d9879a7,m5d.4xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.585,Hourly
d03a20ab-5ec0-45f0-bef7-c81c441899a2,m5d.4xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,6.51,Hourly
f827061b-c13e-40b6-bbf8-0cff95143b7c,m5d.4xlarge,Linux/UNIX,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.455,Hourly
12302987-3c39-4cfb-9ea1-7c9a35a46a52,m5d.4xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.58,Hourly
16434741-0f19-4ff2-9abc-5831bd9596a4,m5d.4xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,6.45,Hourly
1781ca2e-0a58-4824-9d60-9d0e788f3b55,m5d.4xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.45,Hourly
2f61dea3-22f6-4ed0-ae7e-6bf873f7aa7e,m5d.4xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.721,Hourly
3e1d2736-97c5-4377-9d54-4f9a4be5f82f,m5d.4xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.526,Hourly
3f274cfb-04cd-4b39-8006-d8a93d0dacce,m5d.4xlarge,SUSE Linux,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.483,Hourly
88fce30b-79aa-4ca7-b16a-aecdab2eca0e,m5d.4xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,6.396,Hourly
91872075-e925-437e-8348-cbc06e92905a,m5d.4xlarge,SUSE Linux,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.429,Hourly
98e24faf-70bc-4c1e-81f8-34354ddb7058,m5d.4xlarge,Linux with SQL Server Standard,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.316,Hourly
afc6671b-ecca-4edd-a643-5899406f19d1,m5d.4xlarge,Linux with SQL Server Web,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.666,Hourly
d9465f7d-03f8-4f5a-a0a1-c23577b09859,m5d.4xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.37,Hourly
f1973665-9826-47e6-8623-5d66f98a1186,m5d.4xlarge,Linux/UNIX,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.396,Hourly
7063ffdf-6c0b-4a01-b181-e86a065951b1,m5d.4xlarge,Linux/UNIX,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,4814.0,0.0,USD,0.183,Hourly
ab3cb992-1d98-4219-9b6f-7d9b633de9de,m5d.4xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,4814.0,0.0,USD,0.313,Hourly
485524e4-ebfd-47bb-a45d-d588d6d528e6,m5d.4xlarge,SUSE Linux,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,5166.0,0.0,USD,0.196,Hourly
31bbedfb-1c71-4319-9442-c675e88e60ff,m5d.4xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,5534.0,0.0,USD,0.211,Hourly
d15807a8-e5a6-4333-ac93-0eb39813c71c,m5d.4xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,5534.0,0.0,USD,0.341,Hourly
2290ceeb-1f61-4415-9260-24ffc5222eb9,m5d.4xlarge,Linux/UNIX,default,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,5536.0,0.0,USD,0.211,Hourly
8f41e897-c0b1-4e89-aedb-9d2efa894f58,m5d.4xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,5536.0,0.0,USD,0.341,Hourly
c8018b2e-e136-48e1-9bc4-7862db10ccd0,m5d.4xlarge,SUSE Linux,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,5886.0,0.0,USD,0.224,Hourly
