ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0053755d-15f7-4106-ab22-5c5123f68bdc,m5d.large,SUSE Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.097,Hourly
0c221bbb-7af5-4d10-bb08-4d5485182914,m5d.large,Linux with SQL Server Web,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.124,Hourly
3fc3d163-7f6b-480e-b900-3a2056d93f29,m5d.large,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.117,Hourly
408ea3c2-40a6-4f61-ad40-f3ac127940dc,m5d.large,Linux/UNIX,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.064,Hourly
4c25747c-9ee4-475d-a62e-6d67c8507379,m5d.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.131,Hourly
6912d28b-e744-4044-9d0f-0fbfa555a3fc,m5d.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.544,Hourly
87804651-6916-4078-a33a-db47a208d6ff,m5d.large,Linux with SQL Server Standard,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.537,Hourly
a49af17d-c749-4594-9a00-6cd97572a86b,m5d.large,Linux/UNIX,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.057,Hourly
eac4e7b6-3579-4ec3-a214-a731b0eaec91,m5d.large,SUSE Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.09,Hourly
f8c071fe-58bd-4695-8823-8f3b334a5475,m5d.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.124,Hourly
14a85dbc-dee9-4973-b957-9d9ab1bb854c,m5d.large,SUSE Linux,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.082,Hourly
2d570722-fb21-4cba-b40a-cb4b799b6349,m5d.large,Red Hat Enterprise Linux,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.109,Hourly
54e91ccf-861c-4f3e-8a6a-fd97ac641420,m5d.large,Linux/UNIX,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.056,Hourly
