ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0a505fd5-1019-4170-ae5e-e91b045803ae,p2.16xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,32.446,Hourly
0d3bdf0e-2006-483b-b244-3d9c8276df20,p2.16xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,8.446,Hourly
4caade5b-792b-43a8-85d7-183baf6ab034,p2.16xlarge,Linux/UNIX,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,8.446,Hourly
a74a828d-f138-437c-a02c-31bcecdf542e,p2.16xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,8.576,Hourly
c1f10689-e4be-4c3c-ba0e-9f3fc3d4b6c6,p2.16xlarge,SUSE Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,8.479,Hourly
e9af5367-ff5e-4669-803c-dce44eb502f8,p2.16xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,8.576,Hourly
f1777e8d-69ff-497e-91c6-e59fc3b2a2bc,p2.16xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,32.446,Hourly
f32f6cd6-7a1d-4eba-a1fa-61fd9e686e67,p2.16xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,8.479,Hourly
8c537014-6f07-4617-bab4-6a1287d27bc1,p2.16xlarge,SUSE Linux,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,7.377,Hourly
9cba82df-6cbd-435c-b49c-6b9f34733d9b,p2.16xlarge,SUSE Linux,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,7.377,Hourly
a89b9d68-59dd-4e2c-9caf-816dde236616,p2.16xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,7.474,Hourly
cf360b6e-2799-43a9-afb0-68c3d93966b6,p2.16xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,7.344,Hourly
d1dcc46c-a270-4f25-81ac-5a112d4e88ba,p2.16xlarge,Linux/UNIX,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,7.344,Hourly
