ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
06aa7049-92b0-491d-9892-7b9fa5fbca21,p2.xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.614,Hourly
09c5c6d1-14c1-48be-99f2-87a8c8cdb454,p2.xlarge,Linux/UNIX,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.528,Hourly
67166c0b-9122-4313-b968-842119bf3ee4,p2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.641,Hourly
af236b4b-eb84-4117-ab23-78a47f43839e,p2.xlarge,SUSE Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.561,Hourly
b341cb3d-c3ca-4d0b-b398-e008acf9bfb9,p2.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.581,Hourly
d3de2686-681e-44c4-a8e4-6c3876f0f7e9,p2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.588,Hourly
0813a4bc-f29f-4573-a2e8-1cebda2c98b2,p2.xlarge,Linux/UNIX,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.459,Hourly
08af491e-21b8-440a-a926-86bff9b74370,p2.xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.505,Hourly
32192d56-23a5-4c33-9f0e-6dbebc1953bf,p2.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.519,Hourly
5421a2b3-6a53-4070-a987-3c2cbb13f6f7,p2.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.565,Hourly
70397eb2-f30c-47fa-9f69-8929a4a19417,p2.xlarge,SUSE Linux,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.538,Hourly
93c10cbf-3fa5-43cf-8e54-5bab6e8332f0,p2.xlarge,SUSE Linux,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.492,Hourly
22248546-42ef-478e-b2b4-7713c97cf8fd,p2.xlarge,Linux/UNIX,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,5584.0,0.0,USD,0.212,Hourly
6cfa40c8-515b-41e5-a0ef-0641c45d5255,p2.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,5584.0,0.0,USD,0.272,Hourly
57f652b7-64b7-4522-8344-b1516319de55,p2.xlarge,SUSE Linux,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,5936.0,0.0,USD,0.226,Hourly
33a38696-e1a7-4cc8-96b2-a8e32760af4b,p2.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,6143.0,0.0,USD,0.234,Hourly
5c2aaf37-c593-458d-a3a6-853a82e775c0,p2.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,6143.0,0.0,USD,0.294,Hourly
