ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
14514684-6631-4e4b-b0bf-4ff08ec2f8e6,r4.2xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.3226,Hourly
1e3679a8-7ca3-46ce-872e-f88ac29f9c42,r4.2xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.2896,Hourly
214cfa92-1598-446f-966e-b00c07b1c874,r4.2xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.2896,Hourly
4166793d-190f-4ee0-addd-a07d3ad9d178,r4.2xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.2633,Hourly
5b9951ef-d37a-4604-8413-79ef47deb058,r4.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.3933,Hourly
64d06653-357d-4ded-b98b-882fc6328a25,r4.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.4196,Hourly
7b759647-7b2a-4d73-af09-2f1717ac1a92,r4.2xlarge,Linux/UNIX,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.2633,Hourly
8a5060c3-2cfe-4c94-a8dc-3c3155a08a95,r4.2xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.2233,Hourly
ad3ff371-3d55-46ba-b941-553d274fabc2,r4.2xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.3985,Hourly
ec1797ea-f86e-4af4-9502-6f101085dcf8,r4.2xlarge,SUSE Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.2963,Hourly
f218d384-b4c7-481c-bf6f-2359cfed240b,r4.2xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.4248,Hourly
fd8ce68a-6148-486d-9e84-2f255264d0d0,r4.2xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.2496,Hourly
1855cf5a-91db-4228-99ef-434d13579ff4,r4.2xlarge,Linux with SQL Server Standard,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.189,Hourly
1995e720-677c-4e0f-8cec-7c1cc99a8fc9,r4.2xlarge,Linux/UNIX,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.229,Hourly
2b9e61cc-6404-41ae-a7c0-545a90299252,r4.2xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.359,Hourly
2cb3436c-28ab-482c-aa6f-c20683c5b1ad,r4.2xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.3872,Hourly
32f5390e-b595-47f2-9e4d-f10bd63c34dc,r4.2xlarge,Linux with SQL Server Web,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.3642,Hourly
36cf4bd9-7a19-4095-8872-9bbe9c241804,r4.2xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.252,Hourly
4ede76b9-5933-45a0-a635-4bc5aef779e2,r4.2xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.382,Hourly
5317ee64-e7a8-46e7-9cff-35a7266c3b40,r4.2xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.212,Hourly
