ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0a4a96c1-2c3e-453d-b644-d3de5dad70ac,r5.large,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.126,Hourly
49d6c6bf-a373-4fda-b559-d7903d6436fe,r5.large,SUSE Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.095,Hourly
5b63acbf-578f-42d1-a5f5-abaef28ef0c5,r5.large,Linux/UNIX,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.073,Hourly
7731db9a-34e1-4785-88d5-f1c9af1e25de,r5.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.553,Hourly
a1f0a42a-a91a-4037-95fb-3d089475015d,r5.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.141,Hourly
a6d2393c-304a-4632-8fd0-51ce11785827,r5.large,Linux/UNIX,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.066,Hourly
b0cc7fa9-3d8d-448e-b105-3ba1959ac3cf,r5.large,Linux with SQL Server Standard,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.546,Hourly
e7be9c10-45a9-4138-88f1-18e348e89da1,r5.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.133,Hourly
f8e9eabc-e2a0-441d-ab3c-287633f0f6df,r5.large,Linux with SQL Server Web,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.133,Hourly
fd3a4b5e-25f5-46c8-9e19-8ccff5e4c49e,r5.large,SUSE Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.088,Hourly
020bad97-b0bf-41df-8aea-d27e7fe16237,r5.large,SUSE Linux,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.079,Hourly
294ba6fa-97c7-43bf-9b3c-906824ae42ab,r5.large,SUSE Linux,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.087,Hourly
381d0b06-7296-457f-9cb4-4c705ee49404,r5.large,Linux/UNIX,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.065,Hourly
39d9c924-45bf-4a11-b57d-7b02fe34d75b,r5.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.125,Hourly
5778ae14-45d3-4c41-9ecd-57415e5307be,r5.large,Linux with SQL Server Web,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.125,Hourly
7e3afa5a-3475-4a15-b115-43ca1537d4e8,r5.large,Linux with SQL Server Web,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.132,Hourly
95b38b32-6b9c-47c9-bb17-c3af4aa01f48,r5.large,Linux with SQL Server Standard,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.537,Hourly
da7aa69c-193d-42b7-83dc-8891124523ad,r5.large,Red Hat Enterprise Linux,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.117,Hourly
e34222c5-ebfc-49c0-b4cd-f58eede446df,r5.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.545,Hourly
f491c374-761b-4146-b428-a35213e03f6c,r5.large,Linux/UNIX,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.057,Hourly
064deb3b-01be-459c-a92d-d1bdf103de9b,r5.large,Linux/UNIX,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,695.0,0.0,USD,0.026,Hourly
8fe4f7e9-22c5-4951-b701-1efa3c4ba84c,r5.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,695.0,0.0,USD,0.086,Hourly
21009948-4a23-4b19-870e-ff7716fdf53f,r5.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,795.0,0.0,USD,0.09,Hourly
ad9eb3a7-16a2-45a2-9ea0-b9c44ba6b9d4,r5.large,Linux/UNIX,dedicated,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,795.0,0.0,USD,0.03,Hourly
883e43a5-fa83-4481-87ca-9eb2cc81a7d9,r5.large,Linux/UNIX,default,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,800.0,0.0,USD,0.03,Hourly
f7315c22-be7b-4210-a661-08d55fde516a,r5.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,800.0,0.0,USD,0.09,Hourly
40d4eaaf-2094-44fb-a59d-1915461c8e9f,r5.large,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,899.0,0.0,USD,0.094,Hourly
837bb25b-547c-4b8e-a243-bb7ec5e5171d,r5.large,Linux/UNIX,dedicated,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,899.0,0.0,USD,0.034,Hourly
