ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
52c4d29b-107e-4aa0-8083-4d98ceac173a,r5d.12xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,7.747,Hourly
821973c1-7336-4491-869b-6a774fc0f2c6,r5d.12xlarge,SUSE Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.834,Hourly
8e954a7c-b50b-40d4-b75c-ff56f291393e,r5d.12xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.91,Hourly
90683263-3dd5-4fc2-bf25-d20021db1b1f,r5d.12xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,19.987,Hourly
a1cf31e5-c293-4554-91ea-604f97feb2c3,r5d.12xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.117,Hourly
aa585565-b39a-4ddd-a702-1072805733cb,r5d.12xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.041,Hourly
b63a2ca1-2c60-49e3-9a7c-214a917794cb,r5d.12xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.987,Hourly
d07db9b0-6aac-4a82-89d9-4d9887b6a990,r5d.12xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.591,Hourly
dbd475c2-56c4-411e-aeaf-85b46e9154b2,r5d.12xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.799,Hourly
e5518076-69cb-4f11-872b-0777590c24c7,r5d.12xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,19.78,Hourly
