ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
250bb6e5-39d8-4bf3-8908-862c16df5466,t2.medium,Linux/UNIX,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0231,Hourly
5c1f8935-9059-416c-92c7-61808c6e7f0e,t2.medium,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0831,Hourly
66b07462-f132-46fb-b000-f735e5366e40,t2.medium,Linux with SQL Server Web,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0907,Hourly
6b6defec-51ef-449b-9342-d7b7a9995774,t2.medium,SUSE Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0561,Hourly
44276e76-51ed-4bb7-a003-a0d55d74413b,t2.medium,SUSE Linux,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.053,Hourly
6741631f-159d-4555-8b11-b3fffaea550b,t2.medium,Red Hat Enterprise Linux,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.08,Hourly
f5e2846a-1e13-4f17-b3a0-ddf3cb748b61,t2.medium,Linux/UNIX,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.02,Hourly
f91bffdd-0800-49fb-9f88-93b7dbd5466f,t2.medium,Linux with SQL Server Web,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0876,Hourly
2ef01621-1b90-4437-be80-7d623e05e07a,t2.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,244.0,0.0,USD,0.0693,Hourly
eedb1073-52ec-40b2-a14d-43ed5822a9ff,t2.medium,Linux/UNIX,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,244.0,0.0,USD,0.0093,Hourly
2973333c-bc08-4501-bffb-71402cf93127,t2.medium,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,280.0,0.0,USD,0.0707,Hourly
34e6fc99-017a-495d-8494-27fce5696f4a,t2.medium,Linux/UNIX,default,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,280.0,0.0,USD,0.0107,Hourly
753c4f8d-72a7-44c9-a8d8-f42a3813e905,t2.medium,Linux/UNIX,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,458.0,0.0,USD,0.0,Hourly
1ca35a7c-695a-4ba7-9dce-eaa61e7789ce,t2.medium,Linux/UNIX,default,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,550.0,0.0,USD,0.0,Hourly
295b56e7-833b-4747-9bb2-0b800096c34d,t2.medium,SUSE Linux,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,596.0,0.0,USD,0.0223,Hourly
9a13a752-79df-43b4-af32-06b971e1885e,t2.medium,SUSE Linux,default,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,632.0,0.0,USD,0.0237,Hourly
5577603f-8158-4888-84fc-8dcb1d6095ea,t2.medium,Linux with SQL Server Web,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,1132.0,0.0,USD,0.0431,Hourly
bbcc71ef-ead0-4f3e-b1c1-ae9b3c9f1ab5,t2.medium,SUSE Linux,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,1152.0,0.0,USD,0.0,Hourly
d209989d-b9d9-4306-86c3-3902ba8ebeb9,t2.medium,Linux with SQL Server Web,default,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,1169.0,0.0,USD,0.0445,Hourly
44087348-1f3f-4e15-9f2f-aa274fb22c78,t2.medium,SUSE Linux,default,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,1244.0,0.0,USD,0.0,Hourly
bb00e88b-30d2-4217-bb3d-ddd4eee812c6,t2.medium,Red Hat Enterprise Linux,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,2035.0,0.0,USD,0.0,Hourly
63787ea9-6ecc-4c05-9365-75a5a0793b02,t2.medium,Red Hat Enterprise Linux,default,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,2127.0,0.0,USD,0.0,Hourly
89f7d481-8178-4a9f-a163-340f7a1936b9,t2.medium,Linux with SQL Server Web,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,2235.0,0.0,USD,0.0,Hourly
aea53423-e4eb-4b32-a636-37ff289477bc,t2.medium,Linux with SQL Server Web,default,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,2326.0,0.0,USD,0.0,Hourly
13f2ad2b-026c-4aeb-b5ad-44e14b22a232,t2.medium,Linux/UNIX,default,convertible,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.0331,Hourly
3bd3b357-327c-4703-b691-e88e8169b24c,t2.medium,SUSE Linux,default,convertible,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.0661,Hourly
9b2243a5-55d6-4328-ac25-afe3b2fb8de4,t2.medium,Linux with SQL Server Web,default,convertible,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.1007,Hourly
eb868cfb-dd27-4f3d-ba34-0f2d195e8309,t2.medium,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.0931,Hourly
73db6388-505d-433c-b487-e0d9d0ac9cad,t2.medium,SUSE Linux,default,standard,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.0617,Hourly
ad580cdd-3d07-442a-87d6-813ac6edb8e3,t2.medium,Linux with SQL Server Web,default,standard,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.0963,Hourly
b41d4a55-2d80-4b51-a4d7-774246337046,t2.medium,Red Hat Enterprise Linux,default,standard,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.0887,Hourly
bf06df8d-e063-4da3-a523-ed210da04b8f,t2.medium,Linux/UNIX,default,standard,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.0287,Hourly
3b9f391e-8bb3-49d4-9d2e-227a34c8aa0a,t2.medium,Linux/UNIX,default,standard,Partial Upfront,us-west-2a,31536000,Availability Zone,0,120.0,0.0,USD,0.0137,Hourly
c4e9a167-6e54-4f6f-91ac-12c31af45f61,t2.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-2a,31536000,Availability Zone,0,120.0,0.0,USD,0.0737,Hourly
053f938b-a8b3-4c68-a0b0-187afcb3583c,t2.medium,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-west-2a,31536000,Availability Zone,0,138.0,0.0,USD,0.0757,Hourly
f3b693a6-14a0-477e-ad78-647f19893dce,t2.medium,Linux/UNIX,default,convertible,Partial Upfront,us-west-2a,31536000,Availability Zone,0,138.0,0.0,USD,0.0157,Hourly
515f3e62-201d-4905-bf8a-646d05910408,t2.medium,Linux/UNIX,default,standard,All Upfront,us-west-2a,31536000,Availability Zone,0,235.0,0.0,USD,0.0,Hourly
d32be147-5a34-47ae-8d4a-0cc361c68076,t2.medium,Linux/UNIX,default,convertible,All Upfront,us-west-2a,31536000,Availability Zone,0,270.0,0.0,USD,0.0,Hourly
bc93b1e6-6351-4389-996f-82738e72e6fd,t2.medium,SUSE Linux,default,standard,Partial Upfront,us-west-2a,31536000,Availability Zone,0,296.0,0.0,USD,0.0267,Hourly
b0570a21-bac3-431c-815c-f1cebc78e68b,t2.medium,SUSE Linux,default,convertible,Partial Upfront,us-west-2a,31536000,Availability Zone,0,314.0,0.0,USD,0.0287,Hourly
13b084f5-1d63-409a-b0d3-7ce783bbe730,t2.medium,Linux with SQL Server Web,default,standard,Partial Upfront,us-west-2a,31536000,Availability Zone,0,416.0,0.0,USD,0.0475,Hourly
47bb2339-9712-4c86-a00f-1e046f92f4b8,t2.medium,Linux with SQL Server Web,default,convertible,Partial Upfront,us-west-2a,31536000,Availability Zone,0,434.0,0.0,USD,0.0495,Hourly
6808b80b-3c4c-4c38-9870-017fde112d5c,t2.medium,SUSE Linux,default,standard,All Upfront,us-west-2a,31536000,Availability Zone,0,525.0,0.0,USD,0.0,Hourly
ea7f727f-770b-41c0-9ec3-9a35eb4d603e,t2.medium,SUSE Linux,default,convertible,All Upfront,us-west-2a,31536000,Availability Zone,0,560.0,0.0,USD,0.0,Hourly
d10039aa-e86a-4a5d-b2ca-4371a88c01c3,t2.medium,Red Hat Enterprise Linux,default,standard,All Upfront,us-west-2a,31536000,Availability Zone,0,761.0,0.0,USD,0.0,Hourly
c0f0c7aa-87bb-4a1f-90b9-4fb110c36f71,t2.medium,Red Hat Enterprise Linux,default,convertible,All Upfront,us-west-2a,31536000,Availability Zone,0,796.0,0.0,USD,0.0,Hourly
6d4adc9c-7930-45dd-83e6-2989a1b07160,t2.medium,Linux with SQL Server Web,default,standard,All Upfront,us-west-2a,31536000,Availability Zone,0,827.0,0.0,USD,0.0,Hourly
6c344eeb-01ff-45f0-8150-062c3e3a3da1,t2.medium,Linux with SQL Server Web,default,convertible,All Upfront,us-west-2a,31536000,Availability Zone,0,862.0,0.0,USD,0.0,Hourly
