ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
349098aa-095b-4deb-8dbe-2f0a83f7b586,t2.small,SUSE Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.026,Hourly
6af016f8-0df4-48ac-813f-48fd93062f5d,t2.small,Linux with SQL Server Web,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0791,Hourly
a68d5c89-31e2-4d17-a542-bc853f068095,t2.small,Linux/UNIX,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0115,Hourly
a9687e58-65e1-4ec2-b5d2-742aae0403e7,t2.small,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0715,Hourly
908aeb56-f4dd-4667-a615-73d1316914fc,t2.small,Linux/UNIX,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.01,Hourly
de7f8f8d-88a6-4c6d-92a1-3de6a9f47c06,t2.small,Linux with SQL Server Web,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0776,Hourly
ed43a62b-20d9-4c28-b72a-80e510b95c70,t2.small,Red Hat Enterprise Linux,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.07,Hourly
ed93a1ca-7742-4d1f-a53c-77210a009ee0,t2.small,SUSE Linux,default,standard,No Upfront,us-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.033,Hourly
79dd6d5c-e739-4178-a7c2-d660f07f69ec,t2.small,Linux/UNIX,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,122.0,0.0,USD,0.0046,Hourly
9a8e3a3d-0ea8-4d39-b1f8-33c222004b8a,t2.small,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,122.0,0.0,USD,0.0646,Hourly
7d6b8924-8583-47d2-9f4f-7d556d7b8429,t2.small,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,140.0,0.0,USD,0.0653,Hourly
8e8063a0-ad94-40b8-b0b0-66334c05a31d,t2.small,Linux/UNIX,default,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,140.0,0.0,USD,0.0053,Hourly
ec874dbb-b384-4692-b440-45fd15ce39d8,t2.small,Linux/UNIX,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,229.0,0.0,USD,0.0,Hourly
8709a3ec-5964-4087-bbf6-cdc5f1a8b7b8,t2.small,SUSE Linux,default,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,257.0,0.0,USD,0.0194,Hourly
920d2a9d-19ce-4e2d-92af-261194cb0959,t2.small,Linux/UNIX,default,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,275.0,0.0,USD,0.0,Hourly
2a83b3f6-8da1-4951-a44f-ab90104b952a,t2.small,SUSE Linux,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,298.0,0.0,USD,0.0176,Hourly
2d348fc8-1900-4987-95c9-6f92d41e39ae,t2.small,SUSE Linux,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,747.0,0.0,USD,0.0,Hourly
13b82bb6-33c4-4237-a0a7-a600ac038521,t2.small,SUSE Linux,default,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,793.0,0.0,USD,0.0,Hourly
de40658d-8a06-4709-9e97-73c8ed5ec00b,t2.small,Linux with SQL Server Web,default,standard,Partial Upfront,us-west-2a,94608000,Availability Zone,0,1010.0,0.0,USD,0.0384,Hourly
65d600e8-b8dd-44b0-a477-ef5493bcf13b,t2.small,Linux with SQL Server Web,default,convertible,Partial Upfront,us-west-2a,94608000,Availability Zone,0,1028.0,0.0,USD,0.0391,Hourly
7fb4cc53-8a18-41f5-b205-dc322734a572,t2.small,Red Hat Enterprise Linux,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,1785.0,0.0,USD,0.0,Hourly
50644098-76c1-47fe-a95d-55bb844e1521,t2.small,Red Hat Enterprise Linux,default,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,1852.0,0.0,USD,0.0,Hourly
4b470231-8114-4519-926f-e7dac7cc77a2,t2.small,Linux with SQL Server Web,default,standard,All Upfront,us-west-2a,94608000,Availability Zone,0,2006.0,0.0,USD,0.0,Hourly
8c70eb20-fda6-40f1-8b4b-66ddc1481106,t2.small,Linux with SQL Server Web,default,convertible,All Upfront,us-west-2a,94608000,Availability Zone,0,2051.0,0.0,USD,0.0,Hourly
9180fe07-1635-4ab3-b902-92defdf33c1c,t2.small,Red Hat Enterprise Linux,default,convertible,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.0765,Hourly
93c9c26a-6696-45a0-bd48-dfafc80e6d95,t2.small,Linux/UNIX,default,convertible,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.0165,Hourly
b85bf012-3813-48a8-8374-d9a7812b4508,t2.small,SUSE Linux,default,convertible,No Upfront,us-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.0395,Hourly
